视频bvid,视频aid,videos,视频分类,版权所有,视频封面,视频标题,上传时间,公开时间,视频描述,播放量,点赞量,投币量,收藏量
BV19v411M7Rs,251187473,1,极客DIY,1,http://i2.hdslb.com/bfs/archive/c4e1d8d57de5d340e885bcf1a4114aa9c9ca2414.jpg,【何同学】我做了苹果放弃的产品...,1634475117,1634475310,"非常感谢装机猿老师的帮助
如果你想做一个AirPower，单纯的像视频里一样把线圈堆积起来是不行的，因为线圈间存在干扰。你需要一个控制板集中控制线圈的通断才可以。我也是焊了二十几个线圈才明白这个道理。
为了配合旁白，视频中电机的速度有在后期加速和减速，并不能代表桌子的实际运行速度
这个方案有一个很大的问题 就是无线线圈对屏幕会有干扰 你在视频里应该也能看到一点干扰的痕迹",23266481,2977333,3049728,922192
BV1xu411Z7gc,506035906,1,搞笑,1,http://i1.hdslb.com/bfs/archive/75da889565354d4f5cfd07fa8ff56bbf2ab2c544.jpg,太夸张了！！随机挑战居然把王嘉尔请到了我家！！,1634355625,1634355939,"点赞过50w 我们继续做下一期！！
想看到谁也可以在评论区打出他的名字我们尽力！！
这个世界太魔幻了 大家太牛了！！
第一期：BV1hv41137iA
喜欢的话请点赞
喜欢的话请点赞
喜欢的话请点赞
喜欢的话请点赞",14046771,1671603,869451,249731
BV1Df4y1g7x9,378730393,1,搞笑,1,http://i2.hdslb.com/bfs/archive/0bb028c044b943dc6d59414c58e875c1c6b0e022.png,卫生扣分写检讨的巅峰之作。,1634699898,1634699898,"谨以此视频，纪念2018的D304  
那是几个初上高中的烂仔  
共同创造的快乐时光。",17185602,1616125,488384,551208
BV1Ju411f7ra,506177672,1,日常,1,http://i1.hdslb.com/bfs/archive/69971207a82e15eb5f002477a7fa779d666f980f.jpg,人在海南，嫖到失联！揭露社交平台交友诈骗,1634632855,1634632855,不能地域黑哦，哪都有坏人，地域黑的话这类内容又会被迫停更了.......,8258626,864638,472907,87336
BV1Ev411375K,251103305,2,科学科普,1,http://i2.hdslb.com/bfs/archive/25ba1ebbc492faa9dc2b7bf3aa2631b7ac037cda.jpg,高能预警！快放1000倍，带你看受精卵分裂全过程,1634386010,1634386010,"拍过闪电，也拍过魔术，这次我们把相机对准了生命的起源——受精卵。
感谢Eason提供的场地，才能把这么神奇的一个过程分享给屏幕前的你们！
如果你喜欢本期视频，记得给我们一键三连！三连！",5444441,715626,776345,249672
BV18U4y1w7CX,676030640,1,MAD·AMV,1,http://i2.hdslb.com/bfs/archive/3a7a38d9e3b7009712223e173533fb1c8e08598e.jpg,洗脑神曲《Touch》，鬼知道我看了几遍！！,1633834826,1633834814,"bgm：3LAU,Carly Paige - Touch
封面：89209550
这首歌的旋律太抓耳了，反正是给我洗脑了。尤其是drop的片段，这个 旋律给我迷的死死的。所以就有了这个视频
这个视频可能有一小点水，因为现在心思都在学习和申请大学上面，大概等到明年2月份，最多到3月份开始我就要开始放飞自我了。芜湖！！！如果你希望之后看到up更好的视频的请留下你的点赞哦
500赞解锁素材表。因为现在太晚了太亏了。
如果你们点不到500赞我就。。。一周后再发素材表。",6607322,520461,266943,315427
BV1oP4y1t7fM,891131229,1,短片·手书·配音,1,http://i1.hdslb.com/bfs/archive/edad586cfd9ae5bed4e0592320f67939cc53acec.jpg,看好了沉香！宝莲灯是这么用的 ！,1634704709,1634704708,"最近盗视频的又如雨后春笋般茁壮成长了
唉，老三家了，某音某手某看点
大家看到之后可以私信和我说
我都会积极举报
其中有的真的硬，举报一期就删一期
你再举报下一期的时候
它刚刚删的那期又传上来了。。。。
关键还不只盗我的
我一打开，嚯！
这不小破站配音区嘛！
放眼望去真是了琳琅满目疮痍
优秀！
多的也不说了，更新速度是硬伤
发完这期直接跳过休息直接肝下一期
争取快点吧只能说，保一个月争半个月那种的
三连！给我点动力，求求了
最近还会给大家开一波抽奖
记得关注！",5506083,452923,380823,126219
BV1oF411Y7ST,293697400,2,日常,1,http://i2.hdslb.com/bfs/archive/e7c50c215bb22f2badfe191178cdd450d2058f33.jpg,今天我求婚了！我的婷婷说愿意！,1634551651,1634551651,,3093542,370157,343974,43908
BV1Fv411u72b,251176461,1,财经商业,1,http://i0.hdslb.com/bfs/archive/7be2d4eeff89fb77d85aee422549f526823eb559.jpg,暗访麦当劳，食材过期、餐盘不洗、奶浆漏了三天还继续用,1634714570,1634714570,本期我们暗访了世界上最大的快餐连锁店之一的麦当劳，发现计时表盘当摆设，为了防止检查，改标签成了家常便饭，隔夜发黑的生菜继续用，规定时间该丢弃的食材继续用，托盘不洗擦擦直接用，漏了三天的奶浆也会继续使用。对此，你怎么看？,3737535,231680,116724,27503
BV1xL4y167FJ,848504612,1,搞笑,1,http://i2.hdslb.com/bfs/archive/4c4b37c78187be1aabff212a88dea79f4f6b9ea2.jpg,史上最离谱随机挑战！居然随机到去某幻家蹭饭...【第五期】,1634284337,1634288419,"随机挑战的全新系列！蹭饭挑战！无限羞耻！究极自闭！全程高能！
第四期：BV1gP4y1h7yA
第三期：BV1q34y1Q7Pu
第二期：BV1Hq4y1D7MR
第一期：BV1664y1W7zS
喜欢记得点个赞哦~过50W赞下一期立刻继续找寻新的受害者！！评论告诉我们！！！",8401858,966122,343105,101437
BV1CQ4y1X7jr,718536435,1,日常,1,http://i1.hdslb.com/bfs/archive/9f57c301ee06347602d952244ef947608c2949b4.jpg,【warma】 我已经是自娱自乐的专家了！,1634270429,1634270413,我想看看自己能自娱自乐即兴发挥到什么程度，就每天拿一点时间来瞎画画，想到什么画什么，没想到居然录着录着我发现了让人开心的东西！,3518710,381959,347977,147970
BV1Af4y137in,378738637,1,美食记录,1,http://i0.hdslb.com/bfs/archive/7a943a68cd671d18bbc74c6af1e857d95bee1dbd.jpg,再见，巴甫洛夫大叔,1634632038,1634632038,再见，巴甫洛夫大叔,6509192,629168,239004,81744
BV1NU4y1c7Aw,676243719,1,美食制作,1,http://i0.hdslb.com/bfs/archive/01553546a803fa5e3e6ac2fdc0bf272b87274b23.jpg,这是我吃过最脆的炸鸡...皮！不信的话，请试试看，包你不失望,1634727541,1634727778,"日更微博：绵羊料理
微信公众号：绵羊料理
油管同步更新：https://www.youtube.com/c/sheephoho",7668143,376471,126270,40048
BV1EL4y1B7Gw,848646785,1,时尚潮流,1,http://i2.hdslb.com/bfs/archive/94a4a2f068ac6d590b5c6dba297da9ccb43cd5a8.jpg,“他们不像是走秀，倒像是来赴宴的......”| 前方高能·国风大典混剪,1634394777,1634394777,"bgm：象王行（特别版）- 关大洲
素材：2021国风大典国韵大秀",9746909,849234,320746,485274
BV1A44y147u4,976176251,1,美食侦探,1,http://i0.hdslb.com/bfs/archive/fc203b67f4ec4048384852c82b78c99a5002cdbf.jpg,鸠 占 鹊 巢 2,1634550483,1634550483,没想到还能再见面，奇妙的世界。嘻嘻。,2830008,416485,186155,31288
BV1vb4y1Y7th,633575423,1,明星综合,1,http://i0.hdslb.com/bfs/archive/16d3521c7b976e3e22ae2b8c7fbcc7a949a02f53.jpg,【时代少年团】《这福气给你要不要》之李总的报恩,1634374512,1634378407,,5978150,229003,65047,56990
BV1jh411n71c,208635106,1,日常,1,http://i1.hdslb.com/bfs/archive/d2ab059c81df2b790039b12f44f97c61403f679c.jpg,美国肯德基竟无鸡可炸？为何美国短缺和通胀这么严重？,1634526010,1634526010,,4220002,303564,43803,14659
BV1mP4y1t7vp,891097793,1,人文历史,1,http://i2.hdslb.com/bfs/archive/c4d142507aeb27f53dad1f51b9abfbaeff81560d.jpg,为啥有人要轰炸纽约？【硬核狠人12】,1634288946,1634288946,"本篇为硬核狠人之梅特斯基。

参考资料：
《史密斯杂志》解开疯狂轰炸机的神秘面纱
《纽约时报》报道《回顾对疯狂轰炸机的追捕》
《纽约时报》对梅特斯基离开精神病院的报道
JA 克罗斯利尔2014年著作《为正义而轰炸》
迈克尔·坎内尔在2017年出版的《燃烧弹：精神病医生、疯狂轰炸机和犯罪分析的发明》
纽约邮报报道《联合爱迪生员工是如何变成炸弹客的》
克罗宁局长的讣告",6273049,230703,109861,32998
