视频bvid,视频aid,videos,视频分类,版权所有,视频封面,视频标题,上传时间,公开时间,视频描述,播放量,点赞量
BV15B4y1j7ep,603784291,1,日常,1,http://i0.hdslb.com/bfs/archive/bd8bf8a5cdd96ac58434e0fa8e1f092c902d466d.jpg,24楼的孩子，你爸妈很伟大。也许我只能沉默，可湿润了眼眶！！！,1665145827,1665145827,-,492760,72520
BV1R44y1f7Yv,986555749,1,人文历史,1,http://i1.hdslb.com/bfs/archive/d76155b3c9d53787338464aebfd62a469317a3e5.jpg,不懂英语如何刺探英国情报？【硬核狠人40】,1665647481,1665716400,"本篇为硬核狠人之艾丽萨.巴兹纳。

参考资料：
巴兹纳回忆录《我是西塞罗》
马克·西蒙斯2014年出版《西塞罗特工：希特勒最好的间谍》
理查德·怀斯1999年出版《西塞罗间谍事件：二战中德国获取英国机密》
杰尔·韦斯特1985年出版《谎言的线索：二战间谍神话》
亚当·乐博2000年出版《幸存的希特勒：第三帝国的选择、腐败和妥协》
莫伊奇兹的《西塞罗行动》",596276,75500
BV17D4y1C7W5,731561587,1,影视杂谈,1,http://i1.hdslb.com/bfs/archive/f831d5441d36599aa94dd675023b51bdafe1bf56.jpg,什么叫国产战争片天花板！《特级英雄黄继光》硬核影评,1665654336,1665654336,"Staff
总策划：花岗岩
总顾问：星海论坛Suit
总监制：花家小可爱
文案：花岗岩、星海论坛Suit、花家小可爱
配音：花岗岩
制作：花家小可爱、花岗岩
资料：
15军政治部编《凯歌百代》《志愿军一日》第二编
15军政治部编《战斗在上甘岭》
空军政治部编《革命英雄谱4•志愿军赞》
《上甘岭战役中的山地坚固阵地 防御阵地参考资料》
《我的父辈在抗美援朝中》
上甘岭战役，志愿军老兵采访资料若干
上甘岭战役，美军进攻参考资料若干
空军“黄继光英雄连”采访资料若干
鸣谢：《特级英雄黄继光》制作组",1273270,138972
BV1Z8411W7aW,219044030,2,电子竞技,1,http://i1.hdslb.com/bfs/archive/67b84fc45a6e64f3e68ef125c49fd091f311ae80.jpg,【S12全球总决赛】小组赛 10月14日 EDG vs T1,1665708425,1665708424,【S12全球总决赛】小组赛 10月14日 EDG vs T1,1082046,12453
BV1P84y1z7cM,604018729,1,美食侦探,1,http://i1.hdslb.com/bfs/archive/069141a7315cf11869b50d61935d6d47170f1715.jpg,中山.崖口煲仔饭  厨子探店¥？？,1665642806,1665718200,,450230,36535
BV1pW4y1H7Ur,943942693,1,娱乐杂谈,1,http://i1.hdslb.com/bfs/archive/f936d0f0ccc3aabd43e05c60a1001cc8b2be33fe.jpg,真是害怕兄弟过得苦，又怕兄弟开路虎,1665480740,1665480740,真是害怕兄弟过得苦，又怕兄弟开路虎，相比自己的失败朋友的成功更让人心痛,526230,37649
BV1VR4y1X7gt,346584576,1,数码,1,http://i0.hdslb.com/bfs/archive/a367d4942b29e7f8b9b8b674eca0adf63a187b50.jpg,我们用三张4090点亮了五个8K电视！,1665674621,1665674880,感谢华硕爸爸对本期节目的支持，今天我们拿ROG的Strix RTX4090整了个大活！用三张4090显卡带动5台8K电视是什么体验？注意是五台哦！总共21600x7680的恐怖分辨率，1.66亿个像素点！五屏8K打游戏能跑多少帧？在此之前，4090能不能带单个8K 144呢？今天全部告诉你答案！,483168,40406
BV1oG411E7Ks,431483931,1,手工,2,http://i1.hdslb.com/bfs/archive/56923173960180333003e0e72f23479ad4edfb36.jpg,“有趣的微观世界，第一个分享给你”,1665552574,1665552573,_,631508,94731
BV1td4y1i7Do,388909710,1,搞笑,2,http://i0.hdslb.com/bfs/archive/99ca1081febdcb3c80ec5bbce3a16236a9f7bc86.jpg,男子偷盗照顾小男孩，只因自己也有不幸的童年,1665378372,1665378371,weibo,741524,75418
BV1ye4y1q79S,561507791,1,热点,1,http://i0.hdslb.com/bfs/archive/1c64ab9bc42efc92698611a6e6c10d1f39448fab.jpg,“我将无我，不负人民”，是不变的初心，更是坚定的行动！,1665663984,1665663984,,489997,66795
