视频bvid,视频aid,videos,视频分类,版权所有,视频封面,视频标题,上传时间,公开时间,视频描述,播放量,点赞量,投币量,收藏量
BV18441127Nd,66087119,1,搞笑,1,http://i2.hdslb.com/bfs/archive/5e2e712d20387c8bde4a639cc0ea515f2d8ff863.jpg,【华农蹦迪】自带水泥，村口集合！当华农兄弟扭臀遇上各种bgm，你们要的魔性鬼畜,1567191367,1567191366,,3574294,187806,103257,50522
BV1c441127JM,66518009,1,日常,1,http://i0.hdslb.com/bfs/archive/3c7bf3b63f25bbcdb662b616691d551a22418d4a.jpg,新版人民币的变化太大了吧，去小卖部买东西会被老板当成假币吗？,1567512828,1567512828,新版人民币的变化太大了吧，小伙去小卖部买东西被老板当成假币？,2063330,58615,5342,5673
BV1x4411m72z,66240119,1,人力VOCALOID,1,http://i2.hdslb.com/bfs/archive/1a533d5809f3c40b9053ad2475b90821477dc567.jpg,【华农兄弟】一烤竹鼠我就口水直流【芒种】,1567303603,1567303603,BGM：《芒种》av64186665，加速了一下，特别感谢@Mooowaa 的鼠头琴素材,7671018,486021,460813,218742
BV1n441127jG,66583807,2,影视剪辑,1,http://i0.hdslb.com/bfs/archive/69fb175bafb6cbdaf1485b73b145781cd25ee9fe.png,史诗！10分钟从上古之战到溥仪退位，中国历史年表超燃影视化混剪！,1567575880,1567575880,"终于做了这件一直想做的事情~
“我们多年轻？上下五千年！”
剪辑制作：微博@Director_鹤唳云端",18310088,1298369,1361966,1509123
BV1H4411q7Qx,65844602,1,单机游戏,1,http://i2.hdslb.com/bfs/archive/9b39ce7334535062122f0f9c9236f48e88c79ff4.jpg,【老番茄】烂俗笑话,1567137608,1567137602,"花了一个多月的时间，时不时熬着夜，和Chimera君一同做出这个视频。
由三个互相没有关联的小故事组成。并不想讲述多么高深的道理，只是如标题所说，讲了几个内心想讲的烂笑话。
如果看完一乐，或许可以投币，收藏， 或是三连支持。谢谢。",18756584,1533773,1734671,756884
BV1V441127Sb,66525091,1,田园美食,1,http://i1.hdslb.com/bfs/archive/f53f5347212385f2719c6024ce0abbbaa692c228.jpg,阿烽的妈妈失踪了,1567516203,1567516203,我的妈妈在我12岁的时候离家出走，一直了无音讯，希望借助这个机会，可以找到我的妈妈,3800812,298742,248121,35568
BV1h441117oi,66391690,1,电子竞技,1,http://i2.hdslb.com/bfs/archive/9b182ea1651a7c6116de68351e2d7b6610ece807.jpg,b站的铁子们，你们的打野靓仔MLXG来了,1567412034,1567412033,,1895143,141327,128078,25670
BV1T4411m7R7,66210564,1,社科·法律·心理,1,http://i0.hdslb.com/bfs/archive/0859d3d0db80f7000195efdc620ec93ff3972fdf.jpg,【何同学】一看就懂！用水讲明白为什么5G更快,1567268018,1567268018,来不及解释了 快上车！,7050805,835199,827041,225714
BV124411C7fC,66608963,1,搞笑,1,http://i2.hdslb.com/bfs/archive/3a11454b57c751d793ad3cfde105d15bff698f67.jpg,千万不要挑战三口吃完一整瓶王致和臭豆腐！结局都懂的！,1567591207,1567591207,"youtube频道：敬汉卿【官方频道】
创意投稿邮箱1905387728@qq.com
淘宝店：敬汉卿",5199115,447409,380653,52463
BV1Q4411C7Xq,66592561,1,搞笑,1,http://i0.hdslb.com/bfs/archive/2428736670ced88ccca39a4995702fcc8444bb00.jpg,【朱一旦】59 发了几条有钱人的动态，B站粉丝就破了百万，枯燥！,1567582344,1567582344,"感谢大家的认可与支持
一定要关注接下来的动态！把你们要求的非洲行程安排上了！
视频记得收藏投币点赞！以后也继续一起枯燥！
微博@朱一旦的枯燥生活",5706892,170799,67340,17877
BV1G4411q7vX,65811212,1,出行,1,http://i0.hdslb.com/bfs/archive/9f053cc7c218d5750e5c9cebe88eea5ecf0818cf.jpg,街访乌克兰美女择偶标准，很多称中国男生很不错！,1567049410,1567049405,街访乌克兰美女择偶标准，很多称中国男生很不错！,5931598,207648,73312,39893
BV174411B7N4,66058707,1,动漫杂谈,1,http://i0.hdslb.com/bfs/archive/80f8be163b27c8638d0d83aff414e29c922d3699.jpg,我杀死了我的女朋友,1567173344,1567173344,"我亲手杀掉的女朋友，竟然变成幽灵回来找我了？这么甜的故事一定要分享给大家！
作品名：《错的只有我》，作者：はくり ，图源：新月汉化组",2927794,191959,116598,60209
BV144411z74Z,65758863,1,日常,1,http://i1.hdslb.com/bfs/archive/31100b0305d9ddb1babefba9cf7af0d3277971d3.jpg,康康|50块以内宿舍好物清单!吐血推荐超高性价比 必备神器/寝室收纳/大学新生实用/开学季/学生党,1566996186,1566996186,这期跟大家分享了超全的宿舍必备好物清单，良心推荐没有任何广告哦！放心吃下安利吧！,2091857,194371,163616,116230
