播放量1！
好耶
？？？？
好耶
好耶！
考哥jpg
头好大
动捕这么强了
可爱
好耶
好耶
好耶
好耶
好耶！
好耶
1000和兄弟别躲了
好耶
好耶
哇哦
从p2回来了
好耶
来了来了
好耶
好耶
这是憨唱的bgm吧
好……好矮？（手动狗头）
好耶
好耶好耶好耶好耶
好耶
好耶
侦探大小姐想让我告白
好耶！！！
好耶
好耶！！
恭喜
P2！！！
恭喜恭喜
1000多个人
1000多个情敌你们好
好耶
好耶
原声大碟
我的蟑螂呢
好耶
自唱跳
好耶好耶！
好耶
说好的不跳宅舞的
Hanser！！！！！！！
哦哦哦
《不跳宅舞》
直奔p2
好耶
都去P2了吗
好耶
好耶好耶
p2正片
好家伙，说跳就跳啊
我以为你要放个蟑螂过来骑脸呢
恭喜600W
好家伙，说跳就跳啊
好家伙，说跳就跳啊
awsl
1000+
好可爱呀
憨憨什么时候变VTuber了？
awsl
不会真有人不直接去看P2吧doge
1000+
1000+……
啊这
好耶
Hanser大小姐想让我告白
好耶
我裂开了啊！！！
1000+
好家伙
好耶
好耶
什么大头
康复运动？？
好耶
还以为是冷大头哈哈哈哈哈哈
好耶
双马尾hanser
忍不住夸完憨色开始夸3d老师
好诶！
鸢大头表示反向学习
高度还原
好耶
好耶
好耶
好大的头
好憨啊
每个毛怪都有1万个毛了（属于是
好耶
好怪哦，再看一遍
p2p2！！！！！
好耶
1000+
直奔P2
卡哇伊
原声大碟
恭喜恭喜
好耶好耶好耶
好耶！
好耶
哇哦
双马尾
好耶
好耶
好耶
快骂我！
好平啊
双马尾！！
好耶
l
1个视频涨1万粉
好耶！！！！
没有蟑螂，我不是很认同
好小一只
好耶
一休哥
憨憨yyds
好耶！
..1000
日常考哥血压飙升
哈哈哈哈哈
好耶
好耶！小天使好耶！
专业对口
好耶
好耶
awsl
斯巴拉西
？？？？？
哈哈哈
我爱hanser
好耶
p2正片系列
原声大碟
好耶
好耶！
好可爱
好耶
考哥.jpg
好耶
好可爱好可爱！！！！
好耶
果然还是来呢吗
1000多个情敌你们好
来！
哈哈哈
好可爱！
这是跳舞吗？
哇！
直接看p2
好耶好耶
好耶
感觉更矮了？？
好耶
好耶
哦哦哦
好耶
感觉挺聪明
好耶
芜湖！！！
憨色呜呜呜
可爱
想看蟑螂
好耶
不算双马尾，小辫子
hao
hso
hanser能不能真人跳一下（狗头
笑死
恭喜！
小天使yyds！
好耶
恭喜
好耶
好耶
好耶
恭喜
棒槌在身上吗？
好耶
我永远喜欢hanser小天使！！（撕心裂肺）
偷偷喊句老婆没人发现吧
偷偷喊句老婆没人发现吧
好耶
好家伙
是我卡麽
直接p2，记得谢谢我
好憨啊
好耶
好耶好耶好耶好耶好耶好耶好耶好耶
老婆老婆
哇哦
你怎么也变成大头啦
来了来了
好耶
，，，
头好大
好耶！
好憨啊~
恭喜恭喜
都给我去看P2
三连有动画哦
原声大碟
好耶
好耶
好耶
这才是猛男该看的东西
考哥震怒
awsl
总感觉哪里不对，但又说不出哪里不对
？？？
好耶
来晚了
好耶
这舞正不正经呀
好耶
好耶
好耶
好憨啊，不愧是憨
恭喜
好耶
康复训练
好耶
要中文的
？
好耶
好耶
好耶
什么巨人（）
好小的双马尾
suai
好耶
好耶
好家伙，说跳就跳啊
好耶
好耶
好耶
好耶
坏了，我成蟑螂了
考哥。。。
p2
好耶
来啦
好耶
好耶
好耶！
卡哇伊内
太可爱了
快骂我
关于我抢到前排却说不出来憨话这件事
1000+个人？！
好耶
好耶
好家伙，说跳就跳啊
好耶
好耶
好耶
太可爱了呜呜呜
好耶
两个小时热热能吃
好椰
好耶！！！
恭喜
可爱
罪过  来晚了
好可爱
可爱可爱
awsl
好耶
好耶
吓得我手机差点掉了
哇！！！主人居然不骂我，狗狗伤心了
好耶！
恭喜憨憨！
p2正片
好耶
冲鸭 摩托萝鸭
好耶
好耶
hanser！hanser！hanser！
卡哇伊～
正好和中配日本首相想让我恋爱联动上了
靠北血槽空了！
hanser!!!
等等，这是双马尾?！
好耶
好耶
没有抓蟑螂这点我不是很认可还原度
好耶
好耶
好耶
1000+
可爱
考
好耶
好耶
好耶
好耶
蒸蛋憨可爱
好！
好耶
来晚了来晚了
滴滴滴滴滴滴滴大
好耶
是哪个弹幕说三连有特效的？
建议各位毛怪直奔P2
憨大头
我的大蟑螂呢（
好憨啊233333
kksk
我要看真人版(苦闹ing)
我考
双马尾！！
小短腿
我还以是中文版
双马尾
好怀疑是不是扣以前的音源～
憨憨！
没有蟑螂
好耶！
恭喜
好耶
1000朋友大家好
我直接吹爆！
一千多个情敌你们好
可爱
好耶
不愧是儿歌王
可爱
君的日本话上分上道
双马尾@
可以，可以。
P2P2P2！
再去？
好耶
好憨啊
好耶
？
可爱捏
好耶！
好耶
啊这
好耶
突发。。。
哈哈
好耶
我记得上次谁说不搞双马尾了
直接p2
想看真人去p2
好耶
好耶！
快去看正片
hanser再骂我一次
这身衣服，想必是刚从健身房逃回来吧
啊这
好耶！
大家都别藏了
你为什么会在我的关注列表里面
居然不骂我们了，爷青结
好耶
小天使
可爱
我蟑螂哥呢
从p2回来
好可爱
讲道理，烤箱应该没有这么高
都跑p2去了吗
今天我生日
好可爱
就是扣的以前的音源2333
好可爱
好耶！
太可爱了
来了来了
好耶！可爱！！
我偏躲
好耶
好耶
小短腿
好耶
怎么这么慢？
刚从p2来
开头这钟声我还以为是周杰伦大笨钟
P2来的
为啥不是HanserHanser
好家伙
阿蒙！毛怪们这是阿蒙！
憨尔摩斯！
好耶！
真cv
好耶
《我天生就得了扎双马尾就会死掉的病》
好耶(✪▽✪)
恭喜憨憨
藤原hanser
自古p2……？
奶味很浓
好耶
双马尾
卡哇伊内
好清晰
2p的乌鸦坐飞机，原来是这样呀
好耶！
可爱啊
可爱
啊啊啊啊，好可爱
awsl
左右有两条小辫子……双马尾精简版？
好耶
考哥来了
好明显，不咋高
好耶！
刚看完p2
本色出演
憨之特色，p2才是正片
为什么 有点糊？？？
砰砰砰（指拍胸）
22年报道
好耶
好多人啊
好耶
好耶！
考哥jpg.
很棒啊
这1000+人都别躲了
不行，腿好短啊忍不住了哈哈哈哈哈
999个人
太可爱了
可爱
awsl
好可爱！！！
大头
资 本 家 套 装
好耶
文艺复兴
热知识：藤原千花的中配是憨
这个头更大了
好耶！
双马尾
好耶
太爱了
好
好耶
这个一点也不憨，但是蛮涩的
真人呢？哦在p2（）
小天使好可爱
好耶
up跳的好稳
哇
真人劝退了我老寒腿
爷青回
是侦探！
好看！！！
好耶
是动作捕捉吗？
头是真大 帽子都戴不上
好耶
我娴
好耶！
僵硬
可爱可爱
好耶！
奶味十足
好耶
好矮
吼吼吼吼吼吼吼吼吼吼吼吼吼吼吼吼吼吼吼吼吼吼吼吼吼吼吼吼吼吼
好耶
好耶
可爱可爱！
离谱
义乌套装这模型正式定名了没？
地球之癌
还是老K得劲儿~
啊
本色演出
好耶
感觉这块疯狂拍胸是在暗示自己胸变大了
好耶
太可爱了
小天使
太可爱啦
好耶
937人别藏了，来聊天
好耶！
awsl
劣质奶粉的够了哈哈哈
好家伙
949个猛男
蒸蛋！
好耶
本色出演
头真大
一休哥
汗瑟
好耶
好耶
好耶
？好憨啊
流畅
恭喜恭喜
我愿称p2为年度好活
憨大头
秀知幼儿园
Hanser自己唱的版本
我鼻血要流出来了
我死了
芜湖！
双马尾的憨憨
好耶
学生会办公室鲨人事件
好耶
好耶
好耶
好好好好好好
好圆的脑袋
好耶
百万
622个猛猛男
有字幕
芜湖！
好耶
好耶
好耶!
444？
哦 是憨海王
双马尾？
这个不是憨憨，给我去2P！
！
好耶
鸭鸭
？
好耶
好耶
@藤原千花
考哥累了
好耶
屑
好耶
牧师牧师救一救啊
好看
再来一遍
开口跪
好耶
好耶
awsl
蟑螂就是屏幕前的各位，hhh
千花
双马尾！！！
憨大头
好耶
感觉动作错了
好耶
好耶
好耶
好耶，双马尾
可爱可爱
太可爱了啊啊啊！
迷你舞台是吧？
可爱
蟑螂呢
我永远喜欢布洛妮娅
好耶
观看顺序：P2->P1
前排提醒，正片在P2（）
头好大
好耶
可爱
再来一遍
WoW
好耶好耶
生徒会 
真可爱
好耶
原声大碟
被骗了
好耶！
好耶
好耶
说好不跳宅舞的呢！
我超
55555可爱
好耶
好耶
好幼
双马尾出现
大头
就这？
建议植入《辉夜》中配版第三集片尾
好
考哥.jpg
鸭味真浓
好耶！
好耶
kksk
好耶
居然有起伏？
awsl
老年迪斯科
真是可爱呢
好耶
好耶！！
钝角
文艺复兴
319个人给我出来
大数据记住我
刚从p2回来
再骂我一遍也好
考哥辛苦了
考哥. JPG
三连有动画哦
《我得了绑双马尾就会死的病》
《我不跳宅舞》
头好大
好耶
皮卡皮卡
好耶
考哥.JPG
你是不是少打了个字啊
好呆呀。
但我喜欢。
双马尾
火钳刘明
睿智的眼睛
好耶
好耶
义乌买的【doge】
好耶！
可爱
憨瑟！
我以为中配版的
好耶
憨憨天使
太憨了2333
太可爱了！
2333
文艺复兴
《不跳宅舞》
我是一句也听不懂
哦卡哇伊库多
好耶！
好耶
好憨啊，憨憨我爱了
哦卡哇伊口都
欧
好耶
awsl
xp动了咋办咋办
血包补上
你是不是跳错舞了
都给我直接去p2
不要跳舞，我要憨骂我
好耶
为什么我想起了巨人
好耶
！
我先插个考哥（）
奶味十足
HanserHanser
爱了爱了
原声大碟
憨色小五郎
好耶
哈哈哈
为什么这么大只？
小天使
小天使
这腿可以
卡哇伊ฅฅ*
kksk
好耶
p2有惊喜
好耶
好耶
奶味溢出了
头好大
可爱捏
可爱
儿歌王
手脚各跳各的哈哈哈
你被阿蒙绑架了就眨眨眼嗷
等会，憨憨这个模型居然也是双马尾
资本家造型
好耶
动作指导：藤原千花
原声大蝶
好啊好啊
♂
可是有200个猛男在直播看。
？
文艺复兴
我直接一键三连
哦吼吼吼
宝宝巴士频道~
宝宝巴士频道~
小埋吗
好耶 
是吊带袜诶
5岁，不能再多了
恭喜
不愧是儿歌王！
1
想起娴娴了
窗帘那的蝉呢？（doge）
DNA觉醒计划
老婆！！！！！
好耶
跳的不错，下次别跳了
好看
开头那个BGM我以为是大笨钟
竟然是动捕么
可爱!
好耶！
好大的头啊
鸭鸭好棒
好耶
可可爱爱捏
好耶！
遭了，先看的p2
从2p走过来的
《三百》
恭喜
同学们上课了。
好可，我爱了
好耶
好耶
好耶
恭喜憨憨
可爱！
刚看完篇2
好耶
奶味十足
好耶
可爱
文 艺 复 兴
原声大碟
太可爱了，血包！血包！
好眼熟哦
好耶
好耶
想看 真人
hanser有腿了？
舒，舒克？
awsl
好耶
重装小兔19C！fire！
卡哇伊ฅฅ*
这几秒有“纯”的那味了，就是那老头第一次变身的时候
这3D模制作的好好看啊
好耶
可爱
钝角
《不跳宅舞》
考哥算了算了
好耶
好耶
好大的头！
像皮卡皮卡！
斯巴拉西
好耶
女子
热知识：藤原千花的中配是憨
呃呃呃呃
考哥jpg.
i了了
你被骗了
原声大碟
太可爱了
好耶
woc这个腿
i了i了
（来晚了）支持窗帘
卡哇伊伊伊伊伊伊
帽子位移了
憨大头实锤了
抱走希儿
好奇怪
啊啊啊啊救命啊！我的表情不受控制了！
好耶！
别拍啦，都没了
来了
辣个♂男人
哈哈小短腿
升维考核是吧
大头
不硬么？
……
从p2过来的
这个hanser有点帅噢
考哥：………
一瘸一拐
好耶！
有腿？
藤原千憨
生活不易，家妻卖艺
另外一个非常好看
真人跳的非常好看！
.
聪明的一休（幻听
今夕是何年
奶声奶气
几百万的情敌
唔
单片眼镜
高清画质
腿腿哈哈……
感谢中国移动
论为什么在美式霸凌下面会推荐憨的舞蹈
哇哦
可爱
芜湖!！
好耶
这个模型好可爱
原声大碟
？？？
这是。。。单眼镜片？
考哥
好憨啊
考哥JPG
少打了万
这怕不是儿歌？？？？
hanser我爱你
好耶双马尾！
哈哈哈
藤原拓海：很难想象这个万恶之源是一个和我同姓的人跳的
原声大碟
风景好美
17
欸嘿嘿
太小了
  >  ▽  < 
书♂记♂舞♂
自♂信♂的♂回♂头♂
3
43
我以为rick roll呢
桌子目测一米三
ruarua头
少打了一个万字
动作指导:藤原千花
你是谁？！！
[每周必看]
三百，指三百万
？？？？？
考哥，你冷静
好耶
论为什么在美式霸凌下面会推荐憨的舞蹈
小天使！！！
你是不是少了个w
考哥.jpg
原声大碟
三百《w》
憨色小天使
辉夜同学，你脑子没事吧
建议观看顺序先p2后p1
[每周必看]
考哥.jpg
鹿鸣?!doge
这不是铁根跳那个吗
好耶好耶
BGM是憨憨自己唱的哦
[每周必看]
ދ ނ
正片在p2
""
