荒木老师演的到位啊
就这样还8000万一个剧，200万一天呢
这些矫情的演员都有谁？该整顿了，拿着巨款，做自己分内工作都敷衍了事！
现在影视行业就是在玩呢。。都过家家呢
等粉丝都理智化娱乐圈才能有所转变吧
哦哦。疼
那个电视剧叫什么
凤雏
凤雏凤雏凤雏凤雏凤雏凤雏凤雏凤雏凤雏凤雏凤雏凤雏凤雏凤雏
粉丝不一样了
6666
我就喜欢吴京
我认为每一行都有它的工匠精神，我觉得不能有任何一个行业是赚的暴利干的最少的。
垃圾观众太多
因为有哪些人喜欢（市场），才有了那些下三滥（供给），原罪是粉丝
八千多人
吴京哥骂得好啊
庞统
所以说它们的人品就有问题
这段是戏里剧情 
哈哈哈哈演的真好
成龙片酬确实不低，但别人对得起这个片酬，拿命换的
流量明星必须完蛋！
张大大
这个确实
成龙的戏是真的拿命拍的
这个需要告诉吗？？？基操啊
卧槽，这可是大哥随便演的一段啊
韩流本身的质量是好的，但是国内没有学到其本质，倒是把自以为可以圈钱的给学了去
达咩笑出声哈哈哈哈
87版红楼梦的演员当时接受了红学家辅导了好长时间
你也不敢得罪成龙
笑死我了，太形象了
哈哈哈哈
达咩哈哈哈哈哈哈
没关系，有人骂才对，说明演员演的好，精神也传递到了
不不不，他们表情没有这么丰富
所以奥斯卡终身成就奖实至名归
华仔太帅了
电梯
这才配得上高薪酬
蚌埠住了
撒贝宁录综艺也投入还有挑战不可能
卧槽，我不敢
成龙演戏真的拼
哈哈哈
现实了
有钱任性呗
吴京即兴演小鲜肉
好家伙mix2全陶瓷
工作人员也是表现的很卑微
贴 图 错 误
达咩
请的水军带领一帮粉丝惯的
杨幂不就老是说自己不迟到吗
保护演员安全，不应该是进步了吗
茄子？
对
草！
大哥们都得忍。想想他们背后资本的实力
这剧组拍的是讽刺视频，女演员是友军！别开枪！！！
真像茄子
主要是小鲜肉赚钱太容易了，自然就轻视演员基本素养
笑死
因为赚的就不是同一种钱，他们不需要演技也能赚到钱
有的演员确实很伟大，值得尊敬。当时哦现在的啧啧啧…垃圾堆里难找
还好我喜欢的是我们讷一代的明星，现在的我就呵呵了。
这是演的不要问是谁
吴京年轻那会都叫小生，就算偶像派也得有五分实力
王一博
谁叫现在是看脸时代啊。偶像干啥啥都对
戏里戏吧
成龙拍戏是真的厉害，伤筋动骨是常有的事
要演员都这么像成龙这样 没人反对拿高片酬
？行不行了，杨幂上次迟到是因为飞机延误，咋滴你还能控制飞机准时起飞是吗？还是给她买架直升机啊
2014年饭圈文化开始的时候就是转折
这个片段是演的，不会有人连这个都看不出来吧？还攻击角色演员？
有人居然连这是拍出来的讽刺都看不懂就攻击人家女演员，也是sha.b
弹幕里奥斯卡的！你上！你演或者你导？多少连流程都不知道的
阿京专业啊
房祖名
跟棒子学的
难怪大家都想当流量，刷刷手机日入百万
哈哈哈哈哈哈哈哈哈哈
不止演员啊，是所有的工作，守时不是基本的？？？？
卧槽
可他们的目的不就是有钱就行了吗
我擦，一身鸡皮疙瘩
这些流量明星这样还不是你们惯出来的
哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈
可爱
这个一看就是演的剧情来嘲讽某些演员呀
能不能把bgm去掉
不要瞎用bgm，太吵了
心疼刘老板刘德华
吴京这个片段应该是08年汶川地震的时候吴京在支援灾区。致敬！
所以我们敬佩这些老演员 他们值得一声大哥
人家giegie失去的可是出道的机会呢
龙叔是真的拼
这女的是谁啊
华仔真的是好演员
这死亡滤镜就离谱 导演有审美吗
说的是流量明星，不是现在所有的
？喜欢吗，不喜欢
武术演员是真的辛苦，还危险
这不是何炅常干的事吗
戏中戏
一日爽 208w
资本的邪恶
那部分观众粉丝的锅，有人就喜欢那种演员
真是退步了，唉
让助理走戏？？？？
哈哈哈哈哈哈哈哈
张雪迎
不仅娱乐圈，各行各业其实都得思考一下自身
这是友军
致敬
不是粉丝的问题，是好多公司的问题
守时不是做演员的基本条件，是做人做事的基本条件
退步
他们自己心里清楚，可他们就是不做
原来是在演戏呢
笑死
这是电视剧啊
痛，人家要吹吹
所以现在的人我都不去看 因为不值不配
凤雏
凤雏
这就是女权的时代悲哀
那tm叫庞士元
你说呀
当合格成为优秀
当合格成为一种难能可贵的品质
龙叔
吴京好
都是粉丝的错
哈哈哈哈哈
哈哈哈
准时守时的人反而会被说是“在剧组守着是因为他/她不红呗”
职业水平集体下降
这用教吗? 做人都不会?
现在没有体验生活了，连骑马都不学了
每次看到这个人就想到我们区长，08阅兵哥海军方队，长的太像了尤其是嘴
这是友军 是拍了讽刺的
郑爽说，你拿我身份证念得了
他白嫖我也白嫖
经纪人以及明星身边所有人都是夸！！！所以现在的明星才会这个德行！
别扯韩流，韩流火也是因为人家确实有实力的吧，自己价值观不好别怪别人
直接报名字，他们不喜欢上热搜么
达咩
这谁呀
织毛衣他们还不会呢
这是戏中戏，大家别搞混了啊
哈哈，京哥也是羡慕嫉妒恨啊
现在还有什么经纪人。。。经纪人都不知道怎么做了
别说别的，你敢让坦克从你身上经过吗？
因为有些经纪人是公司控制艺人的工具
哈哈哈哈
为什么要叫助理去啊
长歌行那个没演技，跳水都是拿漫画搪塞的别在这个视频里洗白
哈哈哈哈哈
现在的演员都被资本物化了只是一个玩物
不太可能吧，真有这种人吗
谁特么是你爹？
讲出来
把秀人都赶走，让资本亏钱，演员圈才能救
哒咩
这就是不喜欢现在的演员，一点敬业精神都没有
华仔还是很帅啊
哈哈哈哈哈哈哈哈哈
哒咩
哈哈哈哈哈
这种演员用冥币支付他们工资
达咩
鸵鸟
比烂
哈哈哈哈哈哈
牛逼就完了
哈哈哈哈哈哈
郑爽啊
哈哈哈哈哈哈
各路水军呢
那个女演员是专门演这段讽刺流量的吧
帅啊刘德华
弹幕有这么多提醒的就离谱，现在人已经连这么明显的戏中戏都看不出了吗
达咩
粉丝宠的
哈哈哈哈哈哈哈
赵薇也别洗了 军旗事件
粉丝 制作方 宠的
哈哈哈哈哈哈哈哈哈
我去，昨天做梦就梦到我躺在地上，从一辆卡车底下穿过去了
其实不光是流量明星的问题，而是其他行业也是有这个现象，很多孩子是蜜罐里长大，被呵护大的
所以现在的剧那么烂 谁看啊
韩流用心也不只不过是好一点而已…
说的太对了
所以说国内演员被捧得太高，那哪里是演员？
士元
凤雏说得对
退步？从楼上掉下来了都
华仔都哭了
病态的社会，国家的悲哀
不是我们退步了，是资本的腐蚀已经在触及我们的核心精神层面了。
哈哈哈草，真实
一模一样
吴京老阴阳人了
要是真这样，不容易
所以到底是什么电视剧，你们又不说！
这些才算演员
233
要钱的嘛
流量明星有职业道德吗？
所以啊 烂剧坚决不看
妈呀，真枪吗
这是戏中戏啊别被误导了
需要国企大厂
哈哈哈哈哈哈哈
我是特种兵
还  我  军  师  来！！！
？张艺兴是被成龙大哥夸过的好不 别为了黑而黑
张艺兴被成龙夸过的
任何东西，只要掺杂了资本，都会变得恶臭
哈哈哈
现在的一些影视完全没法和以前比
？？？？？？？？？？？？？？？？？
骨折真的好痛呀，他还能继续拍戏
被✓罕见气死
这是什么剧啊，看起来很讽刺的样子
成龙是真的顶
哈哈哈哈哈哈
不喜欢看，只是饭圈低龄化带节奏太严重了，有几个真的有演技拿得出手的
哎，世道变了
荒       木       飞        吕        彦
哈哈哈哈哈哈
湖南卫视出来挨打
这什么剧
娇生惯养长大的，能指望他们干什么？
+++
把现实照搬进戏里也可以收获收视率，吐槽能量满满！
大赞
明星一文不值
何止郑爽明星多的是那样的
现在的某些明星哪能叫演员
成龙说夸张艺兴是因为他是电影里的演员不然能说他不好吗可以去搜完整的
关人家蔡徐坤啥事儿啊，他又没拍过戏
哈哈哈哈哈哈哈哈哈
这就是以前的演员啊，现在都是流量明星
被罕见气晕
草
吴京的片子也没多好，这不知道有啥好吐槽的
哈哈哈阿海
男演员应该是站着尿尿的
哈哈哈哈哈
哈哈哈哈哈哈哈
早年的演员都确实很敬业
不得不承认:我们退步了
换掉演员吧  李梦就被白鹿原换掉了
哈哈哈哈哈哈
那是龙叔
贱不贱呐
哈哈哈哈哈哈哈
标准何老师，你太棒了
京哥牛逼
卧槽
歪嘴
这是在演的吧
华仔的演技真的是这么多年练出来的
狗罕见
也太拼命了吧
投资人导演只要票房流量，要赚钱
凤雏。。。。
那些不是演员吧
华仔在讽刺张柏芝呢
蚌埠住了
现在的明星看到老一辈演员这样讲只觉得可笑，反正我挣钱多，我有名气，管职业操守干嘛。
我是特种兵
原本皆为分内事，何须高唱文明歌
说真的是真不认识是谁的都能当主演
来了
导演最大的问题就是找了帮垃圾
恶心的资本！！
玩着把钱赚
吴磊热巴长歌行被喷纯属是因为演员不贴角色而且剧本稀碎好吗？
哈哈哈哈哈哈哈哈
现在的剧能不能先把美颜下了
绷不住了
说白了也是国家的问题，任由资本横行
这是演的
以前叫演员现在叫明星，害
以前演员是为了成片，现在演员是为了片酬
因为现在钱太好赚了
饭圈畸形
连资本踢出就没这么多牛X了，可惜
韩荣发
傻哔粉丝给惯的
这里是吴京为了拍军旅剧，跟特种兵同吃同住
吴京真男人
吴京真男人
成龙牛啊
房祖名
一天挣一爽 W
哈哈哈
顶级演员208
这种正能量的东西多发一些。
虽然，但是受伤依旧工作我觉得还是不可取的，身体也很重要，不要太拼
不体会怎么演得出来感觉
直接开除算了
BGM 太low了
哈哈哈
大哥们牛逼
郑爽表示不服
哈哈哈哈哈哈
过去大部分人都喜欢看真男人，现在满屏娘炮
郑爽
哈哈哈哈
还我军师来
以前的演员才是演员！
吴京踩了睡觉的周杰伦---京踩觉伦
流浪明星帮我戒掉了电视！
是你吗？凤雏，俺是卧龙
刘德华眼里好像有泪（也可能我看错了）
不止做演员吧，守时是一个人最基本的素质
心疼giegie～
这段是一个讽刺视频嗷，别瞎骂
是的
邱老哥吗这不是
邱老哥
从非常愤怒到平淡，多行不义必自毙，他会自己毁了自己
南京大学的学生给我们立了个新！
哈哈哈哈哈
想去看这部剧耶，叫啥名？
哈哈哈哈哈哈哈哈
经纪人不是保姆？
我也想知道，这种风气什么时候能整治
就是导演问题，这种演员招过来干嘛
当然啊 没拍到 那不就白断了吗
刚刚那个电视剧片段就是讽刺的！！！友军！！！！
这是戏中戏
Bgm是什么
龙叔，不愧是奥斯卡终生成就奖的人
一天208w的可不止郑爽一个，只是她被爆出来罢了
幸运的是我们还有清醒的演员，不幸的是我们只有他们
凤雏洗ZHSNG
凤雏说的对
看到封面就想笑
哈哈
密码正确
一个可笑的时代
之前是文艺界，现在是娱乐圈
前面说拖靶的人
quan
大家不看流量
嗲嗲的让人起鸡皮疙瘩
不讲艺德
流量必死
治本已经污染了影视也直接污染了价值观
现在厂子干活准时下班成了工厂的优点不也一样吗
背台词理解角色体验环境不是演员应该做的？你能说你上战场没拿枪？
凤雏先生！
哈哈哈
他们知道对错个屁
哈哈哈
不能比唉
现在一堆牛鬼蛇神
凤雏
哈哈哈
那你就说出来啊！
成龙太猛了
卧槽坦克过身
值得尊敬，但是也要对自己的身体好一点，毕竟命只有一条
人妖们娇贵
脸皮够厚
最大的区别不单单是演员本身，还有为了利益特意把本就不会演戏的人捧出来的那群幕后人
贱不贱呐
成龙大哥，那些流量不配跟您比啊！！！
诶呀，京哥，他们要是能织毛衣也行啊，他们能吗？
是
蚌埠住了
凤雏
这是演的
别搞特殊这句也太帅了吧我的天
老一辈的才叫演员演艺人，不过是大腕儿还是默默付出的绿叶们！！
看看周迅孙俪排古装剧做多少准备
这是友军，拍来讽刺，希望某些拿着高额片酬的有点逼数！！！
这段不是一九年开学第一课的吗，还是一八年
哈哈哈哈哈哈哈哈哈
所以我不会粉任何小鲜肉
成龙厉害
卧槽
老子赏他（她）口饭吃，把嘴给养叼了
韩荣发
握草
@肖战
时代变了
这是友军吧，就是拍的视频讽刺这些的
鉴不鉴啊
蚌埠住啦
好真实
有的演员哭戏前还打打闹闹，情绪真能迅速转变嘛
形象
真的该整治整治了，什么小鲜肉，一个角色没记住，真的是够了。
？？？
红番区
方芳姐也纳闷，不迟到不是应该的吗？怎么还赞美她呢？
工作还能随便玩手机吗
这个是演的别喷
京声尖叫
人家剧组能请她来，就不是为了她拍戏的实力
真正的演员和流量艺人的区别
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈笑死我了
哈哈哈哈哈哈哈哈哈哈哈哈，大哥也有喜剧天赋
大哥是用命玩出来的拍电影
好恶心
现在的演员一天208w
因为流量挣钱
人家是带资进组，你行啊？
原来成龙历险记轮椅那集不完全是编的
这是个讽刺视频吧，别急着喷啊
快说啊
龚什么那些人好好看看
茄子？
笑死了
wc
这是戏中戏啦
华子！！
蚌埠住了
整容脸
致敬
大哥还是太牛了
@杨幂
啥剧
李梦？
凤雏啊
他们是演员？就那群小鲜肉是演员？
经纪人也哭啊 吃别人的饭
这是神幻拍档的背景音乐吗
娱乐至死 这也不至于哈
哈哈哈哈哈
确实值得敬佩
体验生活必须有
肮脏的资本，能把任何东西都搞脏
绝绝子
哈哈哈哈哈哈哈哈
牛逼啊  经典就是百看不厌  百看！不厌！！
贱不贱呐
无处不在的劣币驱逐良币……
达咩
现在的演员质量不行了，想找个电视剧消磨时间就那么难吗天？没一个好的电视剧能看，大多是滤镜严重的，视觉疲惫
可以，入戏很快哦
戏中戏
唉，喜来乐里面的老板。
抽华子
这才叫演员
惯的
拱卒
致敬 老一辈艺术家们
忍不住气氛
你XX谁啊
退步了
扭三小凤凰啊
演员被资本买了，只要长的好看就行
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
茄子
华仔
肯定演啊，还带转场的
一位公正的实力老演员说得好，演艺圈用小鲜肉这风气是一列火车的问题，你别拿一个车厢说事。
打咩
资本
反复鞭尸
所以我不看电视剧
不仅是戏子，现在好多普通百姓也成了享受型的了
你好骚啊
见封笑
不只是演员，最守时是基本的道德素养
以前的演员值得我们尊敬现在的演员真就是演
致敬
是的
阴阳怪气
流量明星：你念我身份证得了
是人的最基本条件谢谢
那女的谁啊 根本不认识 无语
拿着钱不干事
我tm人傻了
京声尖叫哈哈哈哈xs
将军
确实
致敬
茄子
攀登者！！
诺澜
密码正确的别在这抖机灵了，逆天么？
哈哈哈哈哈哈哈
脚断了
这个是什么剧啊
《向往的生活》
诺兰经常用那几个演员演技真的没的说
卧槽
唉
台词都不能背20个字呢，一群弱智玩意儿
真打
女的应该是拍的讽刺这种现象的戏
前面的，没有全部脱靶好吧，旁边的教官都夸了
含京量致死
大哥值得火！！！
哈哈哈哈哈
哈哈
这就是世风日下的证据
哇崽
三当家的
所以我爱赵鸿飞，小鲜肉都闪开
真演员都是这样的
棒子真是从里坏到外
致敬！
没办法 来钱快啊
还是娱乐圈太好混了太舒服了。
你们怎么能说肖战割割（狗头保命）
233
哈哈哈哈
卧槽
达咩
成龙大哥这种拼出来的国际影星，一般的演员真比不了
这些流量毁了内娱  为什么会有真么多疯狂追星的
哈哈哈哈哈哈
看到标题我已经开始笑了
膝盖硬跪不下来
对！
这怎么就高危了？？逆天
龙叔这一演，演技都甩它几条街
假演员！滚！发起抵制！滚！
龙叔最棒
直接枪毙
达咩
新警察故事 
房祖名
黄景瑜嘛这不是
主要是观众太她娘的娇生惯养，喜欢娘炮男！
门槛太低了
劣币驱逐良币
可爱
对
哒咩
iu量
给脸不要脸，不伤他面子他自己不珍惜
我就是要说我讨厌娘化的男明星！
哈哈哈哈哈巨TM真实
华仔
都是演员的基操
哒咩
哒咩
万恶的资本
哈哈哈哈哈哈哈
致敬
 ready action jump hospital
我很讨厌等人，所以我不会让别人等我
偷国那套别学 耻辱
我讨厌那些不守时，明明已经迟到了还慢悠悠的人
九年义务教育语文教得太好了，太普及了。
肖战
赵露思吗这个是
黄子韬不会的，成龙和他拍过
直接念baby身份证号
但是助理有没有错
遇龙
士元是你吗
低了
庞统表演者可是一个将军
他以前是鲜肉，但是也是演员，现在的流量又不鲜肉又不会演戏
任（豪）桑去日本发展吧
啊呀这位大师是汶川地震中接受妇女在寺庙产子的大师啊
这事要问腾讯这事要问腾讯这事要问腾讯这事要问腾讯这事要问腾讯
何炅等湖南卫视之流，然后跑男一众的，基本不就把当前的流量明星涵盖了嘛
凤雏谁起的，哈哈，绝了
208万，别人一年的工资也才这个零头
哈哈哈哈哈哈哈哈哈哈哈
陈学冬吗哈哈
问题是有些导演剧组也是资本的狗
活0活现
《幸福敲了两次门》
好危险啊
跟韩流有什么关系 韩国有名气的可都是打拼出来的 和国内流量小生可不一样
都是给惯的
天呐
这个是在我们部队66329四连，我还合影了
CXK不演戏别乱开枪感谢
妈呀，这个角度和茄子一毛一样
向我开炮
鹿晗
杜旭东老师
不是退步，是戏子又回下九流了
孟庆和
戏中戏？
人吴京年轻的时候更帅
这里有个制作周期缩短的问题，不仅仅是态度变化，以前四大名著前前后后拍五六年就短短三四十集，现在七八十集可能半年多就拍完了，有些电影还能留时间给演员，电视剧真的很少了
该重新定义一下德了，得过且过的不行
好片难，好演员更难
这谁啊
助理走戏？？？这比什么都夸张……
现在演戏真的只是演
资本的力量
成龙人品不知道，但是拍戏真没的说
是，所以我不看剧了
这才该一天日薪208万
孟庆德233
这戏中戏吧
一看就讽刺的啊，真的怎么还会有分镜
这是拍来讽刺的剧还是真的拍摄现场啊？这女的脸皮这么厚？
蚌埠住了
别方说10亿资金，好莱坞花9亿后期制作，1亿请演员！国内花9亿请演员
真的，这样下去没有未来
那个是谁啊？
庞统
你～干～嘛～诶～呀～诶～哟
打卖大买代买
何炅
张大大
哈哈哈
资本运作的市场就这样呗！
最讨厌不尊重老戏骨的了
确实需要好演员，要有好艺德
对呀，演员就是一种职业！
真的演员和流量不是同一个
吴京你阴语不及格还是直接怼吧
哈哈哈哈哈哈哈哈哈
外面在内卷，圈内在放屁
赵丽颖成天营销敬业片子全是垃圾片
靠，，
赵丽颖 杨幂 迪丽热巴 肖战 王一博
不咋看国产剧了，戒得差不多了
哈哈哈哈哈哈哈哈哈
达咩
战狼吴京
不容易呀有一根刺
这就是一集电视剧
就好像法律是底线而不是上限一样
但是点出来啊，说话说一半
身法
我的天。好man
守时是做人最基本原则
没演技，钱还拿的比敬业的演员拿的多的多
很久很久不看国产剧了
到这儿来干活儿来了，好评。
腾讯出来挨打！！！！！！
现在的演员我都不感冒
吴京真男人！！！
就是他们！
我呸，别拿什么演员安全说事儿，保护演员安全和演员这边有什么关系
哈哈哈哈哈哈哈哈
房祖名
太真实了
看的我又气又心疼
我是特种兵电视剧，这是真的
还好我家鹿晗是实力派
房祖名
因为有条件了，以前没条件
守时是信，诚信者，天下之结也
成龙家庭内部可能有过错但演戏是真卖力
笑死
娘炮太多
哈哈
鹿晗拍流浪星球自己认证一卡就去看手机上分
三体yyds
哈哈哈哈哈哈
刘德华  永远的神
一袋米扛几楼
错的是当代的流量市场 
不一定是房祖名
我不信那些男演员会织毛衣
这种流量明星封杀吧，求求了
现在3D动漫比演员演的好看几百倍
被狗罕见气晕.jpg
这是拍的反讽的，不是真的。演员是友军
杨幂
还好还好
没办法的粉丝强大
前面的韩国演员敬业多了
这段是演的，演的蛮好的
大哥，辛苦你了
刘德华真的是艺人楷模！！！！
希望大家敬业，但也不希望大哥这样受伤
大哥真是真敬业
娘的一P
演员行业 没落了
杀人猪心
这玩意儿是挺危险的
就是
怎么又鹿晗了你又懂了？
2333
caixukun
都是腾讯 爱奇艺的赚钱工具人罢了
哈哈哈哈哈
大咧咧
哈哈哈哈哈哈哈哈哈
房祖名
这些演员就该封杀了
这些演员就该封杀了
别以为咱们中国没有资本。动画产业，游戏产业。不少产业都是一种被遏制发展的状态。
戏中戏
哈哈哈哈哈哈哈哈哈哈哈
被粉丝惯的
美颜滤镜的电视狗都不看的
冯小刚
所以我好久都没看过国产电视剧和电影了
哈哈哈哈哈哈哈哈或或h
牛逼哄哄的
所以很少看国内电视剧了已经。
蔡徐坤骂骂咧咧的退出了视频
哈哈哈哈哈哈
绷不住了
我就是战狼我骄傲
退步了
哈哈哈
赵丽颖是国家认证的演员。你们有什么资格说？
我华哥捶胸顿足啊
荒木の模仿
刘德华说的还是太温柔了，给足了面子
侠探简不知的配乐
什么人啊这是
被勾罕见气晕
该整治了，演艺圈
你们从不退步！！
南无、那啰谨墀．醯利摩诃、皤哆沙咩．萨婆阿他、豆输朋，阿逝孕，萨婆萨哆、那摩婆萨哆，那摩婆伽，摩罚特豆
致敬
想想某爽那作逼！垃圾！！！
日薪只有那些为了国家默默无名的科学家才配
问题是拿高工资的很多是不敬业没演技的人啊
哈哈哈
资本！
恕我直言，这样的粉丝将来很大程度上都会成为废材……我也没说绝对哈
老戏骨和小鲜肉的区别啊，唉
x
想知道那个讽刺的电视剧叫什么
社会丑陋
过去是演员，现在是戏子
蚌埠住了
流量真的配当演员吗
演戏都不好好演
但我还是很讨厌吴京
吴京确实有资格说啊，拍战狼先去部队
这种演员真让人无语
底线在下降
这也是一种精神文化宣扬吧
别搞特殊 OK？
收放自如，这是一样演员的基本素养lol
龙叔无敌
动画势在必行
woc
京哥，真男人
操了，弹幕别cue杨洋，杨洋是成龙大哥点名表扬的
果然演技炸裂
被苟罕见气晕
dame dane
哈哈哈哈哈哈哈哈
xz出来挨打
成龙真男人！
是的！所以我从来不粉流量，只爱你们！
古时以琴棋书画为娱为尚，现在呵
不只是演员，守时是所有生物最基本的原则
还有拍戏吃瓜子的赵丽颖，导演还剪进去了
上个班都得准时呢
帅
都是垃圾，垃圾才会喜欢垃圾
说的太对了，现在某些演员连基本的职业道德都没了…哦，艺人，不是演员
肖战
惹不起，惹不起
这难道不是应该的么
演员的自我修养
那女的是谁啊！是事实还是拍的视频反应情况
国家真的要管管演艺圈了，严重影响当代年轻人的三观
哈哈哈哈哈哈哈
哈哈哈哈
只看好演员的戏，流量明星的电影就留给他们的粉丝吧
一天一爽
好讽刺啊
成龙yyds
准时是应该的，大家都应该知道。
连用原音都能被夸
郑爽更厉害，她不想演直接走的，怼得何炅无话可说
达咩
点名啊 为什么不点名啊
资本
太悲哀了，退步了
无德的社会，让人有德才困难了
吴京为拍战狼，去部队十八个月！把自己练成了特种兵
来了
杜叔
确实该定义一下
这个剧叫《幸福敲了两次门》
因为现在经济繁荣了吧
这种现象天天有人说，有人批评，到底是一股什么样的力量导致现在没有多显著的改变。
wori。。
吴亦凡实力派？我吐了
别胡乱猜测，成龙是非常肯定杨洋的，他说过敬业的人他会点名表扬，不敬业的不点名，“看他几时完”
mmq
可以准时，我就不准时，哎，就是玩儿
垃圾观众给惯的
别一棍子打死一帮人
肖战
万恶的资本
凤雏哈哈
大宅门哩的谁来着
这是戏中戏，别乱喷
普通人上班还要守时呢，凭啥这些拿高薪的人反而什么都不用干
没本事不准时罚款，有本事，不准时你敢怎样
这方面叶童做得不错，她懂得别人的辛苦和付出，所以记台词特别用心，上百句台词一点不差。
