第一个弹幕
原曲名：Forget（by Pogo）   此视频BGM：Forget（Slowed Down）
遇到横扫一切怎么办⊙▽⊙
 主 角 登 场
好厚的血
猫妈：玩了这壁孩子废了
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
你脸红个泡泡茶壶啊！！！
优雅实在是太优雅了
优雅实在是太优雅了
优雅实在是太优雅了
哇呜，他感觉他好可爱
这位更是重量级
儿子的广场舞比我还好
他头顶上是什么？
猫王
人传人现象
霍师傅 尝试窃他中路
好怪。。。再来!
你看你的报告……额
豹姐：恩？你敢偷懒！
卡哇伊得死内。
熟练的让人心疼
天闹黑卡！板载！
横扫!!!（doge）
除原版外摇的最好的一个
这是CEO啊，我还以为只是一个小官
为什么不加个《横扫之刃》
禁止职业选手参赛
bgm: forget
往中间给呀
离谱
最喜欢的一集
每日一遍
这位更是重量级
新老师的成名bgm
肾战
军训时正在训练刺杀操的大一新生
喵妈这表情好复杂
我从前很喜欢这歌的，现在让我无法直视了（）
哈哈哈哈哈哈
要来了要来了
每周必看
是我就抽了，搁着戳
这不鸡哥给的平板嘛
你脸红个喵喵锤
哈哈哈哈哈
喜羊羊
666
抖音上是失败的man，快手上是奥特曼，b战上是懒羊羊
第1000条！
老板：给我整不会了
¿¿¿
不像演的
关键开团
百看不厌
hhh
这个不会是鸡哥送的平板啊
全程看尾巴哈哈哈哈⌓‿⌓
哈哈哈哈哈哈哈
和抖音上的不一样，抖音是蜘蛛侠，这里是喜羊羊
好家伙，连小孩也会
以前电视里的是失败的man
你但凡横扫。就不会打不动了。
专业对口
《每周必看》
每周必看
骑砍里的长杆刺击武器
一脸欠揍表情的小老弟
猫弟头上有个小G8
再来一遍呃啊啊啊
想揪狮子的尾巴
太太你脸红什么
捅腰子（bushi
你脸红个泡泡茶壶
焯
|(
每日一遍
wea
笑妈啊
","
这不来一招横扫千军加剑刃风暴
157人正在观看
我真的喜欢老弟
？？？？？？？？
小本（幻视）
刺 杀 操
这小弟。给我一种他会做蘑菇。还会躲草丛笑的那种感觉。
这小东西给我一种，他会种蘑菇的感觉。
反反复复看了
但凡横着批一下
八嘎呀路
陈静
一脸懵逼的老板，怒不可遏的豹姐，难以置信的猫妈
后面有只鸽子在玩游戏
每周必看
哈哈哈哈哈哈
要
你他娘的真是个人才
戳他中路
你脸红个泡泡茶壶
刺雷
战地五刺雷
弟弟好可爱啊
最爱的一集
这确定没躲反吗！！
这个尾巴，一定吃了德芙
鸽子：....？这个玩意....
抖音上电视里面是蚊子侠
每天一遍
曲对币有
CEO后面有人在打cs呢
立体环绕音
《》抖音的是》
专业对口
.
这尾巴太妖娆了
消失的游戏机 
这表情就是：他真的我哭死
我傻了……这也太超前了吧！不过我喜欢嘿嘿嘿
呜呜呜失败的man
尾巴好妖娆
尾巴好妖娆
拼刺刀
主角闪亮登场
这个平板是上次鸡哥生日时鸡哥送的
我直接顺劈
“叶师傅，尝试切他中路”
掐他中路
鸡哥送的平板
遍地生草hhhhhhhhhhhhh
「游刃有余」
好怪哦
为什么抖音上的是失败的man？
卧槽
每周必看
失败的man呢
哈哈，豹姐好可爱
豹姐切他中路啊！
笑成狗了
这位更是重量鸡
想打到在原地搓两次
妈妈 我有点打不下去怎么回事
hhhhh
母爱的本能啊！
看表弟头上像什么
感觉动作和原版反了
0.75新的体验
0.75新的体验
抖音上小弟看的是失败的man
懒羊羊 懒大爷
哈哈哈哈哈哈太草了
有点上头
1.5倍小扶摇。
我直接上来就给你一招横扫之刃
抖音上小弟看的是失败的man
看头发
小幅，开始下落
@王七叶
杀给给
气的豹姐鼻子都没了
每日亿遍
豹姐:八嘎呀路，死啦死啦地
gei～gei
78
78
为什么不横扫？？？
Forget (by Pogo)
已经是第10遍了，根本停不下来。
小孩没有腰
横着打呀
豹姐气急败坏
切他中路啊！！上啊！！
你看头顶的那撮毛
看头发
看头发
000
 好家伙变成每周必看了
每周必看
这么温柔绝对不是亲妈
主角
草
切他下三路
背后有人在打cs呢。
打不到
我发现这个音乐是立体音！听出来了裸耳3D！
.......
所以我为什么不可以横着呢？
自信的优雅
草hhhhhhh，鸽子这个表情
自信微笑
每天亿偏
要女战士。
一日不看，浑身难受
喜羊羊说。你版权有吗？
qua主角登场
同款iPad Pro好评
终于让我看见你了
我去躲闪摇进化到小孩都会了
《专业对口》
《专业对口》
哈哈哈哈哈哈
前面几个怎么腰不对呢只有这个小孩子了 。
草
鸽子代表：江鸽
狮子代表：小本
注：某音电视机中播放的是失败的man
[每周必看]
韩信玩家震怒
Forget (Slowed Down) 
失败的men
我记得最后看的是失败的man呀
躲闪的小曲
<真擦边>
我最喜欢的一集
我居然收藏了
优雅小曲
在抖音上那只猫看的是《失败的man》
你看他的头发 像啊！
哈哈哈哈哈哈哈
cpo在干嘛呢？
一脸疑惑+无奈
放心豹姐不敢
要是下一期豹姐跳这个舞就好了
1.75倍速食用
电视上之前是失败的man
上个就是王七叶
每天必看
放我出去
在家里面用了，结果直接打头
小弟好玩
好牛批
BGM是什么？
小弟专业扭这个的
王七叶姐姐～(￣▽￣～)~
鸡哥给的平板
我感觉这才是躲避摇原版
优雅实在是太优雅了
《咬牙切齿》
UP地球一定很想家吧！
你脸红个泡泡茶壶啊
6666666
《 我 发 誓 看 完 这 遍 就 不 看 了 》
他居然在看喜羊羊，怀念童年了
这个尾巴有点甩到我的心上
真的很洗脑
笑死了哈哈哈哈
这个电视不应该是失败的man嘛？怎么变成懒羊羊了
横扫之刃
0.5开启新世界
喜欢老弟，这腰不错
“战地一”
猫妈:你给我解释这咋回事！来！
|}
每日一遍
wocao豹姐这抖的
我觉得有点se
为什莫不横扫
正片开始
他甚至一开始的背景音乐都是左右左右的
仔细看老弟的头顶的毛
生儿育女了 属于是
生儿育女
欢迎回来
骑  枪  对  冲
6
6
专 业 对 口
bgm：forget
优雅！！！
横扫之刃
横扫之刃
想看猫小弟
智慧的眼神
儿子终于长大了
♂♂♂♂♂♂♂♂♂♂♂♂♂♂♂♂♂♂♂
WDF
《字幕自己脑补》
？？？？？
入坑作
竟然是音乐博主
真的有这么丝滑吗
每日一遍
切中路
草
操，哈哈哈
哪学的？
打不到他就砸头 
不知道这是什么品牌的狗 看他的眼睛就想笑 
《专业对口》
尾巴太丝滑啦
小本！你怎么了小本！小本！
你们仔细看猫弟的头顶
妈：重开个新号吧
每日一刷
天闹黑卡！板载！！
谁揍人这么揍不都甩着打吗
我的横扫之刃呢
好可！！！！！！！
她动心了！！！
我记得这里小弟在抖音看的是失败的man
hso
［每周必看］
好家伙变每周必看了
我记得电视里不是苍蝇侠吗
尾巴太带感了
？
？
？
没有技巧，全是感情
小老弟本色出演
优雅实在是太优雅了
？
？
不是？ 你脸红什么？
""
