这个桥是泥土生 
能吧重装机兵一比一拼出来吗
他的世界
？
双厨狂喜
创事小玩家
RJ!!!!
可爱捏
rj
前面的老泰拉了
《您的世界》
啊?
区块加载中
%10
%50
别人的世界
能吃吗
世界生成中…
此时来了一个苦力怕
RJ！
《俄罗斯方块》
《俄罗斯方块》
new bee
《你的世界》
可以
他的世界
666
我开始晕3d了
《别人の世界》
肝
太肝了
我tm看我的世界还要吃狗粮
这是你的世界，不是我的世界
我是我的世界玩家!
你币有了
七年萌新报道
rj！
难怪我加载世界这么慢原来是你
您
我还以为这是谁发的弹幕↓↓↓
我的下界
草
牛逼
这个桥是篝火
这个白桦木好像威化饼干，看上去有点好吃
您 的 世 界
这不比迷你好多
别人的世界
您的世界
最*清理
专业
正在平整地图(为什么不去试试泰拉瑞亚呢)
弹幕什么泰拉瑞亚
真 光追
你的世界
绿豆糕
白桦树做的太高了
神奇呀 收藏了 
rj
卧槽
表情包！！RJ！！快和妈妈回家！！
高白桦树又不是没有，哪来的太高了
组队偷东西1/10
generating world
《我(不配)的世界》
别人的世界
正在生成地形····
好细节！
您
音效牛逼
woc
草都这么细，蚌埠住了
来自八年老玩家的致敬！
我的世界！
我能用超轻粘土做么 狗头 狗头 狗头 
你的世界
谁的世界？
你三连有了
他的世界成就已达成！
我妈要是这样给我弄一个，我初中也不至于考那么低了
正在放牧  树木
我妈要是这样给我弄一个，也不至于现在这样
怪不得每次加载世界这么慢（doge）
大脑：学会了。手：啥？
您
感觉好可爱，小小的马赛克hhhh
生成地形中
微操！微操哈哈哈哈哈哈哈
哇
真方块水
您
渐渐离谱
别人的世界
世界生成中…………
声音真像。
皆若空游无所依
欢迎来到迷你做不到系列
芯片有希望了！！！！！
正在种草
梦回地下城
开个光影
RJ!
正在拆除无用机关
《自然》
生成地形中 ……%32
迷你做不到系列
七年“新手”前来报告
mc白桦树是有高的品种的！
皆若空游无所依
您？
分层设色地形图
天冷防韩
出生在沙漠的我：树？什么是树？
像啊，很像啊（赞赏）
建议打光亮一点会很好看！
爹的世界
您的世界
很好，开始头晕
迷你做不到
我寻思我也妹眨眼呀
所以你们进入游戏的时候加载的时间才会那么长。
80年老玩家
迷你根本做不到。
5㎝芯片
刘易斯枪音效？
下次一定
好评
上面的老饥荒了
达成成就：建造者
《别人的世界》
RJ！！
原始白桦林群系的桦树就这么高
每周必看
僵尸呢
迷你下架了，djgun玩啥？
他们的世界
还有音效，爱了啊
114514年玩家报道
生成世界中   小提示 ：你知道吗 迷你没有交版权 
音效好评
俄罗斯方块
别人家的世界
很少有高的白桦木 特别是在橡木群里
《您的世界》
这么好的岛，怎么能少得了艾尼路呢
11年老玩家报到！
焯…焯…焯…（幻听）
間諜家庭
记得投币
每周必看
RJ！咋在这捏！
你的世界 我的世界 好像不一样
正在生成地形
每周必看
为什么没有水鬼
艺术！！
树叶好形象！！！
rj！
什么砸挖路多↑
卧槽牛批
你的世界
XX世界做不到系列
正在使世界变的漂亮
卧槽
正在添加基底
正在生成*皮
正在使世界平坦
正在种树
使生物群*多样化
正在添加灌木丛 
正在种草 
正在添加生物
玩*出现
正在放鱼
正在添加水系
世界生成完成
我的泰拉瑞亚（Doge）
RJ！
怪不得我每次进mc都这么慢，原来是这么生成地形的
请停止你的泰拉瑞亚行为
这羊不是rj吗哈哈哈哈
桦树好像没有那么高唉
RJ哈哈哈哈哈
这不撸树
五年老玩家报道。
五年老玩家报道.
哈哈RJ
快上小黄车！！！
《别人的世界》
护眼，护眼，护眼，护眼，护眼，护眼，护眼，护眼，护眼，护眼，护眼，护眼，护眼
护眼，护眼，护眼，护眼，护眼，护眼，护眼，护眼，护眼，护眼，护眼，护眼，护眼
护眼，护眼，护眼，护眼，护眼，护眼，护眼，护眼，护眼，护眼，护眼，护眼，护眼
卧槽RJ！！
RJ！
别人的世界
正在生草
惊现RJ！
《核舟记》
音效错币无
生成地形中 ……50%
添加一点点细节
怪不得这么卡，每次加载这么慢，原来是你(手动狗头)
这弹幕一股子饥荒味
“自然”
《关于这是别人的世界》
世界生成中
地形加载中
RJ！！！
别人是我的世界里建现实，你是现实里建我的世界
正在长草
地图生成中…
您
白桦木树干太高了，一般白桦木都是五-六格
我出十块买了
离谱
来自10年老玩家的表扬
这不是搭火车吗
游戏名：看了《反正不是你的世界》的尝试与觉得自己是LS
RJ!  想rua
地形生成中。。。
（———                            ）
（———————                   ）
（——————————— ）
RJ你怎么在这？
连树卡在地里都做出来了
up的世界
地图加载中
《His world》
您的世界
这个白桦树怎么这么高【doge】
正在生草
我特么看成迷你世界，火卓，我这什么狗眼
我一开始看成了软xiong，还有救吗？
卡瓦
莫叽???RJ你怎么在这???
弹幕里甚至还有饥荒和泰拉的加载标语
《榫卯结构》
你的世界
量产！
建个故宫吧
这不就是手工，只不过是一以我的世界为主题，真不懂你们会说迷你做不到
哪个熊孩子要是敢把这弄坏，我抄起斧头就到他家门口
rj！
反正不是我的世界
没开光追
果然我突然刷到是有原因的！！！rj！！！！
突然出现的RJ
这巧克力能吃吗
优雅，太优雅了
这花花草草做的也太细致了
《我的世界》
￥648
别人的世界
11年老玩家报道
放牧的老饥荒了
别人的世界
生成世界中
你的世界我的世界好像不一样
苦力怕呢
您！
世界正在形成
《他的世界》
我说我生成地形的时候怎么慢呢
真实的世界
突然出现的RJ
不，这是大家的世界。
某你玩家做不到
正在种植草药
幸运方块
捕捉rj！！
反正不是我的世界
别人的时间 
你的世界正在生成
正在长树
游鱼细石，直视无碍
正在装填  草地
正在放牧  建筑
卧槽我幻听了
《正在生草》
助力每一个梦想，顺便涨点经验
老版本的白话木林就是这么高
您的世界
别人的世界
正在种草
我的奋斗
反正不是我的世界
别人的世界
好熟悉的音效，怀念
好好看！
该区块没有钻石(雾）
RJ！！！！
《您的世界》
您的世界
可以出周边了都（）
他的世界
你的世界
生成地形中……30%
欢迎来到《别人的世界》
进入世界
上面加载慢的那个，你玩的是网易吧？
真，迷你世界
不三连说不过去了 好厉害啊
恁嘞世界
地形加载中80%...
这熟悉的花花！
居然还有榫卯
再来个苦力怕
卧槽这个水质感贼踏马棒啊啊啊啊
爱了
《我的世界》
您？
我超。。
这不是抄袭迷你世界的吗（狗头保命）
yee
梦中情界
正在生成腐化...
正在让世界平整
100%加载成功
我配不上的世界
5
《你的世界》
！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
RJ？！！！
笑死了bt21不愧是宇宙大明星
6666
前面RJ的等等！哈哈哈哈哈
游戏名：ta的世界
RJ耶！
别人的世界
1.18.2？
woc！
我的世界:不好玩
别人的世界:好玩
您的世界
¿ɹədəəɹɔ
别人的世界我没有
yee
《皆若空游无所依》
这个项目我王多鱼投了
正在…？
你的世界
看起来好好吃
你学习不来的世界。
助力每一个梦想，顺便涨点经验
看不懂
居然有光影
你们说这会不会是迷你世界
官 方 加 载 视 角
我的世界与你的世界不是同一个世界
前面那个空游的怎么说（doge）
还是说
关键是这些都能吃
看起来像巧克力！
好棒！！
前面修个机场，空客死翘翘
《你的世界》
旧的世界
这样的MC不真实呀，不像真正的MC那种桥是直接搭的，而你这是横着，并且我的世界只能加模糊才能弄成。毕这就是罗普。
你这树砍一块能飘着吗(doge
RJ！！！
rj？
你的世界
正在放置液体
这么高你要我怎么砍！（恼
真·迷你世界
不，这是你的世界，不是我的世界，我不配呀。
你以为的我的世界
不，正常橡木跟桦木没有这么高
↑原来你也………
凭实力N刷
还放水吗？
正在种植鲜花
《皆若空游无所依》
您
地图生成中……
反正不是我的世界
我的世界yyss
老泰拉了
你的世界
甚至还有音效
看到这里我才发现是软陶，一直以为是蛋糕
E=MC^2(doge)
我的世界——自然景观
肝疼
啊！是雪
有一种在玩俄罗斯方块的感觉
回不去了
谢谢大家没有骂迷你世界，很感谢你们。
甚至还有鲑鱼啊啊啊啊啊啊
别人的世界
RJ!
真我的世界
助力每一个梦想，顺便涨点经验
期末考试完了给我点个赞
我的世界
等等，这不公平
加载地形中……
完成！
rj小羊！
注入灵魂
11年玩家
弃之，食up
挑战一下你们，我玩迷你世界。
怎么有点暗呐？
没有对比就没有伤害
整点南瓜
土上是不应该有草的
长按为up加速
玩家上线
RJ！RJ！
助力每一个梦想
正在加载地图中
开个光影???
我寻思我也没。。。
看着像糖，能吃吗
您
您
您
真•迷你世界
我还以为又是殴泥匠
原来这就是生成地形
《生草》
边角料炫涡嘴里
巧克力吗？
您
《自  然  景  观》
您
三连
地理模型？！！！！
确实帅
生成世界中...
上小黄车
这个是那个什么合成人类的那个游戏。
别废话，上链接！
助力每一个梦想，顺便涨点经验
正在生成世界中
rj ！！！
这能吃吗？（）
泰拉瑞亚是吧
《自然景观》
我为什么觉得这些事可以吃的
好想来一口
我的世界
您
助力每一个梦想
惊到了
6
正在生成地形
《您的世界》
《您的世界》，《我的下界》
可以吃了吗？真诚的问
正在生成 成桶的金
别人的世界
厉害厉害
是雪罢
迷你世界
迷你世界！
正在草
正在种*水**物
炫我嘴里
《‘我’的世界》
地形原来是这样生成的
服务器连接超时
迷你世界
为啥没有古力怕
不要什么都吃啊喂！！
天冷防寒
奶酪棒
他甚至还给水面加了光影
地形加载中
边角料炫我嘴里
每周必看 
《up的世界》
现在安放液体
不是，我的世界和迷你世界有啥关系
挂链接，懂？
《您的世界》
《反正不是我的世界》
《别人的世界》
他甚至请了专业培训师
助力每一个梦想
您
《君の世界》
隔壁泰拉来的？那必须欢迎啊
哟，这不爷爷神界吗
他在试图教会我们
苦力怕何在？
！！！
《空岛生存》
好怀念
正在生成地形中
前面的，老饥荒了
《正在加载世界中》
您
能吃吗？
你的世界
哦耶
在下佩服
RJ！！！！！！！！！
这玩意儿不止198↓
你的世界
你的世界，他的世界，我的世界
正在种植，威尔逊的胡须
《泰拉瑞亚加载页面生动化》
你怎么可以把MC变得这么科学
我的神界生成地形中…………
边角料炫我嘴里
弃之，食大师
别人的世界 
他的世界
怎么还有对象，这不科学！
难怪我的世界加载要加载这么久。
厉害
想给你个三连的没币了
每周必看
加载世界中……
生成地形中……
真是太逊了。
自  然  景  观
你这世界没有铁矿阿（bushi）
别人的世界
这是别人的世界
快炫我嘴里！
这不是挖掘音响吗
11年老玩家前来报道 
我都玩了11年了 
弃之，食手指甲
可以吃吗？
斯国一
生成地形中
肝帝
别人的世界
《 他 的 世 界 》
66666
我要这币有何用
每周必看
she me 
生成地形中......20％
地形加载中80%...
地形生成中:90
100%加载成功
！！！！
""
