我是第一个啊啊啊啊！
机械苦弱，血肉飞升
开发组怕不是被克苏鲁嗦螺了一遍
没有UI
好耶，新视频
/
电子榨菜，好耶
感觉一开始和安德的游戏中的那个游戏有点像。
好耶
妈呀紧张
好耶
卧槽看着好痛
18.23
施工现场是吧
是你吗李火旺
好晕
前方睁眼高能
呃呃前方睁眼
我记得我记得！！！！
静脉曲张
黑喂狗
掉san
普罗米修斯画风
好耶！是实况！
3000+了！
下饭
下饭
这画面有点晕啊
看到这游戏我直接一个三连狂欢
有没有高能君 我害怕啊啊啊啊
刚看完里昂介绍这个游戏
很克鲁苏
估计为了便于和生物科技连接
刺客信条
莫得皮肤
看饿了都
克苏鲁
黑喂狗～
画质好好
痛苦地狱就是这样的
哈哈哈哈哈哈
?
终于发售了。我隔一段时间就会搜一下
克苏鲁？
好像 有点晕？
这感觉好像普罗米修斯那部电影
动态模糊关了就好了
这个脸有点像安德的游戏里安德玩的一个游戏人物(生物？)
哈哈哈哈哈哈哈哈
好像异性哦
正在吃泡面的我，真的很下饭
这个视角好难受 感觉有点过于近了 
但是会要武器来着
这是驾驶位吧hhhh
哈哈哈哈哈哈哈哈
那么多人看没人说话？
伊森岳父？？？
有点像普罗米修斯的感觉
感谢CC的克系榨菜（
确实有点晕
科技版沙耶之歌
有生之年
下饭视频
承包空瓶
克苏鲁
我架着的手机也掉了
场景好好
等了不知道几年了
啊啊啊，当年我看过，终于等到了！！！！
画面好晕啊
画面太牛了
这是用pc玩的吗
有点儿晕
是不是静脉曲张
三连了！！！
好慌
下饭
谢邀，本来准备点外卖边吃边看，看了开头没有点外卖的欲望了
有点晕
FOV值比较小
高能君呢！
《罗马假日》
多填点弹幕！！！
慈禧同款小指套
4000多人
因为特别瘦哈哈哈
《好看》
太下饭了，这游戏
哈哈哈哈我提前挡住屏幕了
这不是干尸吗，如此骨干哈哈
感觉好美丽
哈哈哈哈哈，奇妙联想
你怎么知道自己两脚（doge
这句“你们看”好可爱（*/∇＼*）
说克苏鲁的连克苏鲁都不知道是什么吧
《大厅》
很难想象制作组开发这款游戏时候的精神状况
啊啊啊啊啊啊啊啊我的cc
居然下架了，难怪找不到了
生物朋克
可能不适合当榨菜
腿脚突然利索
爷青回！
先囤着，等c君肥了再看
不可名状
记得
《工作细胞》真实场景
我默默放下了手中的烤鸡
wow新下饭视频
像脐带
像脐带
晕3
晕了 卧槽
生物科技
好像不适合下饭
每次切镜手都会不一样
嘿嘿嘿
这气氛…好厉害
好耶
芜湖！！！！！！！！
道具指导：刺客信条
老游戏了
吃饭看
这不得全程马赛克？
身材......腹肌好多，欲言又止的CC（doge）
感觉好棒的游戏
芜湖这个点发 刚好吃饭
这个游戏这个游戏真的太期待了
《鸡关枪》
解锁钥匙扣
实机演示好像就是这集的内容
都在认真看，没顾上发弹幕
我之前看cc玩过！！
真生物科技
像牛喉管
我太爱恐怖游戏了
哈哈哈
异型的美术风格
尤其cc的
吃着炒米粉看
不是知道怎么开，这是被卡住没有完全闭合的门啊
克苏鲁
4000＋人
下饭
晕的友友们可以尝试盯住屏幕中间哦
好耶
终于出了！期待很久了！
这个游戏等了好久了
我寻思可能是这门卡住了
异形的飞船，有点像
没有嘴唇
当年有幸看过
热的
有高能君吗
增加弹幕
哇 我太喜欢了
熟悉的黑喂狗
嗨咯！
太绝了这个画质
我有强烈期望这个变成人
突然反应过来我好像看过demo
下饭
这个画面是真的好
猎奇诡谲
也是在那个时候关注up的
我好爱你，又有新的恐游了
感觉一会儿会突然睁开
hhhhhhhhhhhh
好耶
卧槽看着好疼
这个房子挺好的，家具齐全还带点科技
在吃饭ing
前排哈哈哈哈
克苏鲁那味儿
这样下饭才好吃
想买真可惜晕第一人称
前面的那个，你说的是灵笼吗
像站在骷髅嘴巴上
很棒的电子榨菜
圣巢
你个路痴真的行吗哈哈哈哈哈哈哈哈哈哈
好耶！
芜湖！
记得看过
像虫子身体内部
高能君在哪
哇！好想看这个游戏！！！
！！！！！！！
血肉枪械真的好特别好迷人
好家伙我刚才才在狼肉那看了
这游戏居然发售了。。。
AI制作？(bushi
电子榨菜
好害怕
沙耶之歌
异形呗
哇这个终于出了。。
太好了，又是实况，爱看
一堆拌了42号混凝土的意大利面（幻视）
不会突然睁眼靠近吧
记得！！
记得
我超这个！！！
4000人说说话啊！
完结撒花
我敲好新鲜
实况哇！！
想等到弹幕多点再看5555
画面好好
这是婴儿推车
一个小时，好耶！
生物科技
我好像见过这个枪
C菌用上4090了吗
且看且珍惜，指不定什么时候就进小黑屋了
有点掉帧
这玩意会说话吗
好耶！！
没有皮
痛痛痛痛痛痛
蜘蛛丝喷射器
下饭一级棒
凯瑞甘
新坑！！！！！
身上暴露身体组织不会就是为了这样子安装新装备吧
开心
C君我爱你
好耶！
工作细胞黑暗版
《滑梯》
这个游戏的基础设定：人类科技树全点的生物方面
满脑子血尸
竟然已经5年了
高科技:指全世界没一个高智活物，除了机关就是门
祭坛
热乎的
有点像喉咙
沙耶之歌即视感
开头卡关
终于有一次来这么早
端好我的饭碗 电子榨菜真下饭
袖剑（连接设备）
新坑来咯！
是不是没有皮肤？
都在认真看呢
硬夸
和异形普罗米修斯里面外星人飞船差不多
我就说道诡异仙上Steam了你们还不信
现在就有预感这款游戏不是一般的电子榨菜了
刚出炉滴
我都这么惊悚了我还怕什么：D
《烫 头》
赶上了！！！！！
血肉科技
黑儿喂狗
生物科技
有点晕
有点普罗米修斯的感觉
5000人说说话呀
这可不是人
克啥？？？这是吉格尔风格！！！代表作异形！！！
这个文明信仰繁衍之神，造的生物工厂供奉神
生物智能
血肉朋克
异性
机械苦弱，血肉飞升？
电子榨菜好耶！
伊森
下饭捏
哈哈哈哈我丑
！！！！！！！！！
好耶
最爱C菌解说恐怖游戏了
感觉好下饭呐
像魔兽世界熊猫人的一个副本
有点晕
哈哈哈哈
好像一堆蠕动的肠子
好厉害的身体肉体飞升
好晕啊这个模糊
神克苏鲁。。。就知道克苏鲁？？？
利维坦内部
沙耶之歌第一视角
我都这么恐怖了我还需要怕什么吗？
这游戏出了？！
血肉科技点满了。。。。。
草
没有蛋蛋诶
不行太晕了溜了 。。。
哈哈哈哈哈哈哈刺客信条
这游戏概念美术和异形是同作者
好晕
啊啊啊啊
卧槽 牛批！
内脏。。。我突然饿了  发觉在这架个火锅想吃什么涮什么美滋滋
好耶！
这不得二次下架啊。。。。
生化朋克
还比较热乎
刚出锅的C菌
我已经开始迷路了
我在吃饭
shi zong ren kou hui gui
不适合下饭！
异形巢穴
我看过cc以前录的测试！
终于！！！
现在你依然不知道讲的是啥
好耶新坑
生物科技
《已退回》
6000+
看着像fps游戏
6000多个人 你们说句话阿
6000加没人缩话吗？害怕！
好克系的感觉
这个怎么看着像异形契约
不行 晕了
6000
？？啊？出了？
？？啊？出了？
和谐侧么
太下饭了
一边看。一边吃饭
好痛
边吃边看真下饭
哈哈哈哈哈哈哈
好晕啊啊啊我趣
发售了也玩不明白
这是脚的结构吧
论主角长得比僵尸还下饭，太有安全感了
普罗米修斯带给我的阴影可不止一星半点
好可怕
这视角太近了，晕
海肠自助餐
好帅啊！
开始练级，我想起那个转生成蜘蛛了
很好打针（
还好是插手
好像拨开皮的肉
骨感美
饿的
这就是它迷人的地方，但则出现文字语言或我们熟悉的东西立马就破坏了这个氛围
你不要过来啊
刚刚是兜了一圈吧
贝克辛夫斯基的画作风格
这才叫白幼瘦？粉瘦？
为什么这么糊
好耶！！！！
《好用》
怕
新武器get
本来看着像人类的手
我靠吓人
哇这血
没事不要把手伸到管子里
三体人，脱皮了的样子？
好！
好怪，再看一眼
C菌的电脑配置什么画面带不动啊，肯定画质好（除非制作组优化有问题）
虚幻是因为虚幻引擎开发的
好耶
突然就回忆起了这个游戏！
那是腹肌？
怕他突然睁眼
皮没了
感觉是人类学了普罗米修斯里的工程师，生物科技很发达
喜欢！
画面看的我眉头一皱但是好带感
边吃饭边看哈哈哈哈
no、看到吃不下
虚幻5制作（不是）
新番来咯！！！！！！！！
动态模糊太难受了
没有皮
开发组的san值怕不是已经清零了
这段应该是幻觉吧？
啊？！居然下架了吗！！（捂脸）幸好我已经看完了（bushi
不会有追逐战吧（哭）
吉格尔的美术风格
都是躯壳
静脉曲张一般不会再上半身
巨神兵
二太爷后来改进了袖剑，不用切了
tmd终于出了，五年啊
画面好棒！！！
不可明状
异形工程师的飞船内部
好晕啊
炫我嘴里
能跑
这个游戏不是克系，是异形系
小花生
666
 全点生物科技了是吧
哇哇哇CCCCC
血肉机械
太棒了啊
7000个人就我一个爱cc
好清晰啊一瞬间
眼睛肯定是要睁哒
下架的才是好视频！doge
我在吃晚饭……
就好像人体内脏
害怕
？好怪
没有人觉得这个门像一个人吗？
哈哈哈哈哈哈哈哈
下水道既视感
晕
Here we go
我好像包浆了
后面痛的地方多着呢
能不能别什么都克苏鲁 这明显是类异形的美术风格
克苏鲁神系?
感觉好糊啊
4分游戏...
可是我在吃饭。。
我无论如何也不敢一个人玩这游戏
我也刚吃完饭
这tm八岁！？
可以这样形容吗，赛博克苏鲁？
这可不幸下饭啊
痛 太痛了
这一点都不克苏鲁好吧
装置好像是用人做的？
这个青筋 我冲了
手机拿远点
啊啊啊啊啊啊啊啊啊！！！scorn啊啊啊啊啊啊啊
像地铁管道
那不是掉帧，是动态模糊
开始干饭啦
好晕
控制不住自己的表情
有点慌！！！来个人
前面那个你说的是不是某部电影里面用那个骨头做成的枪
我就知道！
四个字，生物机械
热的cc!!!!!!
科技树不是点歪了，是完全反向发展
高能君在吗？
是蹭到唧唧了吗……草开始痛了……
拉不出来的时候发力用的把手
好耶！！！
CC一说众筹和试玩我的脑海中就出现了这款游戏的画面，没想到真是！！好像还在昨天
这不是克苏鲁风，这是异形风
马库斯。。。
这款游戏真的印象很深！！！！
转视角我就紧张
艾伦？
这就是你
好消息：有武器了   坏消息：有武器了
感觉第一章是个解密游戏。
让我想起了湮灭那部电影……
记得很清楚
hr吉格 异形风
腹肌
纤细和干枯并不冲突
生物工程
晕的话可以把窗口缩小看就不晕了哦
《蛇皮电线》
可以把动态模糊关了
钥匙啦
爷青回！！！
生化危机经典图
殁世幽都
此片不会有任何高能
拉的近容易晕
这游戏都不会有高能
孵化
吉格的画风也不全是
好耶！
画质调低一点应该好一点
好耶！！！
虫子零食
克苏鲁？
查询开发组精神状态
给我的第一感觉像异形前传普罗米修斯
怪奇物语
不可明状
上肢静脉瓣都没有
好像我梦里的世界
画风设计很像异性：普罗米修斯，感觉很明显
像灵煞的骨螺战舰
刺客信条远古时代
别睁眼球球了
血肉与骨骼拼凑的世界，你的生命只是一种消耗品
狂掉san
把他的手拔下来
工作细胞古神版
家人们先看，一会再看一遍发弹幕
不难啊，就两个字，很顶
好怕是自己造的敌人
生物科技嘛 生物皆工具
下饭
星盟抛弃的殖民飞船被虫族攻占
下饭视频
异形？
开始晕了
卡门
一进来就这么恐怖，发现恐怖的竟是自己，那没事了
原来这是主人公，那没什么好怕的啦，谁还能比我丑
灵笼
有点晕
谢谢你，省了一顿饭钱
我记得！
原来都这么久了啊
普罗米修斯？
好晕
容易晕
这也太久远了哈哈哈哈哈
记得，十分清楚
破碎的词汇（确实）
跟异性一个风格
“我”都这副尊荣了我还怕谁？！来吧
异性
想到黑客帝国·了·
异形
宇宙超人，睁开你的眼睛！
感觉不是虫子文明，东西都好像是人用的
还好，是正常的眼珠子
什么奇居子
那就是肌肉组织，屁只有薄薄的一层
1万个人了，好耶
童年回忆了属于是
普罗米修斯
任意键：关机键！
《高级》
哇，这游戏终于要发了！
正式版你还是不知道，因为他根本没有文本
一直看着最中间
边吃炸鸡咖啡边看
这里为什么换了个场景
《好看》
不可名状2333333
怪奇物语？
想吃什么涮什么的，好胃口，是在印度住过吧？doge
已经开始晕了 拜拜
痛苦地狱
莫名想到生化7的杰克
克苏鲁？
爱因斯坦你怎么在这里呀
不可名状
好晕，妈耶
我就知道！！！！
但是还是被吓一跳
乔依也更了
好！
这时候还是人类？
初玩实况，又是这种没有明确指引的游戏，可不就是随便逛、东一榔头西一棒子想到啥说啥么？
看视频都晕我服了
这不是未来罪行吗
他屁都没了当然明显啊喂
骷髅头
骨瘦如柴
干尸
烫头设备233
魂斗罗最后一关
忽然睁眼
哇c君好棒啊三连了
头上长摄像头现代人也做到了
工作细胞：不可名状剧场（确信
克苏鲁游戏
感觉特像异形
别克苏鲁了这是异形风格的
弹幕呢
好耶！
看见这半张脸让我想起了生1
一律用不可名状
血肉机械风
烫头哈哈哈哈哈哈哈哈哈哈哈哈
记得当时放在p2
晕的话二指缩小画面就可以了哦
痛苦地狱
woc！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
感觉痛苦地狱更掉SAN一些
支持c菌嘿嘿
doom
刺客信条？
动态模糊
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊cc出新视频了
wooooooo这游戏等了三四年了
284的利维坦
主角形象和demo差别还是很大的
这个画风真的很nice
xxx—015（doge）
学习版已经有了
异域惊魂曲？
有新的恐怖游戏看了！！！！好耶！！！！！
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
干巴了
熟悉的黄脸表情包哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
无法描述
开发组：不可名状之物
哈哈哈哈哈哈哈哈哈哈
你玩就好好玩，少给我怪叫
精神状态有点危险啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
好耶！！
8000个人说说话呀
怪形的感觉
好震撼
我还记得！！我记得很清楚
你不丑
好像看过之前的视频
here we go！
第一人称宫崎英高风格
好热，烫手
哇啊啊啊 开坑！
盲猜一会突然睁眼
这不会就是主角吧
啊啊啊我关注这个游戏好几年，c菌居然更了
好家伙，我记得这个
医学生表示无所畏惧
章鱼哥？
真的好晕
感觉像是从人变成这样的
虫族感染人族基地的内部
纤细哈哈哈哈哈
如果我猜的没错主角肯定没有衣服
爷青回
章鱼哥
柯南伯格血肉恐怖风
game over
莫名想到了怪奇物语
这游戏估计以后会有异形的mod
好耶！
恐怖游戏能跑是最恐怖的
异性，感觉有点像
哈哈哈哈哈哈
不出意外的话这个游戏肯定有很多有黏液的画面
近战武器 极危
瘦的
论达芬奇对各个行业的贡献
像是之前的世界受到了侵蚀
4ADFGHJKLS；
主角真的会说话吗
体脂率5%
我的主在召唤我
没有地图吗，路痴表示已经快迷路了
血肉朋克
托尼狂喜
啊啊啊啊啊啊第一次这么早，冲了
呃啊，我的眼睛(ﾉಥ益ಥ)
下饭视频
直到游戏结束也一句台词都没有
突然家乡味hhhhh
稍微有点暗了……
好可爱的画风
略显可怜的小刀
真的太克了
《静脉曲张》
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈刺客信条
章鱼哥？
后来好像也不割无名指了吧哈哈哈
xp爆炸
哈哈哈哈，查询开发者精神状态可还行。
武器+跑步等于有敌人
耶耶耶
好耶！！！！！！！！
凑近会睁开眼睛吧
突然觉得画风非常的普罗米修斯
五年！你知道这五年我是怎么过的吗！
泰星来客
刚从狗乔森那里看完过来
总结：《san值狂降的一款游戏》
8000了
灭骸之刃（幻视）
但是有点涩（
好耶~！长时间实况大爱！！
好多腹肌啊！
怪形
蛇皮手环！
8000+人大食堂
追逐
异形的那个美术风格
独眼小宝？（误）
异形
超级期待！之前就看到这个游戏啦！
好诶好诶
游戏开始时手背上有一坨不可名状的东西 现在没了 看来应该是个倒序？
有点像魂斗罗30那种
有皮到无皮
妈妈咪呀
视角移动就开始糊
啊啊啊啊啊啊！！！！
愚蠢的褪色者……不是
@于谦
可恶！他是怎么看出来的！
我靠我还记得啊啊啊啊
跟克苏鲁有啥必然联系吗？克苏鲁神话恐怖的点在未知和宇宙，这个纯粹是猎奇吧。。。
像是异形里面的骨骼
头一回八千多的人陪我一起害怕
8000+快发弹幕
终于等到你！
记得！我还三刷了！
自助侠装备
8000加
+
这不叫画质这叫画面或者画风
差点以为小便池。。。。
不出意料我们的主角木有穿衣服
爷青回
很漂亮啊！
婴儿般的睡眠
这哪是高科技的建筑啊  这怎么看也是掉到一个巨大的肉脏里了吧
这个镶在胳膊里看起来好痛啊
不出意，马上就要出意外了
生物科技
+-
猫猫：从上掉到下这个我熟悉
护士狂喜
等到了！！！！！
前面的，你不是路痴，我作为路痴已经不知道这是哪了
游戏奇怪，名字更奇怪，驴唇不对马嘴
好耶
？？？？
体脂率很低，在备赛
这脑洞。。。
蛛丝发射器
云天明的脑子
一开始本来就不需要做的，埃及那位搞错了。然后第一部的阿泰尓重新设计过
帧数不够就很晕
黑喂狗~~
这不是恐怖游戏吧？
像普罗米修斯那些工程师跑的那一段
所以这是什么生物?
这是异形世界观？
gan jue hao wu l
8000+
想吃
明显是异形类的啊
特别有《异形》前传的感觉
我和cc的孩子已经会打酱油了
是惹
附虫者
像一台车
巴耶克：你们听我说，我当时是个意外….好吧你们开心就好
一切恐惧来源于火力不足，当你脚踏搭载各种黑科技的宇宙战舰，你，无所畏惧。
哈哈哈哈哈
普罗米修斯！
对，异形
下饭
雀食有点晕...
工程师的飞船？？
?
我还以为就我晕
看过试玩，原来这么久了
9000人你好呀~
今天有小猫陪玩吗？嘻嘻
音效好喜欢啊
比生化危机还生化！！比外星人还外星！
提前拿到的激活码，当然不会有评价呀
精神污染
只是我们的认知，没有制作组的认知多而已，人只能创造出自己认知以内或者其延伸的东西的东西
主角不痛吗真的
所以还没出新手村
失败的man恐怖版
这不是恐怖游戏，有枪的
灭骇之刃
不可名状
已经开始晕三d了
哦原来是差手的
这个我印象可太深了
记得记得
沙耶之歌（不是
9000人
有丶下饭
静脉曲张
这个要有vr就好了
好家伙 从零开始的异世界是吧
能跑，那就有追逐战了
别克苏鲁了，了解一下异形之父吉格好不好？
年度下饭游戏
前面的，达芬奇是用设计图复原袖剑，不用切手指的袖剑不是他发明的
突然想起来看过
5年了嘛？
这也太晕了
刺客信条
9000+
刚开始玩儿就问恐怖在哪里的是不是有丶毛病？？
掉san，我太喜欢了（错乱）
说克苏鲁的，了解一下异形好吗？
虫族画风
这风格有点像普罗米修斯飞船里的
我靠san值危机！！
《我吓我自己》
刀锋女王
九千人了，这么多人啊
克苏鲁系列
克苏鲁味道
手都给我摔好了
有生之年
场景好强
好耶！！
起床！上不上班 赚不赚钱
这就是异形里工程师的生物文明
登顶阶梯之上欲成为终极活着为神
烫头哈哈哈哈哈
我等老了，他终于要出了吗
一直等这个
这游戏给了多少钱 怎么全在做这个游戏
已经自动把屏幕拉远
哇
有点像普罗米修斯工程师飞船的通道
哈哈哈
像。。。大肠。。。
这能播？
被洪魔寄生了（bushi）
弹幕呢
感觉画面有点晃
有点异形的即视感
cc
千言万语汇成一句卧槽
每一帧都是一幅抽象面
记得！！！！！
是因为用的虚幻4引擎（DOGE）
这个纯黑在播哎
吉格了
异形啊，克苏鲁啊
看着好痛，但是好帅！
有点像安德烈游戏里那款游戏的画风
吼吼吼吼吼
哦哦哦哦这个！看过
C君好速度！
淦，真不错
像肠子
《烫头》
打卡留念！
需要高能君
几年不见甚是想念
怪可爱的碎碎念
感觉这个游戏很有吸引力
呜呜呜原来我都关注你这么久了
多发点弹幕，我害怕
高能君你在哪儿啊
C怂
可能开发组在开发游戏过程中精神状态已经被影响了吧（doge）
真的好像异形的设计稿，工程师的母舰啊
wowowowowo！
异形的画风
穿裤衩了没
突然想到沙耶。。。。。QAQ
嗷
BB小子
异性也是克苏鲁起源。。。。
噬神者
普罗米修斯
能跑！（警觉）
方舟
类似游戏：超越欲望
一万人看！
异性风格
原来已经被下架了啊，我说怎么没找到
好像普罗米修斯
我记得
感觉像没有皮肤的肌肉，书上的那种
红色场景里的手比绿色场景里的更有肉感
真 腹肌，腹部肌肉清晰可见啊
居然下架了吗，那这期不会有很多码吧。
+
这游戏终于出了？
已经感觉晕了
巴耶克：？
医学生表示极度狂喜
我感觉我要晕3D了…
很真实啊，你在一个陌生的场景醒来不得自己摸索吗
加入非瑞克西亚的完美吧
10000＋。。。
我似乎知道这个游戏
大肠朋克
人外爱好者狂喜
全是藤蔓
难受
请为坠落的人类取名（doge）
好耶~恐怖新视频~
皮包骨
怪奇大boss刚掉到里世界是吧
终于，太久远了吧
1万人+
能跑
是多全给你暴露出来
异形
我记得
看到你这个才想起来游戏有了    立刻下载
供电系统挺好啊
666
1万加的人讲话呀。
我有点晕哈哈
只剩皮了
划拉别人得时候自己更疼吧
你猜我把什么放在屏幕上了
1w人陪我
现在也不知道讲的是啥（确信）
哈哈哈哈哈哈
好耶
游戏视觉效果做得太棒了
评价一般
哈哈哈哈哈哈啊哈哈啊哈啊哈
金刚狼加蜘蛛侠加袖剑
这个游戏在我的认知里及其猎奇是我不敢玩的top1
确实有点像
我尼玛，五年啊。。。。。
他们有头发吗
1万+
克苏鲁风格
五年了，我当时还在上高中，现在大学快毕业了
蔑视
wc！好疼的样子
好晕啊……………
不可描述
克鲁苏啊
卧槽我刚好侧躺着看。感觉像和他一起躺着(；一_一)
晕了
不出意外，你可能是掉井里了
首页通知
其实有点像灰机杯
有印象的
是阿泰尔改良的，达芬奇只是照着他的图纸造出来了而已
F
终于有恐怖游戏了
生物科技
一万多人一起看，好兴奋啊
魂斗罗
老公 你说句话呀
这就是不可名状吗。
卧槽记得！
我就知道，还好我拿远了手机
动态模糊看着就会晕
确实像虫族文明
游戏引导太少了，玩家都不知道该干嘛。
不是虫子，这一切的始作俑者是植物一种叫什么血什么的植物，这是一种生态系统。
这游戏画风真的生理不适、、、
是虫族的生物科技
这飞船被侵蚀了
像柱子一样
异形
好耶，劳模CC~
我还很有印象！当时cc玩的试玩
真下饭呢
按E同步
undertale了
生物朋克？
异形
不行了，我san值狂掉
纯解密 战斗几乎没有  
好帅
刺客信条
生命科技时代
这是旧日支配者对我的召唤
除了猫猫以外，
睁眼了？？
我不能接受我是这样的人
异形粉狂喜
发4k吧，晕
异形粉狂喜
甜池也是哈哈哈
原来我就是李火旺？？？
魂斗罗风格
看给孩子饿的
感觉和克苏鲁那不可名状的恐怖很像
有种普罗米修斯的感觉
.
座机画质
记住这个钥匙
记住这把钥匙
月球？噶殿集合
这个门让我想起doom了
哈哈哈哈哈哈哈哈哈哈哈好可爱哈哈哈哈
好晕啊
4个小时热热还能吃
开发组是被克苏鲁给撅了吧
静脉曲张。
很克非常克
普罗米修斯
怎么觉得这个雕像一样的下面拿东西的地方有点像某个器官。。
感觉糊糊的，是游戏本来就这这样吗
哦移动起来会有视线模糊，明白了
这游戏不能跳吗
哈哈哈哈哈
弹幕护体弹幕护体弹幕护体
终于！
好耶
什么克苏鲁
woc
是不是开了动态模糊啊  动起来的时候看着有点糊
动态模糊
别瞎白话，这玩意跟克苏鲁都不沾边
他没有嘴唇。
我正在吃饭
蒸汽朋克风格
下饭
两个世界互相穿越吗？
好有异形的感觉
就是普罗米修斯
有人通关了。流程有些短
这个有VR版吗？
感觉动态模糊没关啊
wo这个游戏
不可认识！
草，这个视角看的我晕
这东西和demo里面不一样了
我也想到普罗米修斯
本来就不需要切，巴耶克戴错了
9000+你们说说话啊！！
异形原画的风格
终于等到更了
万神庙
已经开始掉san了
等会看！
信仰之跃！
也可能你不是两脚（笑）
居然都五年了…时间过的好快
不行，我现在就开始晕了
简称超现实主义......
那不然呢
虚幻是指虚幻引擎的意思
生物科技
醒醒下楼做核酸
好耶
能拿武器的话...
啊啊啊啊啊啊速度好快
厉害了9000+
我也对这个游戏感兴趣看等等实况，结果c菌就录了!!!
温馨提示:不要在吃饭时看
道诡异仙
我就是看那个视频入坑的!
胶皮管子
啊啊啊啊啊啊啊啊啊啊啊
生物科技
这是枯瘦吧
我从来不晕的…这个真的有点…
前面的 这才刚开始好不好
画面好赞
哈哈哈
这个就是后面的内个寄生兽
“词汇的贫乏”指量词破碎
这个氛围做的真好
其实你玩过了也还是不知道
还流血了
16块那么多么
一个个的都被克苏鲁在梦里集合开会了吧
