小卢加油 明年百大！】
二次元涂装
最佩服手艺人
降维打击
哇！!
这是爱不释手？
好看
发生什么事了
卢兄加油
3D转2D...
小卢的毛衣好潮啊
这个独一无二呀
6666
好Q弹，好软糯
酷
好沧桑
圆润
中中中
亿点细节
哇哦
烫手
秒啊
分母在此
热乎
真 百大奖杯
哇这个音乐好好的感觉
小卢最值得！！！
有考虑过其他平台吗
感动(ಥ_ಥ)
我的了
对啊明年你肯定会有的！！！！！！！！
比金属的好看
卢哥眼睛好亮！！！
当个分母
哇啊啊啊想要小卢的木质奖杯！！
牛逼
次元壁被打破了
卧槽，水之湄，天灵盖给我冲了
哇哦
卧槽
意难平
哇！
不错不错 这个也很棒棒
太牛了！
好看！！！
小缸和啊灿为什么没有百搭
牛逼
盘包浆了
这手太稳了
这次一定
这个比官方好
感觉手感好好
我的奖杯
小卢加油！
盘他
Bgm
IIIII
好看
盘它
加分母
你帮我摸好了
加油！卢爷爷
小卢加油！！
666
以后百大奖杯都让你做了
手好稳啊啊啊啊太舒适了
惘闻！
委屈
小卢明年百大！
卧槽
有这技术您要破绽发？
手真稳
今年百大！！
晚春！
这个我可以
小卢永远年轻
你2021必百大！！
限量版
太可爱了吧(๑• . •๑)
中
(￣ ii ￣;) 吸溜(￣＂￣;)
土豆！！！
加油！！！
比正版好
中中中
小卢加油！
好精致啊
感觉 不上色的 才好
哔哩哔哩：明年就找小卢了，木制又可以节约点成本了
牛
腰
这个圆溜溜好可爱啊
好厉害!
小卢  百大
小卢冲冲
nb
哈哈哈哈好家伙
好有质感
+
给个价吧
荒木线
小卢你是我心里永远的百大！！
晚春
百大有一百个，但这，只有一个
哇可以
抽中我～抽中我～
我的
立体
我的我的我的
！！
太可爱了
这怕比原版更好得多哦
这比百大强多了
卧槽
草
第一次在前面
明年加油！小卢冲冲冲！！！
泪目了
明年奖杯应该找up主做
保重身体，明天一定可以拿到
抽吗
百大就在今天！
太强了
泪目
6666666
明年安排
针不戳
腰乐队晚春
感觉手感很好耶
我也寻思 不会是小卢给做个吧
这是一般人类的大手吗
手艺人 看这里
这是一般人类的手吗
今年会上的
小卢加油
手动三渲二
中中中
这手艺咱是十大，百大算啥
中中中
太好看了
BGM 腰乐队《晚春》
啊啊啊啊啊啊我真的好想要啊
太绝了叭啊啊啊啊啊啊啊
限量版，好看
我能摸摸你的奖杯吗
复古
小卢，我可是看着你从小～～～up主。到百大的。加油
牛的
我要了
小卢你这个不是更加叼吗
哇
这个比官方的好
挖槽
变二次元了！！
确实
包浆
摸摸
嘻嘻嘻
精致
觉得这个更好。
这是小姐姐的手？？!
过分了土豆，摸这么久
惘闻来了
助力一下
哇！
分母+1
手太稳了，羡慕死我
合作越来越厉害了 
不愧是你
盘起来
像歌剧2
不给卢姥爷真是不应该
6666
加油
www我也想要
好
可爱！！！
B站，懂？
加油！一定会有百大的！！
嗯 百大都成包装艺人了
我爱腰
我上去就是2个币
支持年轻人
小卢加油
中奖啊
明年会有的!
下次一定
酷
这不比百大好
我我我
众所周知，不是你站内人是进不了百大的
小卢
没给尸叔赚钱还想百大吗？做梦
好可爱
哇
牛
这百大不上也罢
小卢加油！
jh
哇哇哇
我要当分子！
都这么说了那就这次一定吧
干得漂亮
这比其它牌子霸气多了，绝版，全球限量一件
扬帆起航
哥哥真厉害！
我要！
很多人点赞？？？
惘闻啊，bgm好好
手动三渲二
这效果跟看漫画一样！
这个更好看啊啊啊
好看
我要当分子！
哇
TM乱评的
好家伙
小卢明年一定！
爷爷一定明年的百大！
类目
加油
卧槽
我就特地来看小卢
好精致 啊
好强
没拿到吗，我以为小卢能拿到的
来了
好棒啊小卢加油
下次一定叫你
不...
两小时，烫烫烫
好看
越来越好了
太可爱了吧
中
可爱
哥哥值得！
哇哇哇 好好看
精工巧匠
ｗｃ
中
可以搬一个成就奖
小电视快来看小卢可以在百大求婚（误）
为啥不给老爷爷百大
这次一定
好运走起
委屈屈
还是原色好看
小卢加油
稳
摸一摸，单车变摩托
盘它
下次一定
爷爷就是明年的百大！
卧槽
惘闻！
中
当分母
啊！我要摸！
好帅啊！！！
太可爱了！
歌曲 腰乐队-晚春
真的可爱！！！！
太可爱了救命！
中
好可爱
2021百大是木质的！！
好厉害
加油
三连了
牛牛牛
哈哈哈哈哈哈
卢哥哥厉害啊
哇哇哇
漫画风
自给自足
牛啊
哇
小卢是最棒的！
想要
太好看了555
小卢最棒！
后腰都有，好品味
想要
哇！！
厉害啊
太酷了
恭喜
酷
真厉害呀
好润啊
这次一定
小卢辛苦惹
歪日
晚春！！！！
好好看阿（做的是真的好
感觉不上色也很好看
我可以
666
腰
抽奖
送我
百大那个破杯子有这值钱
做一个恐怕不够呀
好可爱啊
针不戳
三渲二呀
卧槽这立体感
再字请打对
牛壁
卧槽  腰
哇，看运气的时候到了
选我选我选我
一键三连
别瞎盘，那是我的
1
手工的更贵好吗？
袜 好帅
真的很棒啊小卢！
我的了
真正心里的百大，实至名归
列害
独一无二，百大南波万
牛逼
卧槽好好看
哇
wc
哇
已婚过来安排一下
给他颁！！！！！！！他值得！！！！！！！！！
哇，腰乐队的晚春
好圆润哦
我回莆田自取
！！！！！！
太强了！
哇塞！
好看！
卧槽，想要！
安排
好好看
这是要把官方弄死的节奏
我我我
太可爱了
小伙子你永远是我们心中的百大！
火速去抽奖
@
惘闻
哇
@陈睿 还不给老爷子安排上？
想要
哇
明年加油！
卧槽
举举手！
小卢的毛衣好好看
降维打击
这是个好东西啊
！！！
爷爷明年一定百大！！！！！！
这质感好棒
太厉害了
我去，惘闻
想要
这次一定！
可爱
厉害
小卢该是百大的
牛牛牛
希望还是要有的，万一抽中了呢
你盘过了，我不要了
好喜欢
字体牛批
真的假的
丝滑的感觉
卧槽
想要
爱了
这次一定
！
哇好喜欢！！
好棒！！！
卧槽手动漫画滤镜
真心不知道今年百大怎么评的
好棒啊
卧槽
这是我的
万一抽中了呢。哈哈
滴滴
？？？
太厉害了
没他不看今年百大
好可爱
太对了哥
可以盘出包桨
瞧这质感，都不像木头了
上色是别人上的看手知道
这次一定
好有质感
咋说呢，白鼠才更4个视频都百大
我想我想我想
小卢超棒
不发我就自己做一个
小卢可以的，要加油啊
今年必须百大！
百大算啥，这不比百大那个好？
哇哇哇哇哇
加油加油！
哔哩哔哩干杯
水之湄
啊啊啊 我也要!
真好
我的天哪
自给自足
晚春！！！！！！！
我不想只摸，我想拥有
可以盘出包浆
哇
好想要
独一无二
很帅气 栩栩如生
翻个模啊！
沧桑感
委屈屈
好棒啊啊啊啊啊啊啊
真强
抽我，我要
帮我画眉毛好吗
很哇塞
明年一定
官方，这不给百大？？？？？？？？
哇
俺也想摸摸
好可爱！！！！！
百大哟
今年百大说实话有些就离谱
好家伙 BGM直接把我炸出来了
迪迦变身器？
好可爱呀
我我我我我
coooool
啊这……不好看。。
小卢新的一年也要闪闪发光！
awsl
热乎的热乎的
666
晚春！
nb
b站，我自己有了百大奖杯哈哈
我想要！！！！
好厉害
这次一定是我
冲冲冲
腰！！！
这个才好
超级棒
呜呜呜呜呜呜呜呜呜
做得好棒！
可爱(๑• . •๑)
怎么有JOJO那味了
百大没你我不看
鬼子就是你引进来的？↓
拉低中奖率
泪目
！！！
囧
?为什么视频改了一次名字？
不上色吗
会有的
上色有水平，不过感觉还是不上色的更好看
fe分母分母
注入灵魂
来了来了来了
祝身体健康
666
这…这还要原版干什么
小卢最棒
太棒了
中中中一个
中
盘他！
进来就是给三联的
这什么质感
帅
加油呀正义哥
来了
手动二次元
晚春！！！
秀啊
今年奖杯能给小卢做吗
妙阿
马鸭
好可爱
好厉害！！！
今年百大是由矿泉水商赞助的
手超稳啊
6666
求婚的节奏
求婚的节奏
呜啦啦
好棒！
中
小卢就是我心里的百大，今年百大评了个什么东西
别消费老人了
7层视频都百万级别播放量居然没百大。。
手好稳
wc自带阴影
好帅
啊啊啊
啊啊啊
牛牛牛牛牛牛牛牛牛
666
一定会有的 明年一定是
匠人眼中的渴望
这次一定中一个
选我呀
小卢牛逼
9.9包邮
我可以不要上色的，小卢哥哥
卢正义 雕刻的光
！
太可爱了吧
可爱！
卧槽
好好看啊
想的
卧槽
哇
哇
这上色牛逼了
摸摸小电视的脑袋
好可爱
bilibili太可爱了
想要！
可爱可爱可爱
想要
降维打击
太可爱了！
很润啊
卧槽
这个奖杯爱了
这触摸有点东西
卧槽 好棒
怎么改名字了，小卢别怕
66666
惊艳到了
woc！
这不比百大奖杯硬核？
早早早
好可爱啊
可爱！
厉害啊
哇限量版
中中中
小卢肯定是我心中的百大
惘闻可以
上了彩不能盘了，难受
我的！！！！
今年一定会有的！
妙啊
今年百大真不知道是什么
拉低
想要
卧槽
太棒了吧
手好稳啊
好圆润哈哈哈
腰！！！！
太强了
nb啊
冲
这不比百大燃
好牛
我已预订
好看
中王之王就是我
荒木线版
好棒啊
小卢真不错
盘他
真的太棒了
Wicked比原版还好看
好棒
俺也想要
成为分母
666666
小卢哥哥最棒了
难道这就是盘他？
哔斯卡小木人
哔斯卡小木人
好可爱！
好可爱啊
真好看
这手艺也太牛了
突然就有故事了起来
卧槽
战损涂装
这个前奏好喜欢啊
好家伙，腰乐队
分子来了
诶诶诶！
二向箔打击
小卢年轻有为
牛逼
Nb
腰乐队！！！
牛
抽一个，抽一个
爱了啊
B站这百大评了些啥啊
求bgm求bgm
盘它！
好可爱啊
中
必须中
太可爱了！
卧槽
哈哈哈牛
包浆
腰乐队《晚春》！
都盘上釉了
好可爱啊想要
逼死官方
哇塞，注入灵魂
太可爱了
6666我是一个没有感情的刷6机器
NB
厉害啊
牛啊！
上阴影
惘闻好评
牛啊
厉害
呵呵呵，小卢别伤心，你是我们心中的百大！
这百大不上是他们的损失
？？？
这还要原版干什么
站起来了
哇哦amazing
wow
这次不中就是真的黑幕了
惘闻!
三渲二（狗头
好可爱
我也要摸
好棒啊
今年百大啊！
卧槽
爷爷好厉害
111
拉低中奖率
小电视是女孩纸......不........
NB小卢最棒
好棒啊
太厉害了吧
百大的会生锈，这个不会
想要
惘闻天下第一
牛啊！！！！
好棒！
来了
我想要要要要
bilibili- ( ゜- ゜)つロ 乾杯~
我也要摸
可以让我摸摸你的奖杯吗
哥哥你今回的北游
盘它
酷
抽还是要的万一抽中了呢
没事，你就是我心中的百大
好可爱啊
匠心
小卢值得！
瞬间平面
哇
我我我 我可以
好好看啊
好家伙
手好稳
哈哈好看
小卢老手艺人了
大连天空
为啥不给爷爷百大
结果比B站发的质量还好
今年百大 某些挺离谱的
这次一定
Jo化
小卢竟然不是百大
强强强
陈总，安排
自带光影效果
虽然但是早就想说今年百大就离谱
这个比百大奖杯好多了！
还需要B站发吗，自己做就完了
卧槽水之湄
想要
垂涎，哈哈
百大奖杯会掉漆，这个能盘出油
盘他
晚春！！！
牧鱼
这次一定
卧槽
中
不要了
惘闻狂喜
好家伙
致敬
哇哇哇
盤出来
这个小电视机有点不开心的样子
差不多百万了
来了
想要太好了呜呜呜
卧槽
这个可以
艺术品
手动降维
晚春
惘闻
好好
wc
我要
天
哇
好手艺啊  老伯
有一点点厉害哦
哇！
哇！
qute
让我摸摸好吗
哇！！！
冲着水之湄 三连拉满
盘他
盘他
抽一个
盘他
给你三连
好家伙
冲着水之湄 三连拉满了
你是最棒的
这届的百大 不上才应该恭喜
这届的b大不上才应该恭喜
小卢加油
我我我我我哦我
好可爱啊
原色的好看
me
小卢加油！
握草
值得
牛b
想要
爱了
好手艺，手艺人点赞！
？？？
哇
万一中了呢
手太稳了
无主之地。。
好可爱iii
哇塞
已摸
wc
好厉害
好家伙
我想
都自己做了还需要发吗
降维了可还行
晚春
不上色好看
啊“”
我希望中奖
腰
中中中！
棒
卧槽
盘他
好可爱
我我我，康康我
这个孩子他才18岁就有百万奖牌了
小卢才18岁
小卢18岁就百大了
拿不了金的就自己做一个。
好家伙!降纬打击!
太顶了
果断先来2个币再看
包浆中
想要
哇
太可爱了
太强了
盘他
分母
可爱
你这上了色我怎么盘啊？
冲着水之湄 三连拉满！
厉害了啊
太帅了
分母来了
我们心里有百大 那他就是百大
⊙∀⊙！
1w买
啊，腰
拉低概率
666
bgm是惘闻的《水之湄》！
好好看！
好好看
好好看！
这渲染比9080厉害
太牛了，卢老爷牛逼
小卢加油！祝身体健康呀
好可爱啊
卧槽
这是在上包浆么？
哇
如此丝滑
Woc，这年轻人﹉
注入灵魂
盘到包浆
优秀如你
盘他
水之湄
我想成分子
好稀饭啊啊啊啊啊
精致
在哪抽奖啊
小卢百大
真漂亮
牛
惘闻
要！
先有
太厉害了！
你要摸摸我的奖杯吗？
盘他
抽一个
卢哥
小卢明年百大！
小卢，天冷，注意保暖
棒啊
我来了我的我的
明年就到你了
牛牛牛
一个建模一个贴图~
卧槽
这年轻人，潇洒
woc
太可爱了
简直精致~！~~~~~~~~~~~~~~~~~~
我喜欢不上色的
太可爱了吧
我想拥有
精致！
ohhhhhhh
我也想要！好可爱！
太有立体感  虽然本来就是立体的
不愧是你
胡子
盘
好想要！！！！！
好可爱！
想要
二渲三？？？
好想盘
二次元涂装
刀功精准！
精彩绝伦
精彩绝伦精彩绝伦精彩绝伦精彩绝伦精彩绝伦
小卢明年一定会是的！！！！！！
不如原色好看！
好家伙
666
厉害了
太强了
敲可爱！！！
这也太可了
好可爱
太棒了这!
求bgm
可爱！！
这个上色的话....要做电镀了啊
小卢，这个奖杯有些丝滑哦！
好家伙不愧是你
哇哦
操好想哭啊
预备唱：哥哥你
好漂亮
这可是限量版的 还想要呀
下次一定！！！
我的天
这是降维打击？！
好可爱！！！
不计较
厉害！
666
好看
小卢加油。
展品
来啦
小卢手好稳
这次一定
这雕工也太棒了吧！！！
晚春
好家伙，晚春和水之湄
这小伙子有点意思
卧槽
哇塞
好可爱啊
卧槽
太厉害了
！
黑天鹅的笔吧
年轻人
这个必须三连
小卢 可以摸摸你的电视吗
小卢可以摸摸你的小电视吗
小卢新年快乐！
过于漂亮！！
上色太棒了啦！
卧槽
不要啊！！不要上色啊啊啊！！！
可爱啊啊啊
BGM把我炸出来了
太厉害了吧
手艺真好啊！！！
woc
牛逼
感觉好丝滑
成为分母！
好喜欢好喜欢爷爷
wow
太可爱啦～
牛逼
感觉比金色的还要好看哎
翻模
泪目
哇
不是给你摸的 快上色
偶也想要
黑白漫画配色
想要！
惘闻
心酸了
谢谢，我就不客气了
我想要！！！
要了要了！
卧槽
卡哇伊ฅฅ*
哥哥你
分母来了
好可爱
卧槽
牛啊
天呐 晚春
好细致
厉害了
好可爱
6666
太牛了
哇！这太牛了
好想拥有
好想摸
哇
我刚发现原来小卢没拿百大吗
惘闻的水之湄！！
啊…这！
好圆润！
小卢可以有无限个百大奖杯
生锈的❌出去
好看
摸大奖杯
冯提莫就离谱
盘它
摸摸一摸
好好看
好棒啊！！！
wc？？？
冲冲冲！！！！
好可爱
这次一定！！！
哇⊙∀⊙！
喔噻！！！！
太帅了！！！
爱了
盘它
卧槽
这个真好看
写手太稳了
6666666
原色好看诶
没有人吗？
哇
诗人腰
太可爱了！！！！
好圆润的感觉，好可爱
B站：你在教我做事？
哇！
好好看啊！
土豆馋了
淦！好想要！
可爱！！！
可爱
厉害啊
腰乐队
好可爱！
牛批
腰
去哪买…？
lipilipi 
太棒了
这涂装碉堡了
bgm好评
好家伙
wc
可爱，小卢牛逼
这不是CNC雕的我把它吃了
一个手办！
注入灵魂
奖杯就该归你做
弹幕抽奖嘛？
好耶 一键三连了
太好看了，请无情地抽我
哇 做的好好
想摸摸
可爱
太棒了
太稳了
想要
冲冲冲
平面感一下子就出来了
好可爱~
想要！！！
这还要原版干嘛
降 维 打 击
帅
致敬
中
这手感看起来就非常nice
降维打击
哇！我
哇好喜欢
明年一定可以
卧槽
真的太棒了好厉害
6666
太可爱了吧!
自己给自己做奖杯可还行？
竟然不是金色？
棒呆了！！！！！
我靠
这次三连一定
好可爱
我的天哪太想要啦！！！
升级版！
中
绝了，这上色有3D平面效了
卧槽
哇哇哇，奖杯
漂亮
想要
这歌选得都牛逼呀
666
官方看到了么  多好
我也想要
啊啊啊啊啊！
我我我
哇！好可爱
不亏是土豆，手永远那么稳
这不是JOJO，你怎么画荒木线了哈哈哈哈哈哈不愧是你
把所有的赞美都献给腰
小卢才18岁，明年一定可以拿到的！！
好可爱
太可爱啦
太可爱了吧
有意思
小卢加油！我次次给你三连！
阿富汗战损
谁27？
好厉害
可爱啊！
可以要金色的嘛
勾线笔推荐一下
牛批
年轻
好可爱!!!
好可爱！！！
加油！！！会有的
真的棒！！！
太厉害惹
哇塞
哇
盘它！
1
二维的？
想要
好可爱
好可惜啊
真的这么丝滑吗
妙啊
妙啊
哇
好厉害
好强！
太可爱啦！！！！
三连走一波
小卢最棒
好可爱
好可爱啊
66666
厉害啊？？
爱了
好看
OHHHHHHHHHHHHH
卧槽
可可爱爱
好强啊
好可爱！！！
太棒了吧
爷爷保重身体哟
这次一定！
分母队伍+1
厉害了
可可爱爱，还有脑袋
爱了爱了
想要
原色的更好看
腰
莫名可爱腻
np
真限量版
就是万一抽中了呢
走走走
好可爱
惘闻天下第一
这不比原色好看多了
好可爱啊
好可爱～好想摸一摸
不上色就好好好看
百大那个还不稀罕呢 
啊好可爱啊
好看比～b站的奖牌好看太多
这不比博人传热血。
恭喜恭喜
好可爱
好棒
厉害
哇  一进来就是 晚春
想要
太可爱了叭！！！
摸
啊竟然是腰!
吸一吸
好可爱
爷爷是福建人ma，
我来了
好可爱
三联拉低中奖率
好可爱啊
我好怕耳朵断掉！！
小卢是我心中的百大!
手动降维
好可爱
啊啊啊啊啊啊啊啊啊想要手办
好棒！
哇塞！！！！！！
可爱啊啊啊
好可爱！！
就这？？？
都没有必要发了
好棒
明年会有的！ ！！
哇哇哇
喔喔哦我我
好厉害
啊啊啊啊奖杯好可爱
哇好厉害
哇哇哇绝了
卧槽
明年一定要进啊啊啊啊
秒呀
一定会有的，小卢马上就是百大了
这次百大就离谱
 生生把3D画成了二次元
好棒啊
惘闻！
妙啊啊啊啊啊啊啊啊啊啊啊啊！好想要
好强
小卢为什么不是百大！
哇
好厉害！
我要买一个
让我摸摸！
ohhhhhhhhh
哇，好想要
原木色也很好看啊
哇
哇好酷
好棒！
嚯！
太稳了！！
wc！这绝了！
好棒啊
啊啊啊
要要要
我来晚了
牛
好牛
是我心中的百大
哇塞
阿伟，你是要靠盘出包浆嘛？
咱们明年再来！！
厉害啊
好温暖的奖杯
小卢好牛！！！
好棒
好喜欢
好可爱哦哦哦哦
丝滑
太棒了吧！
你币有了
可爱
可爱(๑• . •๑)
这就很棒了
寸铁
训练有素，看来是有备而来
今年一定有！
可爱
哇塞！！！
冲冲冲！
感觉好棒啊
我盘
我想拿它翻模做个透明的
我好想要呜呜呜
我想要
太厉害了
弹幕都好暖心
这是惘闻乐队的
很精致哎！！想要
！！！！！
卧槽
好可爱
哇好厉害！！！
腰乐队爱了
弹幕算评论么？
哥哥好可爱
酷
好像要
细 真细啊
哇
永远滴神
啊啊啊啊，好可爱
还上什么色啊，盘它
这次一定
在摸都包浆可
小卢明年一定会是！
排面
最爱小卢同学了
好可爱
好厉害！！
卧槽
啊啊啊好可爱！！！
惘闻永远滴神
真棒！
牛逼
啊啊啊，好看
我的天
2233娘呢
好可爱啊
卧槽
啊哇哦
穿的真潮
好可爱
BGM好听！
我也想要！！
开始jo化
好看好看
好厉害！
这个sesh
啊哈g
这个色上的我还不如不上 虽然像平面但世俗了
卧槽
好家伙
我…
好帅！
太厉害啦
啊！有光芒！
哇
哇哦
想要啊
好可爱！！！！！！
66666
想
厉害！！！
哇哦
可爱
多穿衣服啊
哇哇哇哇哇
太棒了
给他百大啊啊啊S
爷爷好厉害
不愧是手艺人
卧槽
好好看
小卢你好呀
好可爱~~~~
加油 马上了
好可爱
木头似乎不导电？
惘闻牛逼！
中中中
二向铂
卢老师 这次一定！
好棒！
小破站牛
想要！
可爱极啦！！
好厉害
摸包浆了就更值了。
太可爱了
好写实
可爱
啊啊啊啊啊
爷爷做的真不错
抽到就去表白喜欢的人！
忽然丝滑
好可爱！！！！！
呜呜呜
好可爱
我以为你要盘出来了
注入灵魂
啊啊爷爷你才应该进百大
怎会如此！！！
盘他
麻麻赖赖的
卧槽
太可爱啦
66666
摸摸！
好強！！！
天哪！！！可愛嗚嗚
火云邪神 功夫了得
躲进二维警告
小卢好棒
上色没有原来的好看
厉害呀
阴影
沃
本来好好看的，上色了就……
为什么不是百大啊5555
好棒啊
太酷了
好想要
盘他！
jojo
在？抽？
太可爱啦！
牛！！
想要
二次元涂装？
前面的，这是大哥，叫啥大伯
比百大UP奖杯珍贵亿万倍！真正手艺人！值得！
想要
可爱！
tql
官方可以考虑奖杯交给up做啊
三渲二哈哈哈哈
哇！！！！
NB
水之湄！！！
头对，身子不对，官方不承认…………
这次一定！
我好喜欢！
bgm好评！
喜欢
牛
awsl
可爱
卧槽
我喜欢！爷爷好厉害
不应该上色，，，，涂装坏了。。。
可以
好可爱的小电视！好可爱的爷爷！
哇哇哇
降维打击哈哈哈哈
wc好看
爱了爱了爱了爱了
卧槽
好可爱，这个
明年必百大！
这博燃？
好可爱啊
卧槽牛批
大土豆得手一如既往的稳
好可爱
腰乐队！！！
哇哦
好可爱啊啊啊啊啊
好可爱
太可爱了吧
小手手好可爱
好可爱
哗哗哗
老了
nb！
泪目
牛
这也太可爱了
啊啊啊啊啊啊啊啊好像要！！！
可爱
明年必百大！！
好好看
啊啊啊啊啊啊BGM
先给大爷颁一个 做这个也蛮辛苦的
点暂停好像图片
小伙子手艺真好
配乐nb
！！！
漫画色
？？？？
呲溜
真有这么丝滑吗？
卧槽！！！
啊啊啊啊好可爱
哎 来晚了
好yao
啊啊啊啊，太可以了
太好看了
大佬
好可爱
无情
中奖
哇哇哇
摸
好可爱啊
卧槽
想啊，很想啊
好棒啊
哇哦好喜欢
好可爱啊
看着好想哭啊
神光棒
盘他
给我给我
晚春！
惘闻！
好圆润的感觉
太可爱啦
能不能不要画阴影？
好家伙，百大没小卢我直接砸哔站
好可爱！好棒啊！
牛
可爱
降维打击
好可爱
太牛逼了
哈哈哈哈哈哈哈降维打击
让我摸摸！
好厉害！！！！
站在垃圾桶上的高光时刻
酷！
厉害了
爱了爱了
好可爱啊！！！
哈哈哈，我也想要一个，这么有质感的奖杯？！！！
好好看！！！！
啊啊啊啊啊啊啊我要摸
我丢
好可爱
官方都不支持一下手艺人嘛
wow
这阴影
牛b
啊啊啊，好想拥有
好家伙
啊啊啊啊啊啊啊
这个真的好棒！好精致的感觉！！
ohhhhhhhhh
走官方的路让官方无路可走
他让人摸不
把一切赞美送给腰乐队
！！！
太可爱了
好可爱！！！
厉害
这次一定
明年加油啊！！！！！
冲！！！！！！！！！！
好想盘它
妙啊
盘他！！！！！！！！
好可爱
好可爱
好可爱
想！
漫画风
好可爱啊！！！
关注了关注了
有被震撼到
可可爱爱！！！！
好好看
太牛了
爷爷给我也做一个呗
好可爱!
降维打击
惘闻！
优秀
好可爱啊哔哩哔哩
我想要！
黄杨的么？
太可爱了
哇
惘闻惘闻惘闻
三连了惘闻惘闻
明年一定！！！
腰
哇塞
？怎么回事哈哈哈哈哈哈
好可爱
太可爱啦啦啦啦！！！！！
啊啊啊bgm
惘闻！！
明年一定会有的！！以后每年都会有的！！！
淦天雷表示真的很棒！
好可爱！！
牛
666666
lizhi
好可爱哈哈哈哈哈
好可爱
这次一定！
想要！！！！！
小卢终于被更多人看到了！
提前祝福！！！
好可爱呀
这不是我的闹钟声嘛
好厉害！
可以呀，建议量产！绝对热买呀
建议多种颜色，金的粉的等
是时候验证血统了
这次一定
这次一定
腰！
记得搽护手霜
莫名觉得这个可爱了很多
包浆了
哇啊啊啊啊啊
