别刷时间，影响观感
恭喜你在模仿大赛获得第三名的好成绩
这首是原创吗 蛮好听
7777
芜～
上头
太der了吧
kksk
我的弹幕………
再来亿遍
66666
油油油
假唱？吐了
第四遍
太强了
烫嘴
好强爱了爱了
人类高质量油物
厉害呀
高质量！！
好听
6666帅的呀
看见你就想到斯文败类！
再来一遍
YYDS
这是新来的？
Wc好厉害！
牛逼牛逼
上头
我看不懂但我大受震撼
实力派实力派
666
好帅好帅好帅好帅好帅好帅好帅好帅好帅好帅
他是谁
牛逼
老张上大号说话
突 发 恶 疾
老张
宿涵的四面楚歌
烫嘴
真的好听！
哈哈哈哈哈
新说唱
2倍速嗨到飞
上头
官方认证
真顶！
666
好听点赞
对嘴没对好 差评
66666666
牛
抽了
有点奇怪，再看一遍
火上浇油
每一帧都是惊喜
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
牛逼牛逼
bia！！！
帅
娃
排除高质量部分，还真挺不错的其实
九敏
帅的一批
kksk
太灵性了
芜～
这播放量就离谱
我竟然觉得挺好听的
卧槽有点东西啊
？
你好怪，怪牛的
虚晃一枪 
救命救命
口型没对上，没记住词吧 哈哈哈哈
您就是鬼鲛吗
…
66666666
关掉声音另一个故事
skr
牛逼
我还以为是我网的问题
今天第n遍了
牛蛙
您这白眼嘞
6666
油出残影了！
田勤根
这是在干啥
这不是对口型嘛……
卧槽ohhhhhh
有点东西
人类高质量发型
卧槽，上头了
卧槽
上头
稳定发力了属于是
再来亿遍
前方高能高质量挑眉预警
后面这撮翘起的头发很销魂
不是啊不是吧，难道当鸭也算鸭。。。。我耳朵里的
上头
口条真真利索
油油油
好听啊
ohhhhhhhhh
好油
知道啥是蓝调不啊
好听！！！！！
蚌埠住了
666
有操作的啊
卧槽可以啊
牛逼
绝 帅到了
中  国  新  说  唱
《突  发  恶  疾》
2000+离谱
中国新说唱
叮当猫
怎么越看越像……
牛
油
nb
这裆给勒的
ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
好可爱啊你
00：17
鬼畜题材
鬼畜题材
完了，去不去了
牛啊
6666
中国高质量
不赖啊，不过为什要拘谨于“人类高质量油物”呢
大头
机关枪
田一名yyds
说唱新世代，没你我不看
乡村爱情里的方正
暂停学表情
暂停学表情
我弹幕能火吗
666
上头
救命出不去了
再来一遍
单曲
越看越帅
想要老张学一个
人类高质量
再来一遍
再来亿遍
丝滑 
唱的真的好好听
《**新说唱》
牛逼
草 牛逼
哈哈哈哈哈哈哈哈哈哈
牛蛙
高质量人类
牛啊
突然高质量
？？？？？？
小嘴超了频
可恶明明已经忘掉了
人类高质量男性
这段doggie唱过
牛
就玩玩，要是点赞破700，我给路人唱Cardi B的up（应该没有人）
钨～～～～
秒
希望能出歌，唱功真的好
上瘾了
再来亿遍
这一段对口型一直在巴拉巴拉巴拉
666
推荐up  楼上老张，贼像
高质量表情啊！！！
上头
呜呜呜呜
6666666
厉害厉害
牛逼
我为什么觉得他有点像潘玮柏哈哈哈哈哈哈哈哈哈哈哈哈哈哈
你后脑勺头发乱了 
6
九敏
6666666
黄晓明
哈哈哈哈哈哈哈哈
上头
开始洗脑循环
为什么这么好听
n b
qiang
上头上头
6666
到底是专业的
中国新说唱
可以啊！
我的鸡皮疙瘩
厉害啊！！
厉害
每一次暂停都是一个表情包哈哈
牛牛牛
发际线为啥这么高啊
666
再来一遍
我靠这是真的不错
很好听耶
芜~~~~
高质量！
牛批
高质量！
上头了
你好好打扮挺好看的兄弟
哈哈哈
他发型一直这样吗
绝了
nb
《人类高质量挑眉》
就我一个人觉得好…
feng bang
《珠心算》
太牛了吧卧槽
？
这饭，就像炒股，最近正好有个火热的，跟一波，等着后面跌了，这东西自然没有了
高质量
啊，流啊！
呕~
真的好帅
好厉害啊！！
上头
6666666
再来亿遍
哥，要不咱换个发型
一入油田深似海
牛逼
上头
哎，油
好帅
难道当鸭也算鸭
牛逼
人类高质量骗子
好帅啊
中国新说唱
恶心
"bvcvbnm,.//.,"
芜~
只要我不尴尬，那么尴尬的就是别人
芜～～～～
好家伙
发际线好高啊
真的牛
上头，爱了爱了
太强了，上头
这个rap太强了，多来点
《人类高质量油田》
前方0.5高能
哈哈哈哈哈哈哈
牛逼
举行
火后刘明
这让我
口型对不上啊
把嘴型对上行不行
太强了，支持
有点牛批的
持续在~提升的实力派
可爱
清晰度太低了
kksk
哥们 给我一首歌的时间才15秒 不够啊  能不能搞个完整版 很上头 一定很火 
上头
说唱新世代
新说唱！！！
不明白他怎么火的，也不帅也不魔性
KKSK
弹幕捕捉器（             ）
牛啊
钢之月面宙返
牛！
牛逼
上头
牛逼!
牛啊
男人大可不必这么完美
上头
玛丽莲曼森嘛
牛逼
牛批啊66666
中毒了xdm
油到我了
人类高质量翻白眼
牛逼
再来一遍
高质量抽搐
上头
好牛
牛逼
发量感人的优质男
飒
NB
上头
截图选老婆
麻了
笑梗不笑人   一鸣真油人
牛
这...
韩国
能不用这个发型了么
锰
kksk
？？？？
真的好牛
好油
不看那里挑战
大
你后面头发怎么翘了
joker
唱得很帅
666
kksk
666666
真上头
鬼知道的我看到了遍
九敏
官方认证
官方认证
牛批
kksk
人类高质量rap
666666
心肌梗塞
哈哈哈啊哈哈哈
大庆油田
666
哈哈哈哈
牛
？？？？？？？？？？？
冲啊
发力了发力了！
滚
只是看了中国有嘻哈
得劲儿
好厉害
有幸看过第三视角
对口型
对口型的兄弟们
感觉有潘玮柏那味儿了
。。。
恭喜你发现宝藏！！
上头
真踏马上头
偷别人的歌
周杰伦：没礼貌吗
这边建议关掉声音
好听！
停的地狱
欲晒又止
蚌埠住了
牛
 仔细看  好大
牛逼
哈哈哈哈
《楼上的老张》
牛牛牛
中国新说唱没你我不看
没ziao好头
社死谢谢
yyds
666666
好漫长的30秒
牛
这不比skr强多了
这是他原创歌曲？！！！！！
牛啊牛啊
NB
鬼知道我听了多少遍
为什么   一直发吐
牛逼
上头
大，伞，兵
鲛肌融合
扣扣上看
关了声音有意思
？？？
ohhhhhhhhhhh
芜湖上头
油多的美国都想来攻打你
啊！
突发恶疾
什么东西？
挺帅的
i了i了
田欲油
。。。。
油腻
厉害
刺激
笑死我了
这是原主？
123木头人！
我爱了
233333
666
好帅
绷不住了
上头
有点秃然
《人类高质量挑眉》
这是啥啊我天
牛哇
666
6
1
好久
666
哎呀，重开始领带歪了。
只是跑去看了高质量
ohhhhhh我趣好好听
厉害
6666666
牛逼 挺你  
九敏
好清楚，这个咬字比好多人好
我人麻了
背后发凉 
甚至都没有勇气关掉弹幕……
恶心
男人能不能有点阳光之气，传播正能量
蚌埠住了
上头
好家伙赞比粉丝还多
官方认证
不懂就问，这是楼上的老张吗。
有点害怕
每日一遍
就很魔性
上头
成功截图
哈哈
炸
继顶针之后果然什么妖魔鬼怪都出来恶心人了
？？？？？
这个真的强啊
好好玩。
每天一遍……
播放量和点赞太惨了
牛
当鸭也算鸭
马戏团需要你
啊啊啊啊，鸡叫
牛蛙牛蛙牛蛙
高质量说唱
突 发 恶 疾
牛啊
上头
好上头，新说唱没油田我都不看
nb
上头
欢迎回来
这个咬字爱了
三轮车？
帅
滑了
上头
kksk
这嘴开了光？
好洗脑啊刷了好多次了
上头
上头
sky
sky
精神污染
上头
嘟噜嘟噜嘟噜嘟噜～～
恶心
骂流量密码的那些人，人家心态好，都懒的理你
突发恶疾
哈哈哈
钨～～～～～～～～～～
nb！
第五季中国新说唱导师田一名，AKA油王
这个发际线没救了
这个礼服很经典呢（鲲）
这不比华晨宇强？
抽搐式算命
给我笑得
上头
我真的是服了，这个男人
叮当猫
每日一遍
油光可鉴
求你出完整版
欢迎回来
救命啊
呜呜呜
一天不看难受 看，了难受一天 
人类高质量鬼鲛
强啊
哈哈哈
炒菜
上头上头
牛逼牛逼
退回很着急
666 
。。
恶心
official
上头
汚～
人类高质量油物（?）
流量密码
恶心
我两盘菜已经好了，还差一盘，继续重播
高质量说唱
这小伙儿长得还挺别致
唔～
厉害
这个和那个高质量相亲男是一个人？
太上头了
领带穿模
是的，不算
人类高质量男性单押
王祖蓝?
原曲 <restart> by Wiz_H
小丑小丑小丑小丑小丑小丑小丑小丑小丑小丑小丑小丑小丑小丑小丑小丑小丑小丑小丑小丑小丑小丑小丑小丑小丑小丑小丑小丑小丑小丑
666
虚晃一枪
你是真的能拉能唱
好厉害啊
社交牛逼症
有点帅诶
好家伙，地球没你我都不活
粉丝直线上升我去
垃圾
笑死我
田一名yyds
突发恶疾
欢迎回来
哇哦
《石油大王》
66666666
滚啊
当鸭也算鸭？
66666
上头
上头
好油
上头
高质量up
摄魂怪
他唱功一直可以的
上头
kksk
封面看成楼上老张了
真的厉害
口型对得有点烂
 帅！
哇是真的很厉害
发际线
好厉害！！！！！
牛逼
厉害
可以啊
功底好强。。。。
看头发就知道不是一般人。
nb
中国新说唱
恶心
阿瓦达索命！警告！
蚌埠住了
是个高手
夫人你的发际线有点危啊
一天不看难受，看了难受一天
冲爆了
人类高质量开枪
太油了
nb
战 术 甩 手
上头
你是男瞳嗎
智慧的眼神
刚看了路人版，感觉一个天一个地
牛逼
长得真丑
虚晃一枪
每天一遍
上头
虚晃一枪
好适合这个造型
我竟然看上瘾了
烫嘴
芜~
ex
冷，头皮发麻，是尬到我了吗
有
其实挺好听的，嘻嘻
秃头预警
第126期每周必看收录
我人都傻了
仔细看歌词
？？？？
壁虎
突发恶疾
反复
好几句口型没对上哈哈哈哈
强啊
牛逼
《莫 斯 科》
好怪哦，再看看
卧槽三押
上头
嘿
触电式说唱
卧槽？
好厉害
伤透
卧槽好吊
支持主办方
上头
《人类高质量男性表示不削》
蚌埠住了
？！
欲油又止
干柿鬼鲛
弹幕护眼
看完做噩梦了，骗人是狗
好油
欢迎回来
坞仕撻焐氏牠
青出于蓝
哈哈 好玩
其实挺好听的
发际线警告。
這。。。油，但越來越上頭
吐了
《中国新说唱》
正版
《摄魂怪》
好带感
突发恶疾
大庆油田都没你油
芜糊
好棒
好像羊癫疯
求路人视角。。
歌名：restart
歌名：restart
00:01 
我蚌埠住了
这人唱功是真的强
好油好油
有点帅
名sir立
当鸭也算鸭
kksk
kksk
神尼玛二创
richang
tql
恶心
p
0.5
ohhhh
这样就是高质量了
这油炸的滋滋响
の
恶疾突发
这逼我看见他就不舒服
钨～
＼(≧∇≦)／「The World」！
光头强
去当喜剧演员吧。。
0:17
哈哈哈哈哈哈哈哈哈哈哈
难道氮氩冶算氩
《毁去自己》
天庭饱满
闭眼看
 拿摩 瑟曼得 部塔囊 阿 萨埵 系达譬乌德戈得 特览 特览 览 览 斯瓦哈
小眼睛，没洗头好棒
砸 瓦 鲁 多
0.75倍新世界
《人类高质量rapper》
再来一遍
每天一遍，烦恼再见
切换战斗模式
《突发恶疾》
伞兵一号卢本伟准备就绪
皮塔.拉托里:爷谢谢你
大人 时代回来了
哈哈哈哈快逃
啊♂
啊，他的实力真的蛮强的，希望不要diss他了
田哥不要啊
挑油眉
传说级油王
人类高质量领带
kksk
人类高质量说唱[支持][支持][支持]​
他说什么都没有听 
返祖
人 类  高 质 量 翻 白 眼
你的歌词有点烫
油
王大锤
嘴形就没对上过
这个头不属于他(doge
鱿鱼游戏
《人类高质量挑眉》
᭙ᦔꪀꪑᦔ
每天一遍，快乐不见
牛
人类高质量暂停
人类高质量鬼畜
油田の说唱
人类高质量甩手
钚铈钯钚铈钯
洗脑了再来一遍
突发恶疾
虚晃一枪
不愧是我杨坤的人
我在快手上就刷到了这个视频
播放量离谱
2000万打卡
好听
超厉害的呀
空降00:18
OHHHH
男的当鸭也是鸭？
难氘氮氩也酸氩
空降00:21
哦在这儿停顿
《油.真油》
单鸭也算鸭
这几句让我想到了贝贝 哈哈哈哈（没别的意思
空降00:11
这是说唱听我的里面的片段不是原创
奥斯卡影帝奖
突发恶疾
中国新说唱
空降00:19
人类高质量男性
头好大
少年好颜艺
不看一天难受，看了难受一天
中国新说唱
四连压
空降00：20
空降00:08
突发恶疾
空降＋00：10
暂停成功
空降00：00
傻人有傻福
哈哈哈哈哈哈哈哈哈哈
灵魂
油你就好
空降00：00
空降00：00
空降00:01
哈哈哈哈哈哈哈 很好笑
空降00：18
音游人（
这恐怖的播放量
0:20
空间00：18
盐城人的耻辱
万恶之源
空降00：00
当然了当然了，难道撺稀不算拉
高质量口语练习
干柿鬼鲛
还行？
空降00:21
大庆油田来啦
他粉丝都点赞了吗？？？92.5
来上个香
我暂停的这个位置就是一个一脸懵的表情包
没用的，我晒干了，沉默。
鸡皮疙瘩起了一身
突  然  高  质  量
人类高质量白眼
歰贔
唱的很好
空降00:19
空降00:20
不知道为什么，我就想K你！还越看越上头
他好帅啊
过气网红
支持原版
哈哈哈
《pia》
其实蛮不错的就是前面太油了
掐指一算
工藤新一
大庆油田
每周必看
空降00:19
官方整活最为致命。 
暂停学表情
绷不住了哈哈哈哈
抽风？
秃头了
᭙ᦔꪀꪑᦔ
……
露出鸡脚了小黑子，背带裤
每周必看
战术截图
空降00.17
救命，这迷人的五头身
你竟然穿了背带裤
不喜欢说唱，我直接拉黑了
空降00:18
空降00:18
没用的，我晒干了沉默
哈哈哈哈哈
背带裤！
空降00：18
鸡
顶级人类
原生皮
没有的，我晒干了沉默
猎鹰一号，发现目标
你是个什么生物
今年背带裤买的超火
yue
空降00:03
战 术 停 顿
空降：00：18
""
