嗯 弹幕被刷了吗 ？
凹凸世界完结啦
这并非你们的世界
那我就真的溶于星空了
===人类不会对宇宙的消失产生影响===
留下脚印
好像爱登堡的声音
此时只需用中子进行撞击再次形成核聚变doge
丝之歌发售了
好想看到啊
娲大姐，上班啦
注意，这不是本人制作！
求生极乐
一切都是墟；圣墟
一切都将逝去，唯有死神永生
这刚开场就700亿年过去了啊
我还有
但我们可以侵略平行宇宙
旁白还活着 ...笑死
我现在筑基期 等我练到元婴期就能活这么长了
又来？
dnf手游还在内测
billion是10亿啊各位
宇宙大坍缩
当所有星体死亡消失后，天空或者说宇宙还存在吗？
gg
能 量 守 恒 定 律
这不又回到2012了
说真的，宇宙实在太大了
熵增？
下面的时间全部标错了
此时up更新了
进度条感人
再见
按照能量守恒定律宇宙并不会归于死寂
因为黑暗才会有光
赢，都变作了土，输，都变作了土。
结束了吗？就这样结束了。
生如夏花般灿烂，死如秋叶之静美
世界终将重启
在我死前留下纪念，我是江奕佑
所以 我们也要走恐龙的路吗
好短
好震撼
我没了
虐杀原形跟求生之路出到4了
此时，史莱姆诈尸了
灰都无了
不应该是热寂吗？
人类纪估计会很短
留下脚印
一切都将逝去，唯有死神永生！
短片
全金属狂潮更新第五季了！
2021年2月19日来过—zyy
所以，是真的吗？
看!盘古就住在这个蛋里！
我在这
地球已经没了
此时，龙族出了第五部
2021二月18号打卡
小明考上了高中
但是还会有 心的恒星出现
半条命3还没发售
二倍新世界
在无数宇宙组成的空间中，还有无数个同样的地球
老子又是一条好汉
我25岁了
三角符文更了
说不定这黑暗就是下一个阶段生物的光明
让我们共同投资制造飞船吧！
是不是忘了恒星是怎么出现的
差不多了，海贼更到拉夫德鲁
有人么？？？？？？？？？
什么时候会变成黑洞哇？
魁拔出第四部了！！
啥玩意？？？？
地球虽亡，但我超电磁炮永世长存！！！
《短篇》
没关系的我们都会在奇点相遇————就像我们都来自那里那样
世界你又错了
这进度条！！！！？？？
宇宙很大，生活更大！！！
鬼刀完结
我早没了
，，，，，，
期待
这是宿命
如果还找不到适合的星球，或许流浪地球计划是人类的唯一选择
2555
寂静...
此时罗小黑战记更新了
三体电影上映了！
幸亏那个时候我量了
再见，弟兄们。。。。。。。。。。。。。。。。。。。。。。。。。
卢本伟进化了
名刀司命
留下脚步
柯南还在连载
十个量劫过去了  洪荒到人类出现的时间
心宿二是天蝎座的一颗一等星！
一几年看到的，这一回看到是21年了，也许这堆弹幕中的一个弹幕真是我曾经的账号留下的吧
留下足印
黑真TM的黑啊
制造人工太阳，变成奥特曼
你是我老婆
bgm:呵呵
火星获得第一魂环
，
留个足迹
第二次宇宙爆炸
，
我来过这里
上帝预告片
留足
未来在 呼唤我。
啊哈！
唯有死神永生
阿波罗宇 宙 员
2021 2 月4日，留下足迹
GTA 出6了
解锁结局：end                                        ？
在此处留下我的足迹。
我存在过，也没存在过
为你加油！！！！！！　☆  *　.  　☆　　. ∧＿∧　∩　* ☆*  ☆ ( ・∀・)/ .　.  ⊂　　 ノ* ☆☆ * (つ ノ  .☆　　 (ノ
stop
摄影师全场最佳
长老，申请一片二向箔，清理用。
传说之下困难模式完成了
小智还是10岁
这不是重庆地图吗
真刺激。
我估计会死了…
2021年
热平衡
2039
留下脚气
获得成就：死亡
蜡笔小新6岁了
我没了
天 堂 制 造
此时，我终于写完了作业
走向虚无
「made in haven」
留足
三体
关灯
留个足迹
或许我们会在另一个时空再次相遇
在这里留下印迹，让后世的人们找到我转世的身体
喜欢的人回消息了
留
进度条是个鬼故事
2021
其实星系的构造很像原子。
留下名字
世界就这样结束   不是怦然巨响，而是一声呜咽
假设有一天人们发现现在对宇宙的认知是错误的呐
666666新年快乐
标题取得真好
此时狐妖小红娘终于更新了
留下个足迹
柯南完结了
黑洞呢
1
不会有永远的
川建国
因太渺小而想伟大
这时候国足踢进世界杯三十二强啦！
进度条 感人
文明永存
德玛西亚（！）
有种凄悲感…
神墓
「1亿年」
输入关灯进入夜间模式
美丽
没有星星了
进度条吓人
三体文明最终统治了这片死寂的世界（全剧终）
三体 
至少在别人死去之前我们为他们留下了美好的回忆就够了
给你们讲一个鬼故事：看进度条
足底
弹丸论破出了456了
神灵重现，传说诞生，文明开始，无数年后又是一个轮回，又会有无数个你，我，一次次重演，永无止境。
所以我女朋友呢？
留下手印
刚刚开始
留下足记
留下jiojio
2021 1 10
《尽整没用的》
进度条告诉我们下简单
物质都去哪里了
人呢
泪目
那能量去哪了?是磁形式还是沉淀态
这个时候就需要传火了
恒星离开。宇宙服务区。
索隆结婚了
地球还是圆的？
才过去2分钟
2021初来过
我已飞升
2222年啦
我们要是死了哪里还能管那么远的未来
人类的意义是什么
我们的生活方式是什么意思，我
弟弟堵车土地储备复读复读成都府
我的心跳速度开始加快了
汤姆吃掉了杰瑞
好傢伙!!!!!!
喵喵喵
卡兹死了
我终于金丹期了
留下了足迹
宇宙2维化
此时的三角符文才出了第二章
柯南升入初中
也许我们能在另一个平行宇宙相见
《王者?别闹!》更新了
留下足记
存档存档
很难过啊哈哈
迅——哥——
咕，我在！
地球*退出宇宙服务器
留痕
热寂
恶魔人第二季
我希望末日来临时能和家人在一起
行星协议已失效
宇宙大爆炸留下的产物最后消耗殆尽
好美啊
为什么会存在宇宙
进度条警告
旅行者一号到2025年就没燃料了，掠个屁
焓减熵增，归于无序性
可是这只是太阳系啊，其他星系也有恒星，太阳未必是唯一啊
结束亦是开始
档字幕是nc？
死亡是所有生命的终点
我想问问到那时还有人类吗
再这之前我们会遇到乸堵詞人
希望活到短片结束的人能看到我的留言
还有49亿年，仙女座和银河系相互撞击，形成一个新的星系，太阳爆炸
我来过
人们总是说科学科学，当上升到一定宏观层面科学也变得如此弱小
2020-12-8
思考是人类最宝贵的财富
一亿亿
变白矮星了就不是黑洞了吧
足迹留下
没有太阳，就不会有生命了
世界末日
华为诞生了
诡秘世界观开始了（？）
魔法禁书目录出4了
科技的时代已经结束，修仙的时代即将开始
没有什么是永恒的
关我什么事
重庆！
留下足迹，就像姚贝娜的歌《心火》里面唱的那样，“这世界我来过”
脚
南极不应该早就消失了吗
圆周率算尽了
据说流浪地球2快出来了，也许他会给我们新的答案
死掉
所以现在多少年了
到这个时间，在座的所有人都不存在了
众所周知，宇宙平均密度刚好够一直膨胀
柯南完结了
柯南仍在连载
地球会不会再经历一次大灭绝
本来挺正经，看弹幕笑出声了
你我终将同归宇宙的田园时代！
那时候宇宙变大了，平均密度很小，难得造新恒星
阿西莫夫的《最后的问题》
明日之后第九季
乙佬我来了-千秋留言
好好珍惜现在的白天吧
红超巨星
吓得我赶紧看了看进度条，结果绝不简单
摄影师NB
马化腾破产了
妖神记就要更新了吧
我们能够重逢吗……
沉浸式游戏舱有了。
留足迹
我思，故我在
天堂制造
什么狐妖小红娘大结局了
6-3终于等于6了
2020/11/20，第n次看了
用光粒先把太阳毁了
我功課做完了
地球tm炸了
空洞骑士出二了
赛博朋克2077出了
前面亿群ut与mc的
热寂
这是2012！
泰坦生物更新0.50版本
死掉了
哈哈哈
。。
活着即是永恒
黑洞纪将持续10^16年
诚心回来了
留足
留下思念
。。。。
我又活了
收藏比点赞多系列
柯南终于要参加小学毕业考试了
666666
bgm是什么
。
留下足迹
卡兹又开始思考啦
哇！
半条命出三了！！
那外星人去哪了
我又活了
感谢智子拍摄
羅小黒は第5四半期の第1集まで出ます。
留下足迹
就哈哈哈哈
盘——古——
只有死神永生
哭了
好压抑
彼此铭记，就已值得
没有发生的事随便想，反正还没发生的事，就像预测2012世界末日一样
热寂？
柯南死了
爱情公寓出6了！
我的意识还存在吗
回到混沌期了
双梦亡者补天留下jio印
害怕
全职更完了吗？
有没有可能现在的月亮是曾经的太阳
我还会活着！！
dio做人了
我来在2020年
2020爷还活着
作业没了!
无尽贪婪更新了
我不想死啊
我脱单了
楼上的已经出了！！！！！@
人的一生还是太短了
留下一只脚
爷的命结束了
MC出续作了！
盘古那
重新演绎
土星：我环呢？
网易版我的世界跟5.38版本了
np
进度条：没结束，想桃子
别忘了，可能还有其他宇宙
“所以，宇宙诞生的目的是什么”
岛市老八回来了！
不坍缩吗
斗罗大陆完结
可怕啊
迎来大黑暗时代
好家伙，我TM直接好家伙
奇迹大陆又毁灭了
神探夏洛克出第五季了
太阳:红巨星
柯南高中那个，放血别走
看不到我
罗小黑完结了
三角符文出了新篇章了！
，
海贼王完结
网易更新了地狱
傻孩子们快跑啊
2020/10/17
刺客伍六七第三季更新了！
成吉思汗出新皮肤了
我这一生一切的悲喜情爱，在某片星尘深处也许自有着回响。
任天堂倒闭了！！
到2080年再回来说爷青结
港一中初二五班刘，李
火钳刘明
好深奥的样子
最初是如何来的，毕竟终会消失
647
能不能别发什么什么完结了，这是一个正经的视频
不会重启吗。。。
地球没了
永恒之梦已然结束，是时候苏醒了
霞谷毕业了！
三角符文出第二章了!
陈情令出二了！！！！
嗷嗷嗷嗷熬啊！
我死了
4200京了
好帅
不知道为什么好害怕，终将灭亡，存在意义是什么
是一立方厘米，上面的
2020 、10/8
东京电视台动画片消失
这个熵就厉害了
从头开始
能量不会消失，只是转换另一种形式的能量
卡兹飞到了星球上
鬼刀完结了
爷青结
宇宙会变得又稀又冷
太阳：8大行星们你们完蛋了！
新闻联播完结了吗？
惊梀片？
尘埃 你当我不存在吗 
.
我们就是三体人
活号自己，珍惜时间
黄石公园
还有一亿进度条
光头强结婚了
大  西  洲
所以，传火么不死人
现在暗物质开始行动
所以，宇宙的尽头是什么？
大神我是来听歌行吧
流浪地球计划启动
您已获得最终成就(结束......了吗？)
2020/9/29 星期二
宇宙也会死吧
我的故乡有我来掌控，本源~重启！
吓死
时间的起点是什么
毁灭你，与你有何相干
2020 9 26
留名
弹幕护体
玩烂梗的滚啊
热力学第二定律，以及悖论，分子在不断运动
死寂的可怕，但又是美丽的
2020 9 20
南——极
活不过三秒
2098年，移民到哈幕雷特
还有灯光！
2021年考古
是个恶性循环
m78星云嘻嘻嘻
全屏时间均为他人死亡日期
三维宇宙 没有时间
2987年11月28日
留个弹幕希望后代能看到我
简并纪即将启动。
星球大战！！！！！！！
幸运的话～可能还能压到我的骨灰盒～～
为啥字幕在上面，真扯蛋
包裹宇宙的又是什么?
弱智弹幕真多
2012好评
进度条不简单
宇宙会重启
玄乎，节奏不好
巨变
全部人类是我
众所周知白矮星有极强的引力
我孙子的孙子也没了
 前方高能预警
我       靠，我靠我靠我靠我靠我靠我靠
狗卡送史诗武将了
太阳死了
低熵体
进度条警告
欢迎回来
有光吧［doge］
三体了吧
奥本海默极限三倍太阳质量才变黑洞。
欧拉欧拉
害怕
罗小黑更新了那个笑死我了
冷寂
好好看啊
草，差五公斤
不知道年份的看最下面。
猫和老鼠免费了
2020/8/32
这只是个预测~
鬼见条
脉冲星？
泪目
要发弹幕就发滚动的
这就是规则
2022/1/9
热力学第二定律
2020 8 25
从这个纬度逃到另一个纬度
那些说着不要挡字幕却把自己的字母发在顶部和底部的是有什么问题吗
伏拉夫:我爱中国
红字你挡字幕了
@归零者
trillon!!!!!
2020/8/24
超新星纪元？
那个时候人类早就灭亡了
穿越?我笑了，人类根本没有能力活到那时候，还穿越呢，你想去哪?
做一个人工太阳，我们就变成奥特曼了
黑暗森林打击
太阳变白矮星了
2020/7/24
我在等末日
5020年13月32日
类似的纪录片我貌似初中看过诶
为什么有点上不了气的感觉
计时单位:还是1(年)(皮一下贼开心)
夸克
50亿年后了
他     
发顶端弹幕的红字是不是觉得自己很能/？
阿撒托斯梦结束了。
宇宙终将热寂
1
不可思议
进度条注意
宇宙重启
黑洞会并吞，弱小被强大的吞噬，最终，“饿死”（牛顿提出的黑洞论）
2020-8-21
3657.6.27
2020/8/21
唔……到那时候没人记得我了吧？
那等几天让宇航员再踩一个不就行了。
这个还不是最可怕的事情，最可怕的事情是去看进度条。
实际上…我们也在小小的时空中溯游～
10月32号的那个你够了
我骨灰没了
我感觉我在看大片
2012
2020 8 19
完了
2x
BGM：Sun Mother
行星发动机研制成功，地球进入流浪时代……
2020/8/18
卡兹掠过最近的星系
亿
星舰地球
"2020,8，17"
2020/8/17
又美丽又冷清，宛如死亡一样
hhhhc，归零者可还行
但是引力极其可怕
变成黑洞
2020/08/16
这时候b站肯定还在
那宇宙又是怎么来的呢，宇宙里的事情谁是旁观者....
进度条感人
2020/8/15
2027/7/15
真理往往让人感到惧怕
留名
我不想死
太阳再见
我坟没了
8月14日3：41留
至敬所有的生命
三体世纪
2020/08/13
2020-8-12
罗小黑完结
2023-4-24
注意才过了三分钟
掌握4级文明就好了
人类诞生灵魂和“肉体”
第647号宇宙
哇喔
成就：三分之一
2020/8/12
我思故我在
！！！！！！！！！
2020/8/12
别刷底部弹幕行不行？
2087/6/7
2020年8月12日
承认吧，人类再存活几千年可能性都很小
只有人类还能活着，交通工具就必须是空间迁越宇宙飞船，必须是普通人类的，不然肯德不行
2020、8/11
2020 8 11
三体文明（手动滑稽）
心宿二终于炸了！！！
我复活了
我担心个锤子尽管没用的
宇宙爆炸
这个时候世上还有生物吗
开始与结束的地方
2020/8/10
害怕
【星辰大海~最终的生命】即将上映
发条弹幕证明我来过
进度条感人
我们终将成为他人的星
2020/08/09
这进度条
最后的黑洞蒸发了
穿越黑洞你的身体会裂成粒子
地球：你不要过来呀！！！！！！！！！！！！！！
130个兄弟们，我们是幸存的人类
尽整没用的
2020－8－8
2020 8 8
2020
巴——西——
下面别挡字幕辣
原影片叫宇宙尽头
2020/8/7再来亿遍
2020/807
2020/8/7
弹幕礼仪
但我相信人类不会就此灭亡
我可能活不过
2020  8   6
2020-8.6
2020 8 26
人类应该已经没了....
trillion
2020/8/6/00
妈妈！！！！！！！！！
我活着
刚开始
难道没有新的恒星
留下足迹
霸屏
我家炸了
重新来过
1984
大威天龙
我是墓地
以后会有新的行星产生
红巨星
物质还有什么意义
忽然想起了流浪地球的故事
金闪闪在喝茶
我的饭
2020
2020/8/4
2020/8/3
你们可以去看寰宇地理，里面有解释吧
他
达成成就【永夜】
10000年以后
别刷日期了，你们弹幕礼仪呢？
2020/08/02
oh，dnm我好害怕
上面那个别刷什成就好吗？
？？？
见鬼
2020/8/02
进      度     条
沧海桑田
我看了一眼进度条，发现事情太简单了。
2021  1.1考古
再见了2019！
wow
证明一下自己存在过
我们探索的只是宇宙的沧海一粟
地球一定迟早会灭！
进度条。。。
达成成就:结束了?
看的我好难受
45亿年了
2012～3058
流浪地球
磊王留迹
2020/7/29
进度条才刚开始呢
会出现什么作为现代人类活过的痕迹，
恒星纪还有2亿年结束请珍惜
JOJO 
2020-7-28
我棺材没了
世上没人能活着结束
这时人们应该到了別的星球上
好快
感觉很像小蘑菇
熵越变越大
人类的生命脆弱的很，迟早会死的
鬼见条
2120年7月26日
整个宇宙都会被黑洞吞噬光也不例外
宇 宙 归 零
我活过
这时候的人类可能已经不在这个维度了吧
            ，
泪目
地球⋯早晚会被毁灭。
达成成就:恐龙灭绝之一
地球灭亡是早晚的事，没有一个星球是永恒的
终结即是起源，再见。
泪目
红巨星
我就是墓，建造者的墓
公元2020年7月24日
2020/7/24
怕个叼，我重重孙已在火星买了房
2020/7/24合影
大热寂
留什么足迹，搞得这个视频能留到未来百年后一样
黑矮星
2020-7-23
我己步入大乘，正准备继续熬上几天，突破渡劫。
2020723
进步条令人害怕
应该不会这样，毕竟已经鹰状星云还在生产新的恒星
洛希极限
2020   7.21
到底有几个星系也未知。
达成成就：周而复始
QAQ实在搞不下去了
达成成就：毁灭？
2020/7/22
帝国坟场
飞出银河系有什么用宇宙都是这样了
说实话在时间面前没有什么东西是可惜的
刚看到时间，开头就死了
惊悚
giao
地球即将扑街
首先这个是不可能的，地球不会这样。
【地球】毁灭
好美。。。。？
留下
进度条警告
2134年1月8日
冰河世纪
2020    7   19
2020年7月17号留下
2020 
2020/7/18
2020•7•20
不是吧还有人真的信轮回
2012~2104
？？？3087.6.28？？？我一脸懵逼
注意，这是重庆
2020/7/17
现在只能把弹幕透明度调到最低
2021/7/17再次留下
好像盘古大陆
害在坐的各位都没机会了，
又来考古2020.7
看道这，我发现我的币留着有何用
2020/7/16
打工是不可能打工的只能看看宇宙奇观维持生活，
2020/7/15
突然觉得还挺好看的
2020年7月15日，记录姓名cx
黑暗时代
荆钰
黑洞呢，恒星也可以变成黑洞，黑洞可以变成白洞，白洞喷射大量物质，物质会不会形成新的混沌呢？
延续不了的
7.14
2月30号，柯南完结。
人啊，那么脆弱
我明白了外星人就是上了地球的原住民。我们离开地球，重组又会有人诞生。而我们就会变成外星人。不是吗？
太阳过一百亿年会炸一次，全部太阳都会炸
你开始了吗 我已经结束了
天堂制造
2020年7月13日。
呵能活过这几年再说吧
QQ
摄影师nb！！
哦谁特
关灯了
2019，7，3
把字刻在石头上！
好像我们的人体细胞啊
流浪地球！
我，通天彻地李七夜
2020  7  11
Ohh
陷入沉思
留下足迹（今天是2032年4月3日）
留下我自己的足迹。
我们可能等不到旅行者一号飞出太阳系了
结局:热寂
2020/11/11
我已懂得，无论处境，泰然处置
面对宇宙，人类又算个球？
好像大片的感觉
2020年7月9号
前方莫明踩点
1
我没了。
′2020  7   9
达成成就『光顾』
《流浪地球》
留下jiojio印
我居然看到这里
进度条告诉我不简单
今天生日，留下我存在过的痕迹
哈哈哈
怎么延续文明
害，尽扯些没用的，我现在肚子疼，现在如果肚子疼就结束，我觉得生命才有意义
超级火山曝发的话美国肯定会被毁灭
参宿4
20207.8
保护                                                                                                字幕
火之纪元的结束
太阳老了
害怕
氦闪
美的凄凉
我，日没了
111
完结撒花
放心咱们绝对看不到
此时人类如果没灭绝，已经离开太阳系了
还好我活不到那时候
感人的进度条
我tm直接跳过。
壮观2啊
Ikentv
人类已经灭绝了
留足
202075
2020/7/5
2020/7/5留下脚印
等出现新大陆的时候人类早就出地球了
所有的一切都回归原始
留
好害怕
2003 9.2
看成了白嫖星。。
还有黑暗纪
泪目
2020/7/3
llei
告诉一下作者啊，2020年，不要随便吃蝙蝠
9650年来考古了
2周目
2020年07月03日
2020702
时间好像突然变慢
2020  7  1
2020 07 01
此时我刚步入成年形态，准备去宇宙寻找族人。
流浪地球计划最后真实存在，不然我们会灭绝的
别挡字幕！
不要挡字幕好吧
看过这个视频的，那是早变成灰了，或者。。没有任何痕迹
2020年6月30日晚8点十分
人类会灭绝的
发时间的小学生能不能停一停？
太阳成了红巨星
泪目
我不可以但希望人类能走到世界尽头
不信谣不传谣
2020 6 29
我可能看不到了 后辈加油
2020/6/28 梦菲
创造一个新的小宇宙，在里面躲过宇宙大曝炸，到达新的宇宙，那就是田园时代。三体人的终极目标。
2020628前来考古
人类什么都做不了吗
2020 6月28日
。。。进度条还有很长，我以为结束了我差点退出了
坍塌黑洞
留下足记，今天是2020年6月27日
2022年别去喜马拉雅山。
危
SON  我还活着
离开宇宙
无畏无为无危
4.1级宇宙文明
流浪地球？地球都要炸了还留着？流浪地球计划其实不科学知道吗
gdjd不知道还在不在
可如果突破新维度的话，会不会时间倒流
我死了
进度条感人
留下足迹
来看的都是老三体了
跟我们讲这么多干哈！我们还活的那么早呢！
2020/6/26，留下足记迹象
宇宙真的会死吗
叮叮叮
1
我们还可以活着的，
留下脚印
单位:古戈尔
2020/6/15
地球再见
公屏们把泪目打在兄弟上！
在地球到此一游
宇宙这么多，真就不给人类一定活下去的机会
外星人死了
下
2020
来啦老弟
星  際  水  手
我这时还活着
2020
2020 6/25
鸡皮疙瘩
进度条鬼故事
710别怕，我与你同在
看进度条
留
2020623
是地球的灭绝时候吗
已经死了 勿念
奥特曼光之国
这段bgm是啥
证明我活着
留下脚气
我还活着！！！！！！！！！！
所以，是种族的灭绝和新种族的产生
我来过
我來過
能量守恒
珍惜现在美好时光
一大颗钻石
现在活着也不会有太大出息
那时候是不是都成为绿巨人了
6，21，2020
差不多两个世纪后了
重启计划开始投票
恒星宣布死亡！
该死了
人类加入jojo世界
不会吧
回到过去
进入六级文明神之文明
星辰大海
宇宙不会玩！看看进度！
幸亏我了解宇宙，不然我就不信
2020 6 20
2025
单位：百京（年）
单位：十亿
2020.619
未来的lly你是什么样子呢
2020   6    19
什么鬼进度条
我们来自何方？终将归于何处？
终于飞升了。好险好险。。。。。。。。。。。
留下足迹
2056年我穿越回来了
我们的意识当时会在哪里
留下名字
成住坏空
我来过
2020年，我无殇在此留下印记
从来没有哪个星球像地球这样适合人类居住
我
危
太——阳——
别发底端
人类进入4级文明宇宙文明
欢迎回到寒武纪
火钳刘明
咋有一堆人瞎打时间
起鸡皮疙瘩了
而我只能写作业呜呜
我曾来过
我们所做的一切是为了有存在
所以说谁活到现在了
黑洞到来？
进度条表示没有这么简单
天体，物理？量子物理？
2020612
留下jo印
我们生在了最好的时代
2020/6/13
重生
在等几亿年太阳都不一定变成白矮星或红巨星
留下脚板心
鸡———Q—————
到此一看
2020/6/12
2020-6-12
前方有狗粮核弹请注意躲避
2100，前来考古
复课党留下脚印
差不多没我事了
噗
我死了。
这就是残酷的结局!这就是宇宙的悲哀!
家要没了
坍缩
无知的人类们 享受你们仅剩下的时光吧
留下足迹
雷卞定逆
哇
2020 6 10
你的预测超过万年都是自以为是，因为依靠的仅仅是经验
还好是两百年之后发生的事。要是我活到2200年那就是个奇迹了。
这里是2020年的我未来的我，你好
我来我见
ohsit
说启动流浪地球计划的，把爷笑到了
原来流浪地球是真的！！！！
鬼见条
5770 9 22
小宇宙
←醒醒吧不可能的
2035高考加油？朋友你今年才3岁么？
2222年5月开始，全球物资变少，战争时刻来临，请大家提醒以后的孩子们，要警惕
留下zuiji
以为结束了
建议屏蔽：足迹
这即是开始也是结尾
相信这个世界。
不不会，我们一定会活下来。
护                                                   幕
未来人，祝你好运，如果你还能看得见的话。
留下身影
2022你们穿越了？
精神不灭，思想永存！！！
2020
会不会一切重新开始，再重现一个新的宇宙。
留下脚印
恐龙灭绝 人类衍生
应该还会再次产生新的星球
地球一直再变
留下足记
宇宙会寂寞吗
世界将不再是世界
请不要再发弹屏了，人已经灭绝了。
我来自未来，现在54岁，2000年出生
3123年报道，人类已到达sompli星
迷失
lz留下脚气
圣墟作者出生
人—————————类—————————
留下朕的足迹
去过我们地球人类能延续到这时，百分百已经进化多次
哇哦
突然感觉生命失去了意义
给见条
空间发生规律变化，周期函数？
我去过2020
希望几亿年后我们再见
快点留下我深刻的爪爪╮(￣⊿￣)╭
50京年
有点呼吸困难了我
我终于知道我为什么看不到弹幕了，原来我忘开了。。。
流浪地球可能会变成真的
死兆星
你这写完的那个，你给我别跑。
在这里定个小目标 物理做三套卷子
1996 6 1 迷你诞生年 留下jio印
未来还是有的，但是是掌握平行宇宙技术的前提下
留足
有几个在线的
白霜将终结这个世界
人类渺小，但你有想过人造的东西吗？
2020-05-31
这不是那个大型灾难恐怖片2012吗？
留足，我会活着吗，我还活着吗，我活着吗，人类会活着吗
(       
(                            )
天才的想法
看完不想上班
2020531
太阳都变成白矮星了 我还没有对象 。
一百京年
20205.31
这个宇宙死了，另一个宇宙又会大爆炸
2020 5月31
宇宙有无数个
氦闪？
2020. 5.30留下足迹
2020
最后，人类制造了等离子火花塔，人类进化为奥特曼，最后宇宙和平
我們是人類我們活過
哇哦
今年的太阳正值壮年。
太阳的侵害已用完，导致太阳变成红巨星，太阳年龄正式进入老年期。
白矮星不一定会变成黑矮星的吧（没记错的话）
我被发现了，必须重操旧业了，再次躲进冷冻仓吧，但我觉得这次，没人会来唤醒我了
ohohohohohh牛逼
宇宙之外是细胞
多么渺小的人类
我来过
jio记
2020 5月29日
我的世界可能存在宇宙的奥秘
我可以活到这里
平行宇宙
2020年5月
150兆年
八兆年
我活过
人类早没了
2021
平行宇宙
我们人类能为将来做什么吗？重要的是现在保护地球的意识还没有增强，你们真的没有这份心思吗
宇宙不发光，没有意义的物质，又能留下什么呢
无数数的空间，像无数数的颗粒，每个颗粒不一定是圆的，但这些物质都将毁灭？即使地球毁了，宇宙能不能不毁呢
进度条
我没了
进度条告诉我们，事情没有这么简单
2020留下足记，证明我来过
无影兄，战之大道
害怕
2020 5 26
然后重新诞生生命
现在这个下面的数字代表多少亿亿年
为何存在
冷寂虚空
熵增永不停歇
进度条表示：事情没那么简单
留下足迹
看不见我
进度条还在
可能现在的一切，在以前发生过吧
说好的能量守恒呢
我又来了，2020/5.25
2020/5/24
留足――2020
我们是宇宙队产物即是尘埃
最后回归原点，一切重新开始
最终会达到熵最大值
2020524
爱你，宇宙（づ￣3￣）づ╭❤～
可能在我们之前也有一个宇宙冷却了
流浪地球、、
一切所谓的消失不过是新的开始
2077年了，你们还在吗
危
2020/5/23
我希望我能见证死亡
害怕
好压抑，草
一切或许……，都将重新开始……
