这书演的真好
游戏本电源不带？（狗头））
lbwnb！！！！！！
同款！
在做梦
笑死我了
LBWNB
lbw， NB
草（一种植物）怎么是附中了
真实！！！
南师附中哈哈哈哈
Lbwnb 可还行
和我的书一模一样哈哈哈
火钳刘明
哈哈哈哈哈
LBWNB
哈哈哈哈迷惑
lbwnb
前方4保1
笔修的
世界唯一一所吧
这熟悉的三维设计
LBWNB
人   家
真实
lbwnb
？？？？？
鬼刀
三维设计太真实了
哈哈哈哈哈哈
夏洛特烦恼？
lbwnb
想法很好，但不一定行
看到一台华硕
真实
好尬
i7跟b450  xswl
同款书包
清水亭？
戴尔打钱
我的天 哈哈哈
三维设计
7酱我笑了777777
主要演演技不太行
小Faker
转场好评。
说初中的你怕不是初中都没上过
东南大学最具影响力up主？
乍一看卧槽姿态那个弔人
惠普！
lynb
后面条幅
手下留情
很快就枯燥了吧
步步高
做梦
zlh？
王者地图太出戏了吧
南师附中？
梦还没醒
笑场了
喊的不是很激动有点假啊
单杀Faker
步步高哈哈哈
高考考电竞也不是全部考LOL，光是手速估计淘汰多少人
三维太真实了
有机化学基本！
大家都是列文虎克
同款壁纸
哈哈哈桃色陷阱来的
我想说初中高中都有mder
上个3950x不香吗
火钳刘明
我靠你是二中的吧 bbg和swsj都有
脸都不洗了哈哈
封面可还行
知乎同款
回家打游戏，上课就睡觉，作业不完成，上学还迟到
步步高！！！
卢本伟哈哈哈哈
南师附中江宁分校？
lbwnb
如果考电竞一定行？
lbwnb
？？？
王总好
王总好
拿苹果本打游戏哈哈哈哈哈哈
姿态？
火钳刘明
LBWNB
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
三维设计，草
哈哈哈哈哈乌兹nb
lbwnb
很快就不行了
步步高，我用的就是这个
步步高！大一轮！蓝皮！
后面那个拿mac打lol认真的吗2333
一点反抗都没有嘛？
。。。我们高中5.50要起。。。6.20早读。。
黑板右边
你再骂！
我记得有个小说也是这样写的
这才叫转场
我靠，七点上课吗，这么好？
经典剧情
哈哈哈
哈哈
卧槽步步高
总结大会的总字上边是谁的照片？
edg
edg
edg
我唯一一个王者芜湖
EDG
你可能不知道那帮职业的有多可怕，万中无一，很难的啦
去参加青训海选呗
可口永远的神
我一个学长就叫李远吗。。。
起飞
做梦了
有爽文那味了
？
王总好
哈哈哈
lbwnb
《去学校好好打游戏》
王总好！！！！！！！！！
神tm后面少浪一波合理崩撤专溜
这不初中生物么
还没醒？
这梦做的
李哥
BGM下我无敌
总比分14-14，他死了19次，哈哈
怎么看着有点像华晨宇呢
害怕
阿鲁巴
大制作
9900你太落后了
牛批牛批
戴尔打钱了吗，
这书就离谱
芜湖哈哈哈哈哈哈哈哈哈哈哈哈哈
好专场
卧槽，吃瓜吃到自己学校
lbwnb
可恶我白银
hhhhhh
茄子
没带充电器可糟了
放心吧，考电竞依旧被人吊打
lbwnb
lbwnb
 BGM：膨胀
青训了解一下？
这个三维设计，我的脑壳啊
edg
maybe？
不对劲
哈哈哈
啊这
草
起飞
E            D             G
同款哎！
哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈
卢本伟牛逼 
钻石不至于吧QAQ
钻石还最高？
苹果打游戏有一手
海琴烟！！！
大比分14比14，却死了19次
《预判》
死亡圣器
我靠三维设计和步步高哈哈哈
哈哈哈哈
不是你想要的生活
三维设计。。。。
星耀滚出去？
南师附中？
约德尔很简单……
大司马就离谱
合理崩撤卖溜？
联想拯救者讲究
我尼玛傻了吧
卢姥爷在世
老剑指了
钻石仔
钻石你无敌个屁
14vs14？？你却死了19次！？！
想成王者的请出去？
摊牌了，我是钻一
一场梦。
好像是东南大学去南师附中拍的
我高中的时候才铂金
14-14的总比分，战绩是0-19?
LBWNB！！！
哈哈
王什么凯？？？
穿越？？？
卢本伟NB哈哈哈
步步高，一生之敌
自   习   室
考电竞你也不行
666
lbwnb
啊q欧儿~
全都是梗
野怪杀的？
步步高我靠
如果考电竞我可能早出去混社会了
卢本伟牛逼
要考电竞我应该也行，玩LOL没多久我就能一局五杀两次
l bwn b
好多职业都卡在钻石好吧~_~
钻石哈哈
上面的农药不要刷存在感了
?
峡谷
怕不是高考结束了
电竞跟旭旭宝宝有啥关系
还好我是白银
李总好
人机0—15路过
人家是英雄联盟不是王者荣耀 星耀那个你没事吧
自习课
送塔了？
7777777
哈利波特！死圣！
先提前说明，这是东南大学电视台去南师附中江宁分校拍的唷
4396
同款拯救者Y7000哈哈哈哈哈
联盟的钻石可不是农药的钻石能比的
EDG！！
一个钻石就这么得瑟。
砖石都起飞了？
哈哈啊哈哈哈
想多了，按比例，职业选手的难度比985高
李总好
大师王者：你确定？
眼镜100亿度!
步步高 草
啊 Q 欧儿~~
戴尔花钱了吧哈哈
应该是送塔了 送塔总比分不变的
就这点书？不合理
老edg了
lbwnb￼
这么晚？不合理
不用LOL地图？
五五开我笑了
我想起来小时候看的一篇想象作文∀・
ning？？？
这又是生物又是化学的.....不擦黑板，罚！嘿嘿！
谭？
考电竞就行了嘛？你们有几个人能排到全区前几
碳酸钙加盐酸反应生成，氯化钙，水二氧化碳。
三维设计
i7 上b450认真的吗，大力出奇迹
盲猜结局是做梦
tjh牛逼
lbwnb
一看就知道是梦
tjh好帅！
广东口音溢出了屏幕
同款笔记本
娜姐本色出演
逆天
？？？，名字也是张晨旭的我有点受宠若惊
弹幕好强，这就认出来了
泽塔奥特曼！！
lbwnb！
左二369
左二369？
？？
暴走漫画做过这题材的短视频，电竞特训那个
牛逼，谭景浩
tjh牛逼
这里有个李远，有个歌手叫李志，奈何我叫李志远
职业选手很多都卡在钻石
真黑人问号脸哈哈哈哈哈哈哈哈嗝
旭哥nb！娜姐nb！
妙啊哈哈哈哈哈哈
lol钻石很强了好吧，人数比例很低的
tjh牛逼！！！
旭哥牛逼
可以
RNG
草
不对，还有英雄平衡性调整呢，比如剑圣大招带真伤
送塔了？秀逗笑死了
如果考电竞我感觉我也够呛……
守塔一补刀就离谱
乔哥牛逼
泽塔奥特曼
三维设计和步步高太真实了
步步高
送塔啊
如果考电竞我就该去搬砖了
大一轮
LBWNB!!
剑指杯哈哈哈哈
王俊凯玩的那是真还行
天还亮着，不真实
马老师墙上
墙上UZI
无敌！
黄旭东 茄子
被塔杀或是野怪杀了吧
迷惑发言
lbwnb
我大初心者（不是
Rng
屋子不行
钻石就这么嘚瑟
全职法师直呼内行
这都行
Faker
基因分离定律
阴阳怪气妈
姿态哈哈哈哈
草草草三维设计
LBWNB
墙上金牌讲师
lbwnb哈哈哈
我Faker这么没排面吗
张晨旭牛逼
？？？？
哈哈哈哈哈哈哈
lbwnb
好帅！
芜湖～起飞咯
男儿帅
送塔送了起码5次
暴走漫画之前做过这个类型
RNG瞩目
当年2000左右的确实牛壁那时候钻石以上就是王者
哈哈哈哈
？？？娜姐演妈哈哈哈哈
清华那个我也是。我觉得后面这条说得对。
有钻儿啊
可怕
噩梦
我恐惧
我去败家之眼，土豪啊！
lbwnb
马老师yyds
横幅牛掰
至少送塔五次
前面的你能上砖石，，，打农药起码百星，，这根本没有可比性
114：514秒（时长幻视
王毓洲
我这成绩考过一次年级第一，lol王者段位……
别人家的孩子
又做梦了
。
啊，q欧儿
太经典了，以前我也这样
哈哈哈哈哈哈哈哈
这是高中的
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
大坑比
14/14是怎么死19次的
一脸不削的样子
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
0-19可还行？？？？
哈哈哈哈哈哈哈哈哈哈哈哈
刚刚提莫
tjh0.0
我看到死亡圣器了
盖亚
我爸是这老师诶
那必须是Faker
哈哈哈哈
哈哈哈哈
哈哈哈
右边这个黑板很任性啊!LBWNB
英雄联盟钻石已经挺强了
男主我好爱
本来想以普通人的身份跟你们相处，没想到换来的竟然是疏远
浩哥哥
z！
不是，英雄联盟砖石难多了好吧，我几年了都还在白银的渣渣
哈哈哈哈哈哈哈哈哈
LBWNB瞩目，哈哈哈
讲真的电竞比高考难多了
哈哈哈哈哈
hi哈哈哈哈哈哈哈哈哈
约德尔
步步高爱了爱了
LBWNB
手游moba中我杀天杀地，电脑moba中我技能不分
???i7上b450就很凎。
三维设计太真实了吧
同款rog
卢本伟牛逼！！！！
何建桥nb
lbwnb哈哈哈哈哈
B
草三维设计太真了
说广东的那个别走！！！
谭景浩牛逼
做梦吧
哈哈哈
myhnb
联盟钻石很NB的
你再骂？
你只是玩游戏而已，电竞不等于游戏
4396哈哈哈哈
169
169d
上节课老师忘擦黑板了
黑板上内容太简单了吧？
张晨旭nb！
lbwnb
张晨旭nb！
张晨旭nb！
旭哥5杀！
LBWNB！
4396
化学学选三的，看到选五真开心
全体起立
白金率哈哈
闪现迁坟
Shy哥
卧槽？南师附中？
这很赛博朋克
钻石都无敌了
哇突然认出那个是娜姐
自信
哈哈哈哈哈
哈哈哈
参加海选青训一步一步来
lbwnb
几
哈哈哈
哈哈哈哈哈哈哈哈哈哈哈
牛蛙
三维设计太
不把翻山队放在眼里？
？
拯救者打钱
问题来了他止步不前一定没好下场
王！总！好！
同款r7000p
恭喜你，发现了宝藏
印度风！
败家之眼打钱
lbwnb
666
谭总好哈哈哈哈
太真实了
Macbook？苹果能打游戏？？
LBWNB
三维哦，好
lbwnb
这是基因分离三定律啊
三维设计……
芜湖
上热门了
分校nb
上二中
鼠标键盘都不带？
我们是怪异君（幻听）
哈哈哈哈哈哈哈哈哈
想当职业选手，说轻点就跟考清华北大一样，说重点。。。
真实
√
myh hahahahahaha
ig
lbwnb
我的天赋在符文页上
代入感很强，已经开始生气了
旁白是某幻？
谭景浩牛逼！
哈哈哈哈哈哈哈
车了车了
要是高考是电竞，北大清华秒杀世界
哈哈哈哈哈哈
几十亿人里只有一个爱因斯坦，几十万人能有几个电竞选手
为什么你不放大招啊
再反转
马老师NB
青训你就不一定熬得住
《无敌》
没带鼠标，gg
黑哥！
并不是，我看他页面没好好打游戏
估计会被反超
哆啦a梦的，如果电话亭。
单杀faker
洲哥帅
给贝贝姐打call
我们历史老师叫李远
三维设计，同款
乌兹永远滴神
何健桥太强了！俩币都给你了！
哈哈哈哈哈哈哈哈哈哈
说维设计。。。。
lbwnb
哈哈哈哈哈哈哈哈hi
myhnb
离谱
lbwnb
王自健和王俊凯的结合体吗哈哈哈哈哈哈哈哈哈哈
来捧场
从现在开始我要起飞了
秒啊
y7000p
生化不分家
太草了
卢本伟牛逼
鼠标呢
4396
真实
前面提大多数人不上美术的，有很多人天生就造型基础不行，你把美术想的太简单了
三维设计？
？？？
泽塔奥特曼
lbwnb
那不行
这和那个小孩子打王者那个教育片很像
那TM就我了呗 黄金1上不去
L BW NB？
东大牛逼
阴阳怪气来了
三维设计，满满的回忆
169天！
倒回来看小胖
Clearlove
靠，这几本我全都有
单杀Faker
芜湖大司马细节
后面的玩家国度亮眼
步步高真实
卢本伟笑死我了
可以理解为梦境
戴尔打钱
无   敌
哈迷发现重点！
淀粉狂怒
我们五点半到班
厂长！
他们说隔壁班铂金率多少，应该就是铂金相当于现在考重本(//∇//)
行个屁  你行不用考直接打职业去了都 别感觉自己多厉害了
zcxnb
？？？
就钻石还打职业？
全职法师直呼内行
我初2都钻一了
我是谁，我在哪，我在干嘛
三维设计好评
我初四王者。。
剑指杯可还行？哈哈哈
马老c
盲猜迟到
我giao？？爱了爱了
lbwnb
穿越了？还不赶紧吻校花，烧窗帘，打校长？？
啥时候醒啊
香锅当一手钻石打野不杀穿王者？
香锅当一手钻石打野不杀穿王者？
m
剑指s20!翻山s21!
4396
Z！
乌兹！草，太草了
三维设计永远滴神
myhnb
三维设计永远滴神
老谭
东大NB!学长NB!
Intel的U和AMD的板磨豆腐嘛
我坐最后一桌 我青铜
张晨旭nb！
三维设计大草
《吴迪》
lbwnb
苹果笔记本打游戏？？？？
二连桶！
还有人用mac打游戏吗？
夏洛特烦恼
李总好
RNG!
泪目
黑板写了lbwnb哈哈哈哈
火钳刘明
坐标之力
起飞！
《步步高》真实！！！
死了啦，你害的啦
草，三维设计
4396
钻石能有这待遇？怎么着也得整个大师吧
16上王者真以为容易？
《吴迪》
哈哈哈
蓝皮！
哈？
一看就知道老皇杂了
《剑指》
好家伙 RNG
faker
剑指好家伙
洲哥妈妈爱你
单点uzi
为什么黑板上又是生物，又是化学
啊这 把LOL基因遗传给自己后代？
哈哈哈哈哈真别人家的孩子
为什么是乌兹?黑幕！
66666
夸张是一种手法
哈哈哈哈哈哈枣子
试试2倍
不错不错
LBW牛逼
好真实
芜湖飞飞飞飞！！！！
香锅也是钻石吧
钻石仔也能做职业梦了？
黑人问号❓hh
你们先去看看职业选手的系统课程再来想想自己是不是那块料
lbwnb
三维设计！！！！
i7和b450m就离谱
tjh牛逼
南师附中？？！
《和平》
这还印度风？这叫约德尔调
《膨胀》
想成为职业赛手也会很辛苦不是你技术好就行的
步步高我的妈
Doinb！
lbwnb
握草大本和小本三维设计啊啊啊啊青春回来了
4396
电源，鼠标键盘都不带的吗？
三维哈哈哈哈哈哈哈哈哈哈哈哈
快拉倒吧
好家伙，R7000P
我王者早上钻了，LOL卡了四年白银
二逼
盖好
哈哈哈
哦斯
三维设计步步高高三必备
谭景浩牛批啊
单杀uzi
LBWNB！
？？？……
4396
lbwnb
????
lbw nb！
梦醒了
毕导
都什么家庭啊？？？
针不戳～
四人抬着一个UZI输出哈哈哈
打职业难度清华北大还难，我说的是首发
以后高考电竞可能跟艺考一样难。。。
上一个无敌的到现在还没死
步步高瞩目
lbwnb哈哈哈
lbwnb哈哈哈
被塔和小兵打死的呗
这才叫专业
这个转场像国外那个明星发明的抖音模板转场，帅
rng 泪目了
别骂了别骂了
拿mac
阿鲁巴可以的
厉害了
？？
哈哈哈哈哈哈
jkynb
败家之眼太牛了吧
myh：嫌弃
黑板上面不就是LOL地图？
myh这个表情也太入戏了吧哈哈哈哈哈哈
lbwnb
4396
弹幕说钻石怎么样的要么是打王者的要么就是黄金以下
这个转场牛
？？？？？
三维设计，卧槽！！！！！！！
tjh哈哈哈哈哈哈
现在联盟有钻五？
太草了
湖人总冠军！！！！！！！！！！！！！
lbwnb
夏洛特烦恼
马德算伤害是什么操作
哈哈哈哈哈哈哈
拯救者打钱
同一个世界同一个妈
这个转场不错
很好啊
别骂了，黄金1打不上去
考什么就卷什么，电竞一样卷
很好啊wo ye shi
啊这
啊q呕
q呕
南师附中？！
耳机崩皮了
这么弱鸡的考试，直接全国线下赛，前三百人毕业
我大师都还是个弟弟
哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
必修一的埋了吧这是生物必修二
初中钻石
？？？？？？？
何建桥强
y7000p！！！
lbwnb
lbwnb
孟德尔豌豆杂交实验
我人傻了
uzi？
lbwnb
败家牛逼
我还是选择念书
这首歌唱完了，进度条还长，要坏起来了
lbwnb
4396
你再骂！
火钳刘明
我可能没有北大清华，但应该有个省前50（bushi
他后面那个人用的是苹果电脑怎么玩游戏啊编剧有点常识啊
东大nb！！
我大师  woc
edg出来挨打
代入感好强，已经开始烦了
张晨旭牛逼！
暂停看介绍
张晨旭牛逼！
张晨旭牛逼！
被野怪打死
东大NB
欢迎报考东南大学
啊 Q欧尔
???
败家之眼  秀啊
真实
生物哈哈哈
自交杂合子 伴x 
？
拯救者
我也有步步高三维设计
鼠标，键盘，耳机，充电器都没带
我跟飞科五五开
q呕儿
高三了，时间少，还能上钻很强了
旭旭宝宝？
好队友
lbw哈哈哈
真实
woc
钻石仔不是有手就行？
哈哈哈哈哈哈哈哈哈哈
复活石，影身衣，老魔杖都是我的，嘿嘿嘿（伏地魔笑声）
《你再骂》
楼主牛逼！
楼主牛逼！
楼主牛逼！
哈哈哈哈哈哈啊哈哈哈哈哈哈
我宗师都打不了职业
刚刚王者的大哥能教教我吗，那个区的，我卡黄金1年了
钻石不至于不至于
多少电竞选手都半路退役升学去了
总结大会
哦斯！我会努力的！
tuf不如rog全家桶
爱因斯坦不是几十亿，那是上百年的人堆出来的，哪有几十亿这么点
芜湖大司马
woc后面NB认真的吗
lbwnb
太真实了哈哈哈哈
生物课？
五五开
Q欧儿
因为有一个老师不让擦黑板
步步高杀我
声音有点像姿态
lbwnb
神TMD高三翻山剑指六月
确实，这应该是夸张
英雄联盟必修之守塔与对线
7777
卢本伟牛逼
多想一层， 分数只高不低。少浪一波，合理蹦撤卖溜
卢本伟牛壁！→→→→→→→→→→→→→→→→
0/19你退学吧
《有机化学基础》
太懈怠了，止步不前了
王俊凯确实是剑指队的粉丝 符合
。
线没拿
tjhNB！
娜姐流批
0-19，玩的亚索？
学霸反杀开始
孟德尔yyds
峡谷教学？？？
眼镜妹子漂亮
我寻思着大家看到全校第一也妹人去要签名啊
DWG：喵喵喵
对手edg吗
LBWNB
起飞
Maybe?
附中校服不错不错
三维步步高hhh，等下居然没有王后雄吗！
学生能打到钻石
？？哈哈哈哈哈 
桌面鬼刀好评
拯救者哈哈
LBWNB
lbwnb
计算伤害不算数学题吗
三维设计！
好家伙
步步高 同款 整挺好
步步高
卧槽
lbwnb
lbwnb
还钻石不至于，你什么段位啊？
这是银川一中吗？
左边的小姐姐好好看！！！
Lbwnb!
优先择偶权
我跟污渍五五开
单杀lbw
niubi
是我本人了
可恶，我也是
三个月单杀飞科儿
真以为联盟钻石和王者一样水?
4396
哈哈哈哈哈哈哈
电竞给人带来的错觉:考电竞我一定行
卧槽，个个都是土豪
lbwnb哈哈哈哈哈哈
ldl又有多少千分王者
海帕母铁鸡
走读?
步步高哈哈哈
送塔？
三维设计，我丢
啊Q歐兒
我们输了，我们又输了
步步高居然大家都在用
做梦呢估计
当游戏变成一种硬指标时，钻石都是无法企及的高度
弔人
乆乇
败家之眼！
吴迪
热门通知书
是东大电视台借南师附中拍哒
年度爽番
LBWNB！！
败家之眼
东南大学出息了
死了都是你害的
表白刘纤纤！！！
z！！！！！！
泽塔奥特曼！！！
z！！！
泽塔奥特曼！！
哦斯！！！
哦斯！！！！
哦斯！！
三维设计永远滴神
wlop的图哈哈哈哈
LBWNB
三维设计……草
同款拯救者
4396！！！！！
lbwnb
暗示EDG？
败家
rngnb
Lbwnb
啊这。。。啊！！这！？！
草，今天语文考试文言文主角就叫李远
rng粉丝nb
RNGnb
看到RNG我哭了
被野怪打死至少5次
我卡在黑铁段位
有意思
墙上挂的是搓澡的Uzi笑死老子
暴走大事件？？？
后排拿macbook的真的是来电竞的吗
旭旭宝宝笑死
哈哈哈哈哈哈
暴走大事件？
太真实了
椭圆哈哈哈哈
这熟悉的步步高
2020年了 怪尬的
东南大学排面！！
钻石不至于吧，我们班都好几个LOL钻石
169
啊Q
不，你不行
啥，这是初二?不是高一的吗？
背景生物瞩目
lbwnb
lbwnb
Y7000
lbwnb
黑板上是uzi春季赛夺冠的照片
说的好经典
高考还敢浪也是离谱
三维设计真实
做梦吧！
同款壁纸！
阴间lbw
南师附中江宁分校
火钳刘明
单杀faker
“竞存高中小faker ”
草刷一堆刷哦斯奥特曼的xswl
这书，大制作啊
ig牛逼
q呕
演技可以呀
在下云顶钻石
火钳刘明
哈哈哈哈哈
哈哈啊哈哈哈
考电竞怕是准备失学吧
要是考试考电竞，我就废废了。
4396
；
学霸开始了
？？
我先来笑
今天去图书馆路上直接碰到李远看 起飞
edg ：喵喵喵
Edg直呼内行
lbwnb
张伟
我codol华北三十二强
瞧不起我钻一打野鞋皇？
当时还没有大师宗师的时候 钻石确实很牛逼
全体起立!
针针！
卢本伟：我与Faker五五开
表白娜姐
全体起立！！
流动红旗哈哈哈
三维设计hhh
计算机专业必备
哈哈哈哈哈哈
王自凯哈哈哈
电竞也不行啊，人太少了，大伙都考恐怕都没有faker什么事了
我东大排面！！
步步高可还行
三维设计，根本不需要解析
三维设计我笑死
黄旭东我淦
大制作
太本质了
我大E了啊，没有闪
@暴走漫画
哈哈哈哈
剑指六月哈哈哈哈哈哈哈哈哈
？？？？
野怪，小兵，防御塔
IG海报好评
清水亭！！！！！！！南京市江宁区清水亭中学
我家旁边！！！！
lbwmb
真就以为电竞只有lol？
a
起飞
lbwnb
可能都没人知道
梦里啥都有
7000P排面
lbwnb
东南大学nbnbnbnbb
东南大学是985211朋友们 别猜了
牛逼，开头就这多梗
真实
ig海报
孟德尔，梦回高中
真实
哈哈哈
想屁吃
弹幕里一堆王者吧，xu笑死我了
？
步步高泪目
4396哈哈哈
lbwnb
讽刺
娜姐？
网吧=自习室
哈哈哈
其实在LOL钻石依旧是黄金白银遥不可及的梦，
初二现在也简单了解些孟德尔实验的
也不一定行
起飞！
哈哈哈 物资
0/19/2
钻石不至于不至于
这梦做的
4397
果然梦里啥都有
麻烦把电源也塞包里谢谢
？我直接毕业
出bug了 电竞是高考项目还得自己带电脑？
三维设计太真实了
农批能不能别来碰瓷
钻石以上比例百分之二左右
不是王者起码是大师吧
全职法师直呼内行
戴尔给了多少钱。。我苹果给10倍。多弄几台
发展哈哈哈
如果真的是比说唱，我真的强你好几倍
i
lbwnb
英特尔的cpu装amd的主板（世界名画）
好朋友
？？？？
游标卡尺的使用哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
UZI：想成为游戏的主角吗，打败我吧
我去 这老师是我小学同学
如果高考lol，钻石竞争会比现在大多少你想过吗
好家伙一群人当这王者荣耀？联盟的钻石又不是白菜
1
华硕TUF B450M PRO GAMING
真实
我已经慌了
全体起立
游戏是谁，为什么要打他
lbwnb
bgm膨胀
靠，最讨厌这种话了
侮辱拖拉慢～贼它！
眉笔？
打游戏当主业全班就一个钻石？
果然火了
大制作
我峡谷钻3
英雄联盟的钻石以上玩家仅有1.5%左右，不是人均王者的农药
edg10000经济双龙会被翻盘
现在电竞发展还是不成熟，毕竟游戏公司主要为了赚钱而不是竞技
lbwnb
全体起立
我现在还没上黄金
我怎么看到了乌兹
UZI
苹果现在可以打lol了！
mac下载start就能打lol
就是考电竞，大家为了得分还是会努力 不喜欢可能也会拼命学，还拿高分
钻石好上认真的吗？不会是农批吧
热知识，许多职业选手都是钻石，看不起钻石的不会以为lol是贴膜吧
相对来说这个钻石不是普通钻石，是专业玩家里面的钻石呢
哈哈哈这就是我打电话给我哥们爸麻德状态
厂长！简自豪！
我初二那年铂金也这待遇，那年s3
求bgm
lbwnb
LOL钻石还不高?
都别说了，王者在大学呢
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
Q欧儿
LBWNB
暗示edg不行
像这样的学生老师都会把他安排到角落里
如果考电竞让你用函数算伤害算概率算装备效用你还喜欢吗
还搁这荣耀王者呢臭弟弟，联盟跟王者可不一样
当年吊打钻一的时候都没这待遇
我就是2班的
标语草
玩的人变多了，所以段位难上了
单杀飞嗝儿
Faker
飞科儿
lbwnb
lbwnb
m
钻石就能无敌了吗哈哈哈
？？？？？？？
小faker
啊啊啊啊啊哈哈哈呵呵呵
lbwnb
欢迎报考中国传媒大学电子竞技专业
