注：肉眼无效果，只能视频
不错，你给我火
好诶！是King Gnu的《BOY》！！
np
你就是死侍？
反转是什么效果呢？
洗衣机
妙啊。。。
量产
调速只跟控制方法相关
可可爱爱
为什么……的原因，语病了
可爱啊
厉害
脱发我会
螺旋式下降
厉害
害怕害怕
牛逼
洗脑明示
可可爱爱
僕の戦争 
第一个有钱，第二个有闲
僕の戦争 
难道我看的不是0.2～0.8秒吗？
堕姬（确信）
！！！！！
一健三联永动机
牛逼
给你三连！
豌豆射手
youle
太可爱了吧这也
所以其实是这电机的广告？
眨眼补帧是吧
太可爱了！！！！！
下次一定
现在你就能整出这种活，百万粉我还敢想？
细节拉满
可以可以
我还是没明白，裸眼三弟呢？
好看的啊
谢谢
泠鸢！
卧槽？
肯尼迪？
可可爱爱没有脑袋
吉鸣（doge）
摄像机拍的，人眼看不出来
一键三连生产机
？
你倒放一个啊
我超，暴投男孩
哇！有趣！
、
暂停成功
太可爱了吧
好活，当赏
火钳刘明
一人ぼっちにさせないでよ~
这是回收机吧
不，首先我要有很多波吉
666
还蛮有趣的
极限手速！！！
老式日光灯管也可以吧
步进电机
又没暂停成功
3ds表示 没觉得有3d效果
这次一定
我以为你要光剑变身
哇塞给币
无法想象这货居然是我同事
卧槽
？？？？
心脏骤停
天呐！！！！
试试反转吧
哇噻！！
《做成了下面的模型》（doge
量产
优秀
脑弹儿
太可爱了
《币又出来了》
可爱
《进击的波吉》
6千人选择了白嫖
艾伦沃克儿减速电机
这个牛批了
绊此生 爱相随
这也太强了
没有币了，点个赞吧
秀儿
我留这币有何用，投了
脱发？
机械系学生DNA动了
不错诶
好可爱好厉害！
好可爱啊啊啊awsl
牛b！
茶杯头即视感！
666
说语病的那个，这是口语又不是书面语....而且这又不是视频的关键点
up主这也太像小贱贱了哈哈哈
啥是一键三连?
看得出你有很多三连，就不需要我们的了吧
这叫消帧(doge)
魔法？
这种以前在迪斯尼有看过
币应该沿着圆的切线飞出(doge)
在屏幕里跟摄像机有关
鸟！！！
nb
喜欢
NB
这不给他到放一个
 (-^〇^-) 
暂停成功
暂停成功
会玩
好耶，截到了绊爱
他吐了！
这就是三连加工厂
不愧是你
所以武侠之类里面说的在人眼留下残影是做不到的嘛
好，好强
人眼所能观察到的帧率就是24吧
卧槽，要火
这个还不得行，可以上伺服，贼啦好用
爱酱！！
伺服电机
冻鸟
三连啦
旋涂仪可以，转速很稳定
肉眼看不出来，应该和摄像机的拍摄速度相关
我直接拉到视频最后（doge）
好厉害
冷鸟！
吴松磊幻视
TO BE
耶
倒放岂不就是日内瓦退钱（手动狗头）
痛失韩国市场/doge/
现在关注就成老粉了
以为整活，原来是科普
拿模型你跟我谈3D效果？
点与线的结合
我想到了灵能100%的OP
求模型文件
好可爱！！！太棒啦！！！
投币了！太可爱了，up用心了
你都量产了我就不投了
白嫖失败
可爱
星影
你打印机的钱有了
有一个方法能够让人总有这个帧率，就是右手食指中指交替按压，放置到眼前
什么补帧，人眼本身帧数就很高了，眨眼是为了打断连续性，应该是抽帧才对
厉害
看着想睡觉
卧槽还有磁悬浮
想要
这次一定
暂停成功
0.
哈哈
绝
哈哈哈哈
我靠
眨眼补帧哈哈哈哈哈哈哈
卧槽
给你给你高质量的视频就该有三连（吃瓜）
好厉害
握草。。。。？
伺服电机 步进电机都行啊
我刚才试了一下，现在人已经在医院 
茶杯头的feel出来了~~~
脱发哈哈哈
暗示投币
好可爱啊！
量产！
牛逼
这是眨眼抽帧吧。。。。
雀氏蟀
眨眼掉帧
好可爱啊
三连永动
步进电机也可以啊
弄几个齿轮组合一下，再装个摇把应该可以。。。
甲方思维
关注了！
开幕雷击
泠鸢！！！
拼手速
好活当赏
地鸣
地鸣？！
这怎么做到的(・o・)
币源源不断的生产出来，好在不是人民币
那我跳到最后
泠鸢！！！！
泠鸢yousa！
一边看一边咯咯笑，哈哈哈哈哈哈
开幕雷击，这样睿智东西不要放出来好吧
花Q
制作雕塑或者瓷器的转盘呢
确实牛逼
哈哈哈截到了
升级亿下
盲猜只有拍成视频才能看到效果？
量产量产
火钳刘明
火钳刘明
好精致
好可爱！
地鸣是吧
不李姐
弄个pwm控制转速吧
必须三连
牛啊
量产也没啥用…这个是摄像机才能拍出来的效果呀
啊这
这句话看不懂了，
pwm？
黑洞在吞噬我的硬币
疯狂洒币？谢谢老板
可恶！是幻术吗！
DD马达
他在动啊，不是在转圈吗（doge
头痛，这UP像我骗了我钱的前任，完全没发集中注意力
卧槽
可恶、、是什么时候中的幻术
你币有了
晚安，爱酱
看得出你有很多三连，就不需要我们的了吧
嗯？！！可恶 是幻术
高能
好可爱
弹幕里的别说了，要是会点电子技术，他能至于连步进电机搞不出来吗，至于查这些资料吗，能写驱动吗
一个伺服不就搞定了？
4块淘宝弄个BLDC或者PMSM
我是来听科普的吗？
泠鸢！！！
为什么只能投两个币啊啊啊啊
直接伺服电机吧
旋转涂布机就可以
痛失韩国观众
boy
鸟鸟鸟
来个印票子的吧，我看着爽一下
做成了下面的模型
赞同
无刷电机
鸟蛋狂喜！
鸟蛋狂喜！
我也三连一下
火钳刘明
大佬！
爱酱呜呜呜呜
牛壁
刚给我家抽油烟机换了一个这种电机
好可爱
波吉倒着念
卧槽？
牛皮
快门
上市吧
伺服电机
有点像定格动画
哈哈哈哈哈哈哈哈哈
倒放岂不是……[doge]
这不是风扇么
这不是风扇么
艾伦走路电机太草了
哈哈萌萌哒
拆个洗衣机
暂停成功
暂停成功X2
这个东西让我想到了兔子工厂！
暗示点赞
哈哈哈
魔法！！一定是魔法
波吉好可爱
直接上架
小电视吐了
第一个 要有眼睛
牛逼
干接不到
长得的好像小贱贱啊
害怕害怕
因为24帧/秒以上才是全动画
yee
卡点了哈哈哈哈
我测了一下，Up放图片的时间其实不到0.1，0.06左右
伺服电机
论三连的制作过程
暂停失败
这是什么阵法？！
泠鸢
什么吉波玩意（doge）
？
烂尾到气死人
？？
你要火
第2个一次过（难道我手速快？）
建议倒放
大佬
连字幕都模糊了
日进斗币！
火钳刘明
离心机，嘿嘿
绊爱精准推送
可以
乌拉乌拉减速电机
冷鸟！！！！
步进电机可以吗？
并且显示
up快脱衣服变身啊啊啊啊！！！！
伺服电机 转速闭环控制
真人倒模？
想看看你下面的模型
收割机
不不不。你以为是旋转喷出硬币，实质上想展示的效果是烟囱静止直喷硬币，所以没错
太强了
火钳刘明
好可爱哇哈哈哈哈哈
666666
湖南卫视（bushi）
厉害
这个角度看UP主好像瑞安·雷诺兹啊哈哈哈哈哈哈，死侍既视感
@裤子大恶魔
@裤子大恶魔
太牛逼了
好厉害
真的像贱贱
妙啊
定格动画
有点恶心，想吐
蜡笔小新《复制人》
动景效应
6666666
???????????????????????
眼见未必为实
洗衣机怎么样
火钳刘明
be吉我笑死
《豌豆射手》
哇塞！
UP可以自己生产硬币 所以我们不用投了
好好好
硬币收割机哈哈哈
整个电机控制器就可以了
什么玩意儿
？？？？？？？？？？？？？？？？？？？？？？？？
0.5倍速食用，不一样的世界
残影
三连啦！！辛苦！
自我欺骗
步进电机吧
哈哈哈哈哈哈哈哈哈哈
明明是美乐蒂
24帧？
哦
放慢是个好东西
掉san
发出小猫的声音
我币没了
0.78 秒眩晕
暂停成功
暂停成功
牛蛙
给你币
有没有人和我一样想到了电风扇？
水管亏哭了
鸟！！！
被我的屏幕骗了
无限月读
直流电机
卧槽
无刷电机
不好，中幻术了
好棒！
核动力
无限月读
这一定是幻觉
好神奇，给你点赞投币
晚安
哇！
这次一定
好棒！！！
我已经三连了
控制算法了解一下
这已经不能简单的用“离谱”来解释了
火钳刘明
地狱绘图
印钱呢？
好有趣啊
自问自答
投了，投了
好可爱的小电视
火钳刘明
我也太幸运了，1000＋人陪我看
太绝了
创意真好
六老师直呼内行
好厉害！！！
哈
同款笔耶
ff
肉眼是不是看不到这种效果
有一种东西叫做延时摄影
火钳刘明
爱酱，我的爱酱
太牛啦！
散热器可还行
动画就是这个原理
太强了！！
不用步进减速电机吗
你币有了
高质量的视频就活该有币
高质量的视频就活该有币
没看懂
好可爱啊
你的币有了
好可爱
这个离心配平了
"兄弟,KT板+铜丝切割一下广告店再打印张不干胶"
想到了清朝的钟表
视觉暂留现象
相机快门速度和木偶转动的频率相符了。
疯狂的眨眼
靠，动画人的DNA动力
肉眼看不出来的
整个电调加无刷很容易就搞定了吧
十影葬！不对！认真技反复横跳！
请问这个视频和裸眼3D沾边吗
血书求个灵能百分百op里的那个
早期动画片原理？
小电视它yue了
自动麻将机
为什么我想到的是麻将机
突然没用弹幕了
中术了
什么美乐帝
晚安
豌豆射手
放屁，他一直在转
我超
好棒呀
好家伙把吞的币吐出来了大家快抢
哇哦
好家伙
给了给了 你值得拥有
可可爱爱
蛋糕台加个发动机，应该可以
卧槽
用心了
牛牛牛!
等你火了，我以后就是你的老粉
这不就属于是脱裤子放屁了
他试图催眠我
好可爱
好可爱啊
？
好牛逼，火钳刘明！
因为，24岁，是学生
火钳刘明
莫名有种花园宝宝的感觉hh
牛逼
救命。  要不要这么可爱啊
我没了 
一路顺风！
火钳刘明
暂停成功！
里面的硬币有我的一份
无刷电机FOC控制器你值得拥有（doge）
杜甫会动！
波吉～
你币有了
牛
可爱到了，三连一下
太六了，果断关注
嫖之呼吸 壹之型 下次一定
好强
应该是眨眼扣帧(ฅ•﹏•ฅ)
堕姬？？？？
6666
牛逼呀
《脱粉》
《脱发》
伺服电机也行啊
祯率？
？
我要冰墩墩
直接单片机控制啊
费纳奇镜？
《命运2最好的日子就要来哦》
视觉残留
《命 运 2 最 好 的 日 子 就 要 来 了》
什？
30rpm
？
把手放上去会怎么样？
这还能不火？？？
这个模型拿到版权了吗？
好用心啊啊！！！
脱发
火钳刘明
脑弹儿
晕了，晕了
原来你自己会产币啊，不投了不投了
这根本不是裸眼3D
小糖人是吧
可以用去了盘的硬盘，狗头
用伺服电机了
？
小狮子一家
胶老狂喜
老弟针不戳
不错
机械硬盘
开始还以为是灵能百分百的bgm呢..
？
知道了，马上挑最后
视觉暂留现象属实是玩明白了
脱发
你甚至还卡BGM
卧槽好厉害
哈哈哈哈哈好可爱
你当我没玩过3DS？
什么低能排名
这质量不三连我内心过不去
握草
看着好爽！
地狱绘图
好强啊
无极变速了解哈
哇靠 这个太牛逼了
动了 明明在转
硬币互换
3次截到了！呜呜我的爱酱~
卧槽，哈哈哈哈哈
残疾王国
地鸣是吧？踏踏开！
好想摸一摸
懂了，阿婆已经能够自己生产硬币了。
你币有了
建议量产
我居然……看了这么久
这次一定了
伺服
真的有这么丝滑吗TAT
火钳刘明
这些火钳刘明的，你们烦不烦啊？
火钳刘明！！！！！！！
地鸣
可爱
啊
好了，up会自己生产三连了，大家可以白嫖了
不是眨眼抽帧？
我将发动地鸣
波吉发动地鸣
，
等等，波吉哪儿去了，我要波吉，不要币
虽然我听不懂，但是我大受震撼
建议bgm换成巨人第四季前段op
23333好可爱
命运2最好的日子就要来了
好像定格动画
这次一定
太喜欢了
好可爱啊
这不和动画一样？
关注投币点赞了
火钳刘明
波吉好可爱
火钳刘明
哇！！！
太可爱了
好可爱
哇哇
这个环让我想起灵能第二季的op
地铁广告
申专吧
。
火钳刘明
神奇
厉害呀，up
快进
频率混叠
地   鸣
地铁外面的广告画一样
点赞
我超
xr改的
卧槽哈哈哈哈
太可爱了
视觉暂留现象
好厉害！
可恶，什么时候
一只冷鸟
火钳刘明
up主明示白嫖
你币有了
666666
牛啊牛啊
他可以自己自足，兄弟们不要投币
忘记留一个硬币给我自己了！
怕你三连用完了，再给你加一个。。
看我眨眼补针
灵能百分百
四国义！
多少转速？？
你可以做12个 一秒转两圈
妈耶，无敌
不就是动画片的原理吗？
停不下来
我还以为能用手机供电
6
可恶是幻术
步进电机也可以
我去。。。
不就是佛像的佛光嘛
我擦？？？？
他在印B
好高级的，要币手法！
果冻效应出现了
这是玩明白了
厉害了
这么多冯巩
牛逼坏了
都能自己吐币啦，那我就不投了吧
今天的币就给你了叭！
乐正绫！！！
这回一次
牛
我去
火钳刘明
牛逼了
波吉发动地鸣
根本就没觉得有3d的效果啊
硬币射手【doge】
长按加速跑
頻率，62hz
我已经忘了它的原理了
装个摇控车的无刷电机就行了
卧槽
视觉暂留
视觉滞留
我的脑弹
1000个人给我出来 
惊喜就是给粉丝发币吗？太客气了！
风扇不行吗
好可爱
火钳刘明
100ping
地鸣
太可爱了！！
我的眼睛没骗我，是你骗我
我想买这个！！
机械硬盘电机，你值得拥有
卧槽
晚安爱酱！
一眼唐
明示投币
酷
三连走你
四维诞生
我靠
暂停成功！！！！
我不李姐
火钳刘明
这次一定，这次一定。币有了。
收割机
你币有了
下次丕定
我也好想要一个呀。
矿机无疑了
扭曲人
多少钱
空降:0:10空降
成熟的up主已经开始自动生产硬币了
冯巩？
可恶，帧数跟不上了
卧槽！！！
天呐
乐.jpg
我在轮胎上就发现过这种现象
爽！爽！！爽！！！
量产！！
rumbing
魔法
你为何如此优秀
100块一个
好可爱啊!
火钳刘明
《量产》
牛逼啊，
非战斗人员请撤离
好可爱好可爱
我觉得这个up很有潜力，先关注，我现在是百万up老粉了
投币投币投币
太可爱了
瑞恩雷诺兹中国分兹
花Q！
卡bug
量子碰撞器
含泪喜欢
牛牛牛！
是幻术吗，什么时候？
白嫖失败
快进到是我摩托罗。
量产！
快进到视网膜脱落
大型诈骗工厂
唐
手下排名
卧槽
擦
好家伙
nb
我去！牛批！好家伙！！！
倒着转
地 鸣
一键三连。
《升级亿下》
爱酱
冷鸟
定格动画了
up你关注的爷爷更新啦！
只能用摄像机拍出来，肉眼看不行哦
阿狸狂喜
他是真的想要三连啊
3d不还是平面的图嘛
冷鸟
抽筋了
只有一面效果最好把
要三连，无不用其极。
量产!量产！
簸萁
下次一定
yousa
牛逼
我柜子懂了
视觉暂留
已经达到60帧了吗
实现硬币自由
be集
好可爱！！阿婆有心啦！！
马里奥的音乐
24帧每秒
火钳刘玥
冷知识：就算你把眼皮眨断了都不会补帧，这只是一个梗
你币有了
眨眼补帧诚不欺我
细节满满
不会还有人看吧
一步错步步错
可可爱爱
23333
你的了
牛批
666
火钳刘明
好，差不，放不下非常好， 想，改变，鬼畜，
空降5：00
我怎么感觉视频也有点卡····是不是抽帧了
效果退给你
我想，炒个饭奶茶
温馨提示:你做不到一秒眨眼23次
好可爱啊哈
暂停成功
暗示点赞
痛失韩国市场
堕姬（幻听）
暗示投币
？？？
明示三连
666
所以现在所有玩家向up要三连
卧槽无敌！
太牛了
视觉残留
《二十四帧》
火钳刘明
所以我拉刀光这件事是真的
我在看动画片吗
有点可爱呢
1000+
《甜腻腻的，都来3D西洋镜是吧》
《明示点赞》
《明示点赞》
《明示点赞》
伺服电机
什么唐氏
牛
无法传达的硬笔
能不能倒放
所以点赞加收藏等于硬币
一二三不许动～突突突
火钳刘明
硬盘doge
细节满分诶
无敌好吧
tql
眨眼补帧
李佳琦NB
传送05：00
哇 要发财啊
动画原理啊，你们现在看的番都这么来的
众所周知视频是不可能p的
哇
巨人族有事没事发动个地鸣有问题吗？
太牛了
晕啦
给了给了
下次试试直接脱发
火钳刘明
不喜欢，不给
完美
翻译：需要眼睛（
《堕姬》
既然你都这么多币了，这次我就不投了
成功截屏
大成功
量产
有没有一种可能他转反了
截到了！！！
眨眼补帧
披风呢？
！！！！
靠 空格都按费了，都没截到
冷鸟(
NMD 幻术！！！！！！！
量产！！！
还好我没看完，要不币不保
卡哇伊内
在此停顿，砸瓦鲁多
得嘞
卧槽
太好玩了
6666
好厉害
好活
最后见
哈哈哈哈哈
他动了，我不玩了（退）
地鸣
那那那那反着转呢 是不是就可以白嫖了
马德钟
好牛
唐氏排名
这不巨婴吗
黄金回旋
爱酱一路顺风
好神奇
这不得花108天去调研啊
残像拳
牛逼啊
666
？？？？
有现成的旋转展示台啊
截图成功
不然呢?
01:19
咋感觉有点吓人啊
这是爱酱谢谢↓
转反了感觉
视觉暂留吗
哇
我还以为是我们裸眼3D，原来是up主自己裸眼3D啊
直流电机
厉害
私服电机
给他，快给他
三联已给
空降00:57
币多的都吐了，不用投了
币币收割机
竟然没有人打暂停成功???
给你了给你了
这叫一拍一，12张1秒叫一拍二，以此类推
飞棍
机械硬碟
币币拿去
1
波吉？大可不必
饭店的圆桌
火钳刘明
这叫眨眼抽帧吧
鸟
火钳刘明
币保不住啦~
好可爱
就跟玩笔，把笔弄软一样
？？？？？？
好家伙
5:00
定格动画的感觉
可以用步进电机
+++++++++++++++++++++++++++++++++++++++++++++++++++++
步进电机
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
脑弹儿
牛逼
等角螺线？
这是真3d，小学自然课做过这样的小道具，不过是2d的
懂了一点！
好家伙一键三连永动机
一次成功
就离谱
全是帕金森
采样定理？
666
真动画 卧槽
火钳刘明
《Up的一键三连酷》
卧槽
绊爱和泠鸢yousa
我只会眨眼去码
循环！
火钳刘明
666 好欢乐
哇
厉害了
求关注一个关注，一声爸爸[doge]
可惜剧情糊了，诶
你有币了！
这也太强了叭！！！
眼睛的缺陷
吉卜力美术馆
太牛了
nb
火钳刘明
这时候主要加一个24hz的频闪灯就可以
三连
爱来来
好可爱啊
火钳刘明
再来一遍
我老是看成是死侍
吐币浪波玩
卡哇伊
唐氏儿
这电机怕不是拆了空调
我柜子动了
这电机怕不是从空调上拆下来的
硬币收割机
魔法！！！
恶臭
这不该发给B站做首页，就放俩小姐姐下面？
快速升到lv6的方法
火钳刘明
美化战争的动画我们不需要
波吉就是个吉波
忍不住上手摸一下会咋样
ke
完犊子了，出现幻觉了。
爱酱————
好活，当赏。
666
我居然卡了？！
呦西，好看
我超糖氏
相信我 大家不要跳到最后去！（危！）
步进电机啊
六六六
陈冠希？
卧槽
火钳刘明火钳刘明火钳刘明火钳刘明火钳刘明火钳刘明火钳刘明火钳刘明火钳刘明火钳刘明火钳刘明火钳刘明火钳刘明火钳刘明火钳刘明火钳刘明火钳刘明火钳刘明火钳刘明火钳刘明火钳刘明火钳刘明火钳刘明火钳刘明火钳刘明
牛
灵能百分百的op也用过这种手法
太牛了，这个币值了
空降5:00
好像何同学的手法
火钳刘明
懂了，UP给我们发硬币~~
好可爱啊
作者已经学会了制作作币的方法。
不这是幻影我的眼睛怎么了
蜗轮蜗杆？这不是电梯主机嘛？
头皮发麻
突然就离谱了，
啊好恐怖呀
小电视yue了
这这是幻术吗
牛逼
你们说会不会有人想摸一下
发生神魔事了？
卧槽
疯狂的眨眼补帧
你币有了
因为你非要一秒钟一循环
伺服电机
步进电机
火钳刘明
爱酱，一直等着你！
截图成功，可爱的妹子
做个背景
我giao
强！
三连支持
？？？？
太有创意了
火钳刘明
woc卡点了
卖电机的。撤了
虽然很厉害，但是我有点晕๑_๑
暂停成功
惊天魔盗团的原理就是这个
无刷电机：那我走
好想要！！！！
还有彩色小灯灯
鹅子！！
眨眼补帧
火钳刘明
米币有了
？？？？？？？？？？？？？？？？？？？？？
量产！
第二个，你要有一台三弟打印机
有礼有往，你的币有了
暗示投币
火钳刘明
三连给了！
哇塞 火钳刘明
火钳刘明
不想
费纳奇镜
空降03:45
想起了那个皮卡丘
火钳刘明
哇(●°u°●)​ 」
可恶，幻术吗，什么时候
火钳刘明
想看看这个反向转动是怎样的
三连の加工厂
01.18
白嫖了
666
卧槽？？？
好活当赏，3连
好精致啊
任何幻术对我的万花筒都没有用
曹加宝是狗
？
宫崎骏美术馆里有这样的装置，可好看了
牛批
所以需要眨眼补帧？
所有电机都可以调速呀
我的眼睛在欺骗我
堕姬
呜呜呜波吉
我喜欢你
量产
吉波
这也不叫裸眼三弟啊！这玩具本来就是三弟的呀！
已三连
遭了是幻术
可以设置遮挡
剪辑抽帧骗眼睛
幻觉
地鸣将至！！！
抽帧
为什么不用硬盘碟
可爱！！！
可以自己产币了
眨眼补帧
三连收割机…
发生了什么？？？
是幻术，我中了幻术！
电影是每秒二十四格的真理
我币没了
超光速可以吗？
科普：视觉暂留
?
，
三连给了
伺服电机...
火钳刘明
还是能看到卡顿， 要是帧率在高一些就好了
这个必须三连啊
建议批量生产，便宜出售
太牛了
？？？？
厉害
饭店餐桌
暗示投币
小哑孩
我不信，你想骗我币！
源源不断
裸眼吞金兽
牛逼
有人白嫖还不让我告诉你
随便拿个电机都行啊。。
竟然还卡点了
好牛壁
就是眨眼补帧
哪里有卖
地铁里的广告
有人做出来了
我能问问有多少人卡在这里
我投币的瞬间卡了
电风扇呢
肝也没了吧太厉害了
图穷匕见
查理的硬币工厂
太可爱啦！
我太喜欢了！！
好活当赏！
神仙
唐式
我第一次一直盯着三连
up好有童心呀
如果倒着转是不是会退币(doge
地铁里那个广告也是
好快乐好快乐
明示他有币
星际
卧槽
坏了是幻觉
啊哦嗯，嗯嗯
小工厂的感觉
没有眼睛怎么办
你币有了，三连有了
波吉利用巨人之力地鸣！
对不起钱钱，我真的很需要这个东西
地鸣?
我靠这真的没在动吗好神奇
暂停成功
牛啊
？？？？？
地 狱 绘 图
单片机+pid算法+磁编码啊
泠鸢！
量产一定贵吧
《动画梦工厂》
成功骗我点关注了
好可爱啊啾咪咪咪咪咪
下次一定
都是我的，别抢啊
好可爱
？？？？
冯巩
????????????????????????????????????????????????????????????????????????????????????????????????????
有鬼
杀软排名414
成功
老爱呜呜呜
量产啊！！！
眼睛看不到
只能视频
这种眨眼不是补帧而是抽帧
火钳刘明
斐波那契螺线
好神奇啊
一键三连给你啦，请查收
倒放试试
好耶
好神奇
卧槽
草
卧槽
该用伺服电机呀
好家伙！
up主的币多得都往出吐了
三连
南无广博身如来
？？？？
是刀！
卧槽
我很担心。为什么这段视频上没有水印？我会心痛几秒钟[cat2_isliquid！][Cat2_IsLiquid！][Cat2_IsLiquid！]​
牛哇！我可以白嫖了嘿嘿嘿
？？？？？
你们这些嚷着好可爱的，，，是女孩子吧……虽然我很怀疑UP主很可能女性粉丝占比为零
动景运动
太可爱了
王力宏你做科学啦
同款刺猬
量产
好家伙 我要举报up主在家制造出来一个硬币生产机
