秒啊
牛逼
卧槽
省流:卧槽
卧槽
？？？
卧槽
做得太好了吧
这些材料也不止两毛
我的天辣
好看不火系列
两栖驱逐舰
我也喜欢载具形态
nb
我考
你的两毛已到账
哇塞
？？？？？
牛逼
？？？？
有点东西
袜趣！
这也很普……What's up？
变形那一刻我的币就没了
敦刻尔克大逃亡
我去
卧槽
不错不错
KIKIkuku
国产变形金刚？
卧槽卧槽
别人用什么BGM有什么可叭叭的，不爱看出去
酷
歼星舰
怒目瞪狗呆…
太酷了太酷了
好看不火系列
！
呜啊啊啊啊啊啊他会变形！！！！
结果超级帅！
窝草？！！！
我还以为是二战天火呢
太强了吧
？？？
变身形态
接下来请欣赏《投币成功》
卧槽？？？？？
？
船上的人呢？？
他甚至有特效，我真的哭死
卧槽
有内味了
好帅啊！！！
卧槽！
《机甲蒙犽》
逐渐离谱
卧槽
帅啊
工作量惊人
厉害
卧槽
哇擦，怎么回事
我还以为是美丽风景没想到是变形金刚（悲
牛逼
卧槽，，，为什么，，，好美啊
帅啊卧槽
这脑袋也太像TFP里的红蜘蛛了吧
这里超帅
都喜欢
wow
耳机党沉浸
哇
卧槽牛逼牛逼哔哔哔
哇靠 牛牛牛
一键三连
合体
博派：不是我们的人   狂派：也不是我们的人
苹果
？？
？？？？
又是个狼灭
我丢，好家伙
燃起来了
？？？？？？！！！！
都喜欢怎么办
牛
？？？？！！！！
卧槽，分镜，
云中的海？
nb
好家伙，这艘船竟然是可以变形的。
焯
这也太踏马酷了8
卧槽
省流：别省，后面帅炸了
我擦
厚礼蟹
BGM：heart of courage
吃我一币
牛批，卧槽
全靠脑补
菠萝蜜多斩！！！
？
要是模型质感再高点简直无敌了
哇哦
帅
卧槽
卧槽
各位不然嘞！！三连了
拜托这超酷的
百大up成长期
酷酷kiki 酷酷
我趣，好牛。
这是魔法叭。
不演了是吧
变身手臂这个过程做的震撼
666
燥！！！
卧槽
他甚至还会变形
太帅了
都喜欢！！！
逐渐离谱
055变形金刚
北海啊，要多想
草，牛逼
好像小仙女的泰坦尼克号
逐渐离谱
地板：我谢谢你
这真是我不付费能看的东西吗？
吓得我赶紧投了个币
离谱
厚礼谢
省流：自己看
所以那些说技术不到的所谓导演，好好反省
卧槽，这是特效吧
逐渐离谱
海军陆战队
你特码吓到我了
？
太酷了吧
我币没了
666
哼！想逃？
等等，发生了什么⊙∀⊙？
前排提示：变形金刚
前方高能，请保护好你的币
直升机要不要了？（Doge）
20厘米拍出了2000米的气势，战忽局快来学！
我也妹眨眼啊
我擦............离谱
不对劲 很不对劲
握！！草！！！
太肝了
woc！
卧槽
卧槽
意外到让人惊喜不已
求续集
牛逼
wk！！
？？！？？？
太帅了
如果是做成一部动画电影就好了
哇塞
我也妹眨眼呐
聪明人已经三连了
省流：别省流！
离谱！！！
好看不火系列
虽然但是，他会变形哎
先说，记得投币
WOC！！！！
俺都喜欢
我寻思我也妹眨眼啊
卧槽，我忍不住投了
第一次在哔站看见这种作品
卧槽
？
我喜欢你
灵魂亮led…
眨眼补帧
牛逼
卧槽，好帅
帅啊
卧槽这变身我直接关注
好帅！！！！！！！！
女娲开直播了
太帅了
直呼卧槽
牛逼
？
卧槽，是我没想到的
我的币1
没保住啊
？？？我就眨了眨眼啊
(⊙o⊙)
？？？！
大制作！
卧槽
我都喜欢
逐渐离谱
您
我甚至忘了他做的是定格动画
卧槽
？？？？？
？？？
发现不对劲
你对两毛是不是有什么误解
？？？？？？
牛
牛批！！！！！！！！
帅啊
麻了，太帅了
！！
他竟然说的是“您”喜欢，我哭死
此时我还没有意识到事情的严重性
啊？？？？？？？？
刑天http://
卧槽！！？
哇
？
卧槽，我的币
我全喜欢。
库库库kiki
我靠好丝滑
都喜欢
星星好评 
注意它会变形
造物主
哇靠
电影效果
whatsup！
？？？？？？
您…
一帧一帧拍的？
您
泰坦尼克号
你币有了
流弊
我超
已经开始卧槽了
？
手没出来的时候我以为是真的！
我投还不行吗！
？？？
酷
牛哇
擦擦擦啊啊啊啊啊啊啊
卧槽
草，这币我能留住？！
先赞为敬
当他放上船后我就知道是时候开始卧槽了
真-实景拍摄
绝了
我去 好帅
？？？
卧槽牛逼
卧槽
我来组成身体
！？？？
！！！？？？
太牛了
卧槽？
太丝滑了，最牛定格，不服不行。
帅啊
逐渐合理
好看炸了
这个帧数。
好耶
我还以为要变成59
啊？？？？
惊呆我妈系列
好像神鬼传奇的背景音乐
巨佬
牛逼形态！
好家伙
？？？？？？？？？
等一下？？？
卧槽啊啊啊啊啊啊啊啊！！！
王德发
？？？？？？？？
嘿嘿嘿
休息一星期
定格动画，up辛苦了！但我还是选择白嫖
牛啊
牛逼
牛啊
我真牛
嘿嘿嘿
肝帝受我一币
厚礼谢
这么牛逼的吗
？？
啊？！！
我的天呐
这个不三连说不过去啊……
！前方核能！
鸡皮疙瘩起来了我天
woc 狂派还是博派？
卧槽
?
wc
卧槽
牛啊…..
？？？？？
wc
我去
陆行舰？
？？？
卧槽，居然会变身
卧槽
救命好流畅
帅死了！！！！！！！
我没币了
。
蛙趣
吓得我投了俩币！
我也妹眨眼啊
帅帅帅帅
WC
woc
我觉得变手好看
卧槽
！！！！
卧槽，好酷
卧槽！
卧槽！好帅
2币留不住了
你币有了！！！
亚，亚历山大？
蛙趣，本以为棉花是云，现在才发现是浪花
变形差评！俺要看军舰！
臣卜木曹
震惊，还能这样
我…我也妹眨眼呐~
定格动画，up辛苦了！但我还是选择白嫖
宝藏
厉害了
妈呀.
？？？
“道理我都懂，但为什么这只手这么大”
055南昌
两币 牛逼
太震撼了，燃到鸡皮疙瘩都起来了
帅炸了
世界生成中……
关节生涩是通病吗
关节生涩是通病吗
？？？？
这是定格动画？
卧槽，这个浪好丝滑
啊啊啊啊啊啊啊啊好帅！！！！！
给跪了
别人玩玩具和我玩玩具的差别
牛蛙太牛了
？？？？？
我以为只是普通的定格动画，没想到
超级变变变
《环台东海》
腾讯行为
卧槽
不看后悔系列
《突然离谱》
卧槽
好有塑料感
太帅了
6
卧槽
好燃
卧槽，心动的感觉，这tm055
雀食是055
MW
？！？！？！
卧槽
那是水雾
已经猜到了
055！
旱地行舟
与肝同归于尽的帧数
卧槽好牛
？？？
卧槽
他甚至还有音效
woc 好帅
？？？
再来一遍
卧槽？会变形？
强啊！！！
这么丝滑吗？
055
等，，，等一下，这不是船么，这不是布景的么？怎么活了卧槽
wc，这声音……好熟悉
？？？！！！！！！！
我先卧槽
卧槽这定格动画，绝了
《两栖登陆舰》
我是擎天柱汽车人集合
？？？
都喜欢！
？
卧槽
你成功夺走了哟的卧槽
卧槽
卧槽
他甚至还有运镜。。！
。
？？
没看到手之前，我还以为是真的
再加入一点点后期是吧
神中神
不行啊，这样舰员能活下来几个？
你币有了
？？？？？？？？？
你这背景是假的
厚礼蟹
此情此景本想吟诗一首，奈何文化不够，只能语句卧槽行天下。
惊 天 浪 涛 杀
牛
牛批
省流：太牛逼了省不了
为什么没有都喜欢？
卧槽
？
会变身的 高达
太帅了
好帅啊
我超
这也太帅了
s
突然发现事情的严重性
军刀雅典娜
卧槽
？？？？？
太肝了！！！
卧槽
？？？
？
？？？
哇偶，好漂亮吖
？
太tm写实了！
太真了卧槽
这耳熟的音效，是小宝吗？
？？？？？？？？！
省流:12万粉的做千万级别的活
卧槽
来创造奇迹了
？？？
我才看明白，我的天，太厉害了吧！！
叮！江南造船厂发来一份offer！
突然变捞了
让我想起了qq飞车
啊？
？
比喜羊羊好看多了，支持出动画集
要是再流畅点就完美了
牛逼
突然感觉事情不对了起来
丝滑
我直接卧槽
卧槽
就这？
？？？？？
……
吓得我赶紧投了个币
省流:看完 省不了
我去！！！
我去我去我去我去
正片开始
都喜欢！
卧槽！是魔法！
？？？？？？？
什么萨菲洛特
绝了
我超！
我靠这海浪
卧槽！
强啊！！
可不可以都喜欢！！！！
卧槽
？
？？？
我去
帅炸了
他做的好像是定格动画吧？
为什么不火！
卧槽牛逼
五毛特效
？？？
变形就过分了
狠狠地投币吧！！
？？？？？
？？？？？？
蛙趣帅炸了
大国重器
?
你币有了
独眼小宝？！
？？？？？？
？？
等下！
无天于上1835的055机甲！
卧槽
？
果断投币
Wc
你以为他只是在拍场景？
我曹
这河里吗
重新定义《定格动画》
我币没了
woc
卧槽
卧槽？？！！
都喜欢！！
诶，这是紫竹套
震惊
破军金甲
卧槽
我寻思我也妹眨眼啊
背景音乐是误食手电筒
啥？！！
库库卡kiki
？
卧蝉
帅爆了
？？？？
要去地府啊
炸裂的五毛特效
卧槽牛逼
我币没了
所以鸽子为什么那么大
纯路人请问这是女娲吗？
比博燃！！！
代入感太真实，我已经被浪花糊住眼睛了
太牛了！点赞投币收藏一条龙走起！
？b
？？？？
您
卧槽？？？？
卧槽
卧槽
我靠变形金刚的曲子啊！！
币呀
币有
？？？？？
卧槽
这就过分了
是我不争气，留不住我的硬币
卧槽
我趣
卧槽!好酷
我滴天！
狠狠地震撼到了！
钝角
帅
都喜欢
卧槽
！？
居然不是泰坦尼克号！？
6666
？
乾坤调度室
？
???
卧槽发生了什么
？我擦
后继者
都是能人
？？？？
止步于此
酷
牛
正片开始
我超！
定格动画
发生什么事了？
？
？？
卧槽
说！奥特曼是不是你做的
卧槽
太辛苦
嘴巴直接O了
麻瓜退出了直播间
发生甚么事了
这特么不止两毛吧！两千我都信
前面的这是055
woc
这水面。。。。。。不行
给大家煮个派蒙助助兴
好帅！！！
都喜欢啊
我明明知道是棉花了，可还是觉得是水
？？？？！！！！！
厉害厉害厉害
？？？？？？
亿点细节
你币有了
卧槽！大哥您好！
卧槽！
？？？？
lmao！双双！！！！
这是真爱
？？？？卧槽！
变形金刚有没有船金刚？
变卡车的是擎天柱，变轮船的就是刘海柱？
？？？
我只前捡到过一个
挖槽，乱帅
阿丽比恩
卧槽  卧槽  居然还会整活
用了魔法
你的币留不住了
这个玩具我看过
？
啥也不说了 上币
牛
这币留着干嘛
？？？
奈何在下没文化，一句卧槽走天下
不能投币~
开始不对劲
这个都只有两毛的话，期待五毛
好看，就是有点费人
？？？？
？
我漏了哪一步？
等一下等一下
我喜欢海花效果
啊我擦
我也没眨眼。
三连了
我差点以为他要合体。
这tm怕不是环大西洋
哎哟，卧槽
好帅！
刚当军犬了，下次一定
前面还能解释，后面直接魔法整活了，全程卧槽。
大量润滑油失踪
我就知道事情没有那么简单
发生什么事了
哇哇哇
卧槽！他会变形！！！！
羡慕有两个手机
5
5
1
5
5
1
5
4
5
5
5
5
5
5
5
5
5
5
5
5
4
5
5
5
5
5
4
5
5
5
3
5
5
5
5
5
5
5
1
4
5
2
5
5
5
1
1
5
5
5
5
5
5
4
5
5
5
5
5
5
1
5
5
5
1
5
5
1
5
5
5
1
5
5
5
5
5
5
5
1
5
5
5
5
1
5
5
5
1
2
5
5
5
5
5
5
5
5
5
你们估计是没看过布袋戏。人家那个布景更牛逼。
废话，当然是…爷全都要。
这么厉害的吗
嘿呀呵？？？
？？？？？？
呜～～～～厉害啊
?!?!?!?!
卧槽卧槽
这种魔法你学废了吗
驾驶员：我免费了
卧槽
6
秀啊，
我靠
这已经超脱出胶佬的范畴了
？？？？！！！！
卧槽！
6
我靠
惊的我赶紧投币
闪电旋风劈！
都喜欢！
都喜欢！！！！
卧槽，可以变形
我唯一的币就交给你保管了
卧槽
芥末厉害？！
做定格动画的都是狠人
卧槽
高级
点错了呜呜
艺术创想
金钱的味道
卧槽
5
卧槽，就冲你这个您字，币我投了，而且每次视频两个
卧槽
卧槽卧槽
臻享丝滑~~~
卧槽
卧槽，帅爆了！
是独眼小宝（？
船上人是不是都脑震荡了？
啊？？？
等一下？咋回事？
这么帅
我币不够了，帮我投一个
后面是个背景纸
不去拍奥特曼可惜了
愣着干嘛？快投币啊
挖槽，不要超越现实！！！
？
发生了肾摸事情
列王的纷争，bjm
我的天
我觉得不变形更厉害。
？？？
吃我一币
牛
我留这币有何用
这个浪花！！！！太牛了！！！
好酷！
本来还以为加塑料和海绵多余
woc
牛逼啊
？？？？？？？？？
现代战舰
14514
我寻思我也妹眨眼啊
？？？
？？卧槽
我虽然见其他up玩过这款可变形的055，但它动起来的那一刻还是情不自禁的说了卧槽
好牛
等等？！！
您
后李现
太牛了卧槽
太帅了
实话实说，这个船模两毛钱我买了
？
南昌号，进攻！
？？？
牛逼！
学废了学废了
环太平洋
？？？
变形？
??????
你币有了
蛙趣
wc牛逼
焯
卧槽
我寻思我也妹眨眼啊
好酷
提前卧槽
卧槽
这币留着何用
卧槽
？？？
八毛好吧
10w粉的up主干出了100w粉的视频效果
牛批
？？？？我超
1 1  4 5 1 4
眨眼补针
卧槽卧槽，怎么了
你币有了
惊了
这个贼帅。
这币我给了
辽宁，山东，福建同框
我测
kukukukiki～
6
天堂制造全程陪伴
6来了
1!5!
啊——这水——
圆谷：明天来上班
会变形你币有了！！！
？？？？！？！！
厚礼谢
好强！！
天哪
不是舰娘 差评
？？？
老夫要这硬币有何用
卧槽
就一瞬间，我的币就这样没了
哎
你有币了
""
